Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 3407872, 3260572, 3260572, 0, 0, 2687, 261
1, 3538944, 2983088, 5792660, 2707396, 553304, 63257160, 7612415
2, 3866624, 3674360, 8730848, 4860808, 829812, 43478578, 10470385
3, 4915200, 4711268, 12312780, 7290728, 1244576, 53363787, 15598857
4, 6422528, 6266628, 16860328, 10135412, 1866720, 68191657, 23991446
5, 6619136, 4400168, 18656808, 13602240, 2799936, 90433263, 37280253
6, 8781824, 8599668, 24594460, 15202608, 2799936, 23707894, 30920623
7, 9043968, 5799992, 26463844, 19602652, 4199760, 123795701, 56513337
8, 9043968, 7400360, 28064212, 19602652, 4199760, 23707894, 261
9, 9043968, 5799992, 29896124, 22803388, 4199760, 23707850, 46475587
10, 13893632, 13699596, 37795728, 22803388, 4199760, 23707894, 261
11, 14286848, 7899728, 39824488, 30203624, 6299496, 173839456, 84164865
12, 14286848, 9500096, 41424856, 30203624, 6299496, 23707894, 261
13, 14286848, 11100464, 43025224, 30203624, 6299496, 23707850, 261
14, 14286848, 7899728, 44972760, 35004728, 6299496, 23707850, 69007441
15, 19136512, 18948936, 56021968, 35004728, 6299496, 23707894, 261
16, 19726336, 11049332, 58214768, 44504700, 9449100, 248904969, 126739577
17, 19726336, 12649700, 59815136, 44504700, 9449100, 23707894, 261
18, 19726336, 14250068, 61415504, 44504700, 9449100, 23707850, 261
19, 19726336, 11049332, 63461464, 49305804, 9449100, 23707850, 106002674
20, 19726336, 12649700, 65061832, 49305804, 9449100, 23707894, 261
21, 19726336, 14250068, 66662200, 49305804, 9449100, 23707850, 261
22, 19726336, 11049332, 68708160, 54106908, 9449100, 23707850, 101802674
23, 27000832, 26822948, 84481776, 54106908, 9449100, 23707894, 261
24, 27852800, 15773740, 86920640, 66756484, 14173508, 361503346, 189901656
25, 27852800, 17374108, 88521008, 66756484, 14173508, 23707916, 261
26, 27852800, 18974476, 90121376, 66756484, 14173508, 23707850, 261
27, 27852800, 20574844, 91721744, 66756484, 14173508, 23707850, 261
28, 27852800, 22175212, 93322112, 66756484, 14173508, 23707850, 261
29, 27852800, 15773740, 95615736, 74758324, 14173508, 23707850, 158398763
30, 27852800, 17374108, 97216104, 74758324, 14173508, 23707894, 261
31, 27852800, 18974476, 98816472, 74758324, 14173508, 23707850, 261
32, 27852800, 20574844, 100416840, 74758324, 14173508, 23707850, 261
33, 27852800, 22175212, 102017208, 74758324, 14173508, 23707850, 261
34, 27852800, 15773740, 104310832, 82760164, 14173508, 23707850, 151398763
35, 38797312, 38633968, 127171060, 82760164, 14173508, 23707894, 261
36, 40042496, 22860352, 129979020, 100134148, 21260120, 530400967, 284644821
37, 40042496, 24460724, 131579392, 100134148, 21260120, 23707938, 261
38, 40042496, 26061092, 133179760, 100134148, 21260120, 23707850, 261
39, 40042496, 27661460, 134780128, 100134148, 21260120, 23707850, 261
40, 40042496, 29261828, 136380496, 100134148, 21260120, 23707850, 261
41, 40042496, 30862196, 137980864, 100134148, 21260120, 23707850, 261
42, 40042496, 32462564, 139581232, 100134148, 21260120, 23707850, 261
43, 40042496, 22860352, 142196336, 111336728, 21260120, 23707850, 238191313
44, 40042496, 24460720, 143796704, 111336728, 21260120, 23707894, 261
45, 40042496, 26061088, 145397072, 111336728, 21260120, 23707850, 261
46, 40042496, 27661456, 146997440, 111336728, 21260120, 23707850, 261
47, 40042496, 29261824, 148597808, 111336728, 21260120, 23707850, 261
48, 40042496, 30862192, 150198176, 111336728, 21260120, 23707850, 261
49, 40042496, 32462560, 151798544, 111336728, 21260120, 23707850, 261
50, 40042496, 21260448, 152813744, 122539304, 21260120, 23707850, 228391313
51, 40042496, 21260912, 152814208, 122539304, 21260120, 610009192, 261
52, 40042496, 21261376, 152814672, 122539304, 21260120, 610009170, 261
53, 40042496, 21261840, 152815136, 122539304, 21260120, 610009170, 261
54, 40042496, 21262304, 152815600, 122539304, 21260120, 610009170, 261
55, 40042496, 21262768, 152816064, 122539304, 21260120, 610009170, 261
56, 40042496, 21263232, 152816528, 122539304, 21260120, 610009170, 261
57, 40042496, 21263696, 152816992, 122539304, 21260120, 610009170, 261
58, 40042496, 21264160, 152817456, 122539304, 21260120, 610009170, 261
59, 40042496, 21264624, 152817920, 122539304, 21260120, 610009170, 261
60, 40042496, 21264996, 152818292, 122539304, 21260120, 610009170, 261
61, 40042496, 21265368, 152818664, 122539304, 21260120, 42708198, 261
62, 40042496, 21265740, 152819036, 122539304, 21260120, 42708176, 261
63, 40042496, 21266112, 152819408, 122539304, 21260120, 42708176, 261
64, 40042496, 21266484, 152819780, 122539304, 21260120, 42708176, 261
65, 40042496, 21266856, 152820152, 122539304, 21260120, 42708176, 261
66, 40042496, 21267228, 152820524, 122539304, 21260120, 42708176, 261
67, 40042496, 21267600, 152820896, 122539304, 21260120, 42708176, 261
68, 40042496, 21267972, 152821268, 122539304, 21260120, 42708176, 261
69, 40042496, 21268344, 152821640, 122539304, 21260120, 42708176, 261
70, 40042496, 21268716, 152822012, 122539304, 21260120, 42708176, 261
71, 40042496, 21269088, 152822384, 122539304, 21260120, 42708176, 261
72, 40042496, 21269460, 152822756, 122539304, 21260120, 42708176, 261
73, 40042496, 21269832, 152823128, 122539304, 21260120, 42708176, 261
74, 40042496, 21270204, 152823500, 122539304, 21260120, 42708176, 261
75, 40042496, 21270576, 152823872, 122539304, 21260120, 42708176, 261
76, 40042496, 21270948, 152824244, 122539304, 21260120, 42708176, 261
77, 40042496, 21271320, 152824616, 122539304, 21260120, 42708176, 261
78, 40042496, 21271692, 152824988, 122539304, 21260120, 42708176, 261
79, 40042496, 21272064, 152825360, 122539304, 21260120, 42708176, 261
80, 40042496, 21272436, 152825732, 122539304, 21260120, 42708176, 261
81, 40042496, 21272808, 152826104, 122539304, 21260120, 42708176, 261
82, 40042496, 21273180, 152826476, 122539304, 21260120, 42708176, 261
83, 40042496, 21273552, 152826848, 122539304, 21260120, 42708176, 261
84, 40042496, 21273924, 152827220, 122539304, 21260120, 42708176, 261
85, 40042496, 21274388, 152827684, 122539304, 21260120, 42708176, 261
86, 40042496, 21274852, 152828148, 122539304, 21260120, 305009470, 261
87, 40042496, 21275316, 152828612, 122539304, 21260120, 305009492, 261
88, 40042496, 21275780, 152829076, 122539304, 21260120, 305009492, 261
89, 40042496, 21276244, 152829540, 122539304, 21260120, 305009492, 261
90, 40042496, 21276708, 152830004, 122539304, 21260120, 305009492, 261
91, 40042496, 21277172, 152830468, 122539304, 21260120, 305009492, 261
92, 40042496, 21277636, 152830932, 122539304, 21260120, 305009492, 261
93, 40042496, 21278100, 152831396, 122539304, 21260120, 305009492, 261
