Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 3997696, 554988, 3817536, 2707788, 554760, 63258957, 4893019
1, 3997696, 831496, 7080956, 4863432, 831268, 43482070, 7023530
2, 5111808, 1246260, 11173904, 7295584, 1246032, 53367244, 10519330
3, 6750208, 1868404, 16511140, 10142500, 1868176, 68195044, 16063002
4, 9240576, 2801620, 23714808, 13611560, 2801392, 90436692, 24678510
5, 9240576, 2801620, 28118800, 15214160, 2801392, 23711364, 24078503
6, 12976128, 4201444, 38122116, 19616436, 4201216, 123799164, 37301772
7, 12976128, 5804044, 39724716, 19616436, 4201216, 23711364, 261
8, 12976128, 4201444, 45528532, 22821636, 4201216, 23711364, 36101765
9, 12976128, 5804044, 47131132, 22821636, 4201216, 23711364, 261
10, 20185088, 6301180, 61333920, 30226336, 6300952, 173842963, 55636665
11, 20185088, 7903780, 62936520, 30226336, 6300952, 23711364, 261
12, 20185088, 9506380, 64539120, 30226336, 6300952, 23711364, 261
13, 20185088, 6301180, 72442672, 35034136, 6300952, 23711364, 53836658
14, 20185088, 7903780, 74045272, 35034136, 6300952, 23711364, 261
15, 28573696, 9450784, 94547268, 44538572, 9450556, 248908434, 83739003
16, 28573696, 11053384, 96149868, 44538572, 9450556, 23711364, 261
17, 28573696, 12655984, 97752468, 44538572, 9450556, 23711364, 261
18, 28573696, 9450784, 108805624, 49346372, 9450556, 23711364, 81938996
19, 28573696, 11053384, 110408224, 49346372, 9450556, 23711364, 261
20, 28573696, 12655984, 112010824, 49346372, 9450556, 23711364, 261
21, 28573696, 9450784, 123063980, 54154172, 9450556, 23711364, 80138996
22, 28573696, 11053384, 124666580, 54154172, 9450556, 23711364, 261
23, 41156608, 14175192, 154617392, 66808212, 14174964, 361506790, 125592535
24, 41156608, 15777792, 156219992, 66808212, 14174964, 23711364, 261
25, 41156608, 17380392, 157822592, 66808212, 14174964, 23711364, 261
26, 41156608, 18982992, 159425192, 66808212, 14174964, 23711364, 261
27, 41156608, 20585592, 161027792, 66808212, 14174964, 23711364, 261
28, 41156608, 14175192, 176805356, 74821212, 14174964, 23711364, 122592528
29, 41156608, 15777792, 178407956, 74821212, 14174964, 23711364, 261
30, 41156608, 17380392, 180010556, 74821212, 14174964, 23711364, 261
31, 41156608, 18982992, 181613156, 74821212, 14174964, 23711364, 261
32, 41156608, 20585592, 183215756, 74821212, 14174964, 23711364, 261
33, 41156608, 14175192, 198993320, 82834212, 14174964, 23711364, 119592528
34, 41156608, 15777792, 200595920, 82834212, 14174964, 23711364, 261
35, 60096512, 21261804, 244719956, 100212660, 21261576, 530404376, 188372827
36, 60096512, 22864404, 246322556, 100212660, 21261576, 23711364, 261
37, 60096512, 24467004, 247925156, 100212660, 21261576, 23711364, 261
38, 60096512, 26069604, 249527756, 100212660, 21261576, 23711364, 261
39, 60096512, 27672204, 251130356, 100212660, 21261576, 23711364, 261
40, 60096512, 29274804, 252732956, 100212660, 21261576, 23711364, 261
41, 60096512, 30877404, 254335556, 100212660, 21261576, 23711364, 261
42, 60096512, 21261804, 277199732, 111430860, 21261576, 23711364, 184172820
43, 60096512, 22864404, 278802332, 111430860, 21261576, 23711364, 261
44, 60096512, 24467004, 280404932, 111430860, 21261576, 23711364, 261
45, 60096512, 26069604, 282007532, 111430860, 21261576, 23711364, 261
46, 60096512, 27672204, 283610132, 111430860, 21261576, 23711364, 261
47, 60096512, 29274804, 285212732, 111430860, 21261576, 23711364, 261
48, 60096512, 30877404, 286815332, 111430860, 21261576, 23711364, 261
49, 60096512, 21261804, 309679508, 122649060, 21261576, 23711364, 179972820
50, 60096512, 21264564, 309682268, 122649060, 21261576, 610012961, 261
51, 60096512, 21267260, 309684964, 122649060, 21261576, 610012501, 261
52, 60096512, 21269956, 309687660, 122649060, 21261576, 610012501, 261
53, 60096512, 21272652, 309690356, 122649060, 21261576, 610012501, 261
54, 60096512, 21275348, 309693052, 122649060, 21261576, 610012501, 261
55, 60096512, 21278044, 309695748, 122649060, 21261576, 610012501, 261
56, 60096512, 21280740, 309698444, 122649060, 21261576, 610012501, 261
57, 60096512, 21283436, 309701140, 122649060, 21261576, 610012501, 261
58, 60096512, 21286132, 309703836, 122649060, 21261576, 610012501, 261
59, 60096512, 21288828, 309706532, 122649060, 21261576, 610012501, 261
60, 60096512, 21291496, 309709200, 122649060, 21261576, 42711828, 261
61, 60096512, 21294100, 309711804, 122649060, 21261576, 42711368, 261
62, 60096512, 21296704, 309714408, 122649060, 21261576, 42711368, 261
63, 60096512, 21299308, 309717012, 122649060, 21261576, 42711368, 261
64, 60096512, 21301912, 309719616, 122649060, 21261576, 42711368, 261
65, 60096512, 21304516, 309722220, 122649060, 21261576, 42711368, 261
66, 60096512, 21307120, 309724824, 122649060, 21261576, 42711368, 261
67, 60096512, 21309724, 309727428, 122649060, 21261576, 42711368, 261
68, 60096512, 21312328, 309730032, 122649060, 21261576, 42711368, 261
69, 60096512, 21314932, 309732636, 122649060, 21261576, 42711368, 261
70, 60096512, 21317536, 309735240, 122649060, 21261576, 42711368, 261
71, 60096512, 21320140, 309737844, 122649060, 21261576, 42711368, 261
72, 60096512, 21322744, 309740448, 122649060, 21261576, 42711368, 261
73, 60096512, 21325348, 309743052, 122649060, 21261576, 42711368, 261
74, 60096512, 21327952, 309745656, 122649060, 21261576, 42711368, 261
75, 60096512, 21330556, 309748260, 122649060, 21261576, 42711368, 261
76, 60096512, 21333160, 309750864, 122649060, 21261576, 42711368, 261
77, 60096512, 21335764, 309753468, 122649060, 21261576, 42711368, 261
78, 60096512, 21338368, 309756072, 122649060, 21261576, 42711368, 261
79, 60096512, 21340972, 309758676, 122649060, 21261576, 42711368, 261
80, 60096512, 21343576, 309761280, 122649060, 21261576, 42711368, 261
81, 60096512, 21346180, 309763884, 122649060, 21261576, 42711368, 261
82, 60096512, 21348784, 309766488, 122649060, 21261576, 42711368, 261
83, 60096512, 21351388, 309769092, 122649060, 21261576, 42711368, 261
84, 60096512, 21353992, 309771696, 122649060, 21261576, 42711368, 261
85, 60096512, 21356752, 309774456, 122649060, 21261576, 305012961, 261
86, 60096512, 21359448, 309777152, 122649060, 21261576, 305012501, 261
87, 60096512, 21362144, 309779848, 122649060, 21261576, 305012501, 261
88, 60096512, 21364840, 309782544, 122649060, 21261576, 305012501, 261
89, 60096512, 21367536, 309785240, 122649060, 21261576, 305012501, 261
90, 60096512, 21370232, 309787936, 122649060, 21261576, 305012501, 261
91, 60096512, 21372928, 309790632, 122649060, 21261576, 305012501, 261
92, 60096512, 21375624, 309793328, 122649060, 21261576, 305012501, 261
93, 60096512, 21378320, 309796024, 122649060, 21261576, 305012501, 261
94, 60096512, 21381016, 309798720, 122649060, 21261576, 305012501, 261
95, 60096512, 22983680, 311401384, 122649060, 21261576, 23711824, 261
96, 60096512, 24586280, 313003984, 122649060, 21261576, 23711364, 261
97, 60096512, 26188880, 314606584, 122649060, 21261576, 23711364, 261
98, 60096512, 27791480, 316209184, 122649060, 21261576, 23711364, 261
99, 60096512, 29394080, 317811784, 122649060, 21261576, 23711364, 261
100, 60096512, 30996680, 319414384, 122649060, 21261576, 23711364, 261
