Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 67764224, 65542232, 67619196, 25900, 65542004, 66245615, 119456000
1, 135397376, 131083560, 137289104, 55144, 131083332, 66319487, 160107167
2, 196804608, 196652508, 202858052, 55144, 131083332, 66280841, 261
3, 270598144, 262167548, 276630892, 116240, 262167320, 66452733, 300743021
4, 327876608, 327722088, 342185432, 116240, 262167320, 65937232, 261
5, 393478144, 393309016, 407772360, 116240, 262167320, 66709847, 261
6, 473366528, 458786336, 487668440, 193456, 458786108, 65938114, 437892352
7, 524484608, 524340876, 553222980, 193456, 458786108, 65936574, 261
8, 590151680, 589943988, 618826092, 193456, 458786108, 67095538, 261
9, 655687680, 655498524, 684380628, 193456, 458786108, 65938114, 261
10, 655687680, 655501204, 684383308, 193456, 458786108, 1331471, 261
11, 655687680, 655503820, 684385924, 193456, 458786108, 1331011, 261
12, 655687680, 655506436, 684388540, 193456, 458786108, 1331011, 261
13, 655687680, 655509052, 684391156, 193456, 458786108, 1331011, 261
14, 655687680, 655511668, 684393772, 193456, 458786108, 1331011, 261
15, 655687680, 655514140, 684396244, 193456, 458786108, 7813, 261
16, 743768064, 65542232, 772499900, 655733148, 458786108, 66247989, 202031555
17, 743768064, 131083560, 842169812, 655762396, 458786108, 66312704, 160107131
18, 743768064, 196652512, 907738764, 655762396, 458786108, 66274282, 261
19, 743768064, 262167548, 981511612, 655823504, 458786108, 66445726, 300743014
20, 743768064, 327722088, 1047066152, 655823504, 458786108, 65931114, 261
21, 743768064, 393309020, 1112653084, 655823504, 458786108, 66702840, 261
22, 743768064, 458786336, 1192549356, 655900908, 458786108, 65931114, 437892399
23, 743768064, 524341060, 1258104080, 655900908, 458786108, 65931114, 261
24, 743768064, 589944356, 1323707376, 655900908, 458786108, 67088524, 261
25, 743768064, 655499076, 1389262096, 655900908, 458786108, 65931114, 261
26, 743768064, 720946520, 1477351808, 656008184, 720946292, 65931114, 716598626
27, 786694144, 786501244, 1542906532, 656008184, 720946292, 65935699, 261
28, 852295680, 852128816, 1608534104, 656008184, 720946292, 67674109, 261
29, 917831680, 917683536, 1674088824, 656008184, 720946292, 65938114, 261
30, 983433216, 983238256, 1739643544, 656008184, 720946292, 65938121, 261
31, 1048969216, 1048792976, 1805198264, 656008184, 720946292, 65938114, 261
32, 1149370368, 1114186944, 1905578704, 656169084, 1114186568, 65938114, 1134659075
33, 1179910144, 1179742388, 1971134148, 656169084, 1114186568, 65934376, 261
34, 1245577216, 1245406912, 2036798672, 656169084, 1114186568, 68541963, 261
35, 1311113216, 1310962172, 2102353932, 656169084, 1114186568, 65938114, 261
36, 1376714752, 1376517432, 2167909192, 656169084, 1114186568, 65938121, 261
37, 1442250752, 1442072692, 2233464452, 656169084, 1114186568, 65938114, 261
38, 1507786752, 1507627952, 2299019712, 656169084, 1114186568, 65938114, 261
39, 1573388288, 1573183212, 2364574972, 656169084, 1114186568, 65938121, 261
40, 1573388288, 1573186616, 2364578376, 656169084, 1114186568, 3179471, 261
41, 1573388288, 1573189956, 2364581716, 656169084, 1114186568, 3179011, 261
42, 1573388288, 1573193296, 2364585056, 656169084, 1114186568, 3179011, 261
43, 1573388288, 1573196636, 2364588396, 656169084, 1114186568, 3179011, 261
44, 1573388288, 1573199976, 2364591736, 656169084, 1114186568, 3179011, 261

