Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 720896, 5080, 288384, 274384, 2172, 39082, 261
1, 720896, 8792, 292096, 274384, 2172, 6884, 261
2, 720896, 13824, 297128, 274384, 2172, 11334, 261
3, 720896, 17412, 300716, 274384, 2172, 9904, 261
4, 720896, 21060, 304364, 274384, 2172, 9863, 261
5, 720896, 24800, 308104, 274384, 2172, 6884, 261
6, 720896, 29772, 313076, 274384, 2172, 11334, 261
7, 720896, 33364, 316668, 274384, 2172, 9904, 261
8, 720896, 37012, 320316, 274384, 2172, 9883, 261
9, 720896, 40752, 324056, 274384, 2172, 6884, 261
10, 720896, 45724, 329028, 274384, 2172, 11334, 261
11, 720896, 49316, 332620, 274384, 2172, 9904, 261
12, 720896, 52964, 336268, 274384, 2172, 9883, 261
13, 720896, 56704, 340008, 274384, 2172, 6884, 261
14, 720896, 61676, 344980, 274384, 2172, 11334, 261
15, 720896, 65268, 348572, 274384, 2172, 9904, 261
16, 720896, 68916, 352220, 274384, 2172, 9883, 261
17, 720896, 72656, 355960, 274384, 2172, 6884, 261
18, 720896, 77628, 360932, 274384, 2172, 11334, 261
19, 720896, 81220, 364524, 274384, 2172, 9904, 261
20, 720896, 84868, 368172, 274384, 2172, 9883, 261
21, 720896, 88608, 371912, 274384, 2172, 6884, 261
22, 720896, 93580, 376884, 274384, 2172, 11334, 261
23, 720896, 97172, 380476, 274384, 2172, 9904, 261
24, 720896, 100820, 384124, 274384, 2172, 9883, 261
25, 720896, 104560, 387864, 274384, 2172, 6884, 261
26, 720896, 109532, 392836, 274384, 2172, 11334, 261
27, 720896, 113124, 396428, 274384, 2172, 9904, 261
28, 720896, 116772, 400076, 274384, 2172, 9883, 261
29, 720896, 120512, 403816, 274384, 2172, 6884, 261
30, 720896, 125484, 408788, 274384, 2172, 11334, 261
31, 720896, 129076, 412380, 274384, 2172, 9904, 261
32, 720896, 132724, 416028, 274384, 2172, 9883, 261
33, 720896, 136464, 419768, 274384, 2172, 6884, 261
34, 720896, 141436, 424740, 274384, 2172, 11334, 261
35, 720896, 145028, 428332, 274384, 2172, 9904, 261
36, 720896, 148676, 431980, 274384, 2172, 9883, 261
37, 720896, 152416, 435720, 274384, 2172, 6884, 261
38, 720896, 157388, 440692, 274384, 2172, 11334, 261
39, 720896, 160980, 444284, 274384, 2172, 9904, 261
40, 720896, 164628, 447932, 274384, 2172, 9883, 261
41, 720896, 168368, 451672, 274384, 2172, 6884, 261
42, 720896, 173340, 456644, 274384, 2172, 11334, 261
43, 720896, 176932, 460236, 274384, 2172, 9904, 261
44, 720896, 180580, 463884, 274384, 2172, 9883, 261
45, 720896, 184320, 467624, 274384, 2172, 6884, 261
46, 720896, 189292, 472596, 274384, 2172, 11334, 261
47, 720896, 192884, 476188, 274384, 2172, 9904, 261
48, 720896, 196532, 479836, 274384, 2172, 9883, 261
49, 720896, 200272, 483576, 274384, 2172, 6884, 261
50, 720896, 205244, 488548, 274384, 2172, 11334, 261
51, 720896, 208836, 492140, 274384, 2172, 9904, 261
52, 720896, 2192, 502700, 484676, 2172, 9883, 74713
53, 720896, 5932, 506440, 484676, 2172, 6884, 261
54, 720896, 10900, 511408, 484676, 2172, 11334, 261
55, 720896, 14488, 514996, 484676, 2172, 9904, 261
56, 720896, 18132, 518640, 484676, 2172, 9883, 261
57, 720896, 21872, 522380, 484676, 2172, 6884, 261
58, 720896, 26844, 527352, 484676, 2172, 11334, 261
59, 720896, 30436, 530944, 484676, 2172, 9904, 261
60, 720896, 34084, 534592, 484676, 2172, 9883, 261
61, 720896, 37824, 538332, 484676, 2172, 6884, 261
62, 720896, 42796, 543304, 484676, 2172, 11334, 261
63, 720896, 46388, 546896, 484676, 2172, 9904, 261
64, 720896, 50036, 550544, 484676, 2172, 9883, 261
65, 720896, 53776, 554284, 484676, 2172, 6884, 261
66, 720896, 58748, 559256, 484676, 2172, 11334, 261
67, 720896, 62340, 562848, 484676, 2172, 9904, 261
68, 720896, 65988, 566496, 484676, 2172, 9883, 261
69, 720896, 69728, 570236, 484676, 2172, 6884, 261
70, 720896, 74700, 575208, 484676, 2172, 11334, 261
71, 720896, 78292, 578800, 484676, 2172, 9904, 261
72, 720896, 81940, 582448, 484676, 2172, 9883, 261
73, 720896, 85680, 586188, 484676, 2172, 6884, 261
74, 720896, 90652, 591160, 484676, 2172, 11334, 261
75, 720896, 94244, 594752, 484676, 2172, 9904, 261
76, 720896, 97892, 598400, 484676, 2172, 9883, 261
77, 720896, 101632, 602140, 484676, 2172, 6884, 261
78, 720896, 106604, 607112, 484676, 2172, 11334, 261
79, 720896, 110196, 610704, 484676, 2172, 9904, 261
80, 720896, 113844, 614352, 484676, 2172, 9883, 261
81, 720896, 117584, 618092, 484676, 2172, 6884, 261
82, 720896, 122556, 623064, 484676, 2172, 11334, 261
83, 720896, 126148, 626656, 484676, 2172, 9904, 261
84, 720896, 129796, 630304, 484676, 2172, 9883, 261
85, 720896, 133536, 634044, 484676, 2172, 6884, 261
86, 720896, 138508, 639016, 484676, 2172, 11334, 261
87, 720896, 142100, 642608, 484676, 2172, 9904, 261
88, 720896, 145748, 646256, 484676, 2172, 9883, 261
89, 720896, 149488, 649996, 484676, 2172, 6884, 261
90, 720896, 154460, 654968, 484676, 2172, 11334, 261
91, 720896, 158052, 658560, 484676, 2172, 9904, 261
92, 720896, 161700, 662208, 484676, 2172, 9883, 261
93, 720896, 165440, 665948, 484676, 2172, 6884, 261
94, 720896, 170412, 670920, 484676, 2172, 11334, 261
95, 720896, 174004, 674512, 484676, 2172, 9904, 261
96, 720896, 177652, 678160, 484676, 2172, 9883, 261
97, 720896, 181392, 681900, 484676, 2172, 6884, 261
98, 720896, 186364, 686872, 484676, 2172, 11334, 261
99, 720896, 189956, 690464, 484676, 2172, 9904, 261
100, 720896, 193604, 694112, 484676, 2172, 9883, 261
101, 720896, 197344, 697852, 484676, 2172, 6884, 261
102, 720896, 202316, 702824, 484676, 2172, 11334, 261
103, 720896, 205908, 706416, 484676, 2172, 9904, 261
