Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 720896, 5080, 281636, 274384, 2172, 39082, 261
1, 720896, 8792, 285348, 274384, 2172, 6884, 261
2, 720896, 13824, 290380, 274384, 2172, 11334, 261
3, 720896, 17412, 293968, 274384, 2172, 9904, 261
4, 720896, 21060, 297616, 274384, 2172, 9863, 261
5, 720896, 24800, 301356, 274384, 2172, 6884, 261
6, 720896, 29772, 306328, 274384, 2172, 11334, 261
7, 720896, 33364, 309920, 274384, 2172, 9904, 261
8, 720896, 37012, 313568, 274384, 2172, 9883, 261
9, 720896, 40752, 317308, 274384, 2172, 6884, 261
10, 720896, 45724, 322280, 274384, 2172, 11334, 261
11, 720896, 49316, 325872, 274384, 2172, 9904, 261
12, 720896, 52964, 329520, 274384, 2172, 9883, 261
13, 720896, 56704, 333260, 274384, 2172, 6884, 261
14, 720896, 61676, 338232, 274384, 2172, 11334, 261
15, 720896, 65268, 341824, 274384, 2172, 9904, 261
16, 720896, 68916, 345472, 274384, 2172, 9883, 261
17, 720896, 72656, 349212, 274384, 2172, 6884, 261
18, 720896, 77628, 354184, 274384, 2172, 11334, 261
19, 720896, 81220, 357776, 274384, 2172, 9904, 261
20, 720896, 84868, 361424, 274384, 2172, 9883, 261
21, 720896, 88608, 365164, 274384, 2172, 6884, 261
22, 720896, 93580, 370136, 274384, 2172, 11334, 261
23, 720896, 97172, 373728, 274384, 2172, 9904, 261
24, 720896, 100820, 377376, 274384, 2172, 9883, 261
25, 720896, 104560, 381116, 274384, 2172, 6884, 261
26, 720896, 109532, 386088, 274384, 2172, 11334, 261
27, 720896, 113124, 389680, 274384, 2172, 9904, 261
28, 720896, 116772, 393328, 274384, 2172, 9883, 261
29, 720896, 120512, 397068, 274384, 2172, 6884, 261
30, 720896, 125484, 402040, 274384, 2172, 11334, 261
31, 720896, 129076, 405632, 274384, 2172, 9904, 261
32, 720896, 132724, 409280, 274384, 2172, 9883, 261
33, 720896, 136464, 413020, 274384, 2172, 6884, 261
34, 720896, 141436, 417992, 274384, 2172, 11334, 261
35, 720896, 145028, 421584, 274384, 2172, 9904, 261
36, 720896, 148676, 425232, 274384, 2172, 9883, 261
37, 720896, 152416, 428972, 274384, 2172, 6884, 261
38, 720896, 157388, 433944, 274384, 2172, 11334, 261
39, 720896, 160980, 437536, 274384, 2172, 9904, 261
40, 720896, 164628, 441184, 274384, 2172, 9883, 261
41, 720896, 168368, 444924, 274384, 2172, 6884, 261
42, 720896, 173340, 449896, 274384, 2172, 11334, 261
43, 720896, 176932, 453488, 274384, 2172, 9904, 261
44, 720896, 180580, 457136, 274384, 2172, 9883, 261
45, 720896, 184320, 460876, 274384, 2172, 6884, 261
46, 720896, 189292, 465848, 274384, 2172, 11334, 261
47, 720896, 192884, 469440, 274384, 2172, 9904, 261
48, 720896, 196532, 473088, 274384, 2172, 9883, 261
49, 720896, 200272, 476828, 274384, 2172, 6884, 261
50, 720896, 205244, 481800, 274384, 2172, 11334, 261
51, 720896, 208836, 485392, 274384, 2172, 9904, 261
52, 720896, 2192, 491004, 484676, 2172, 9883, 38887
53, 720896, 5932, 494744, 484676, 2172, 6884, 261
54, 720896, 10900, 499712, 484676, 2172, 11334, 261
55, 720896, 14488, 503300, 484676, 2172, 9904, 261
56, 720896, 18132, 506944, 484676, 2172, 9883, 261
57, 720896, 21872, 510684, 484676, 2172, 6884, 261
58, 720896, 26844, 515656, 484676, 2172, 11334, 261
59, 720896, 30436, 519248, 484676, 2172, 9904, 261
60, 720896, 34084, 522896, 484676, 2172, 9883, 261
61, 720896, 37824, 526636, 484676, 2172, 6884, 261
62, 720896, 42796, 531608, 484676, 2172, 11334, 261
63, 720896, 46388, 535200, 484676, 2172, 9904, 261
64, 720896, 50036, 538848, 484676, 2172, 9883, 261
65, 720896, 53776, 542588, 484676, 2172, 6884, 261
66, 720896, 58748, 547560, 484676, 2172, 11334, 261
67, 720896, 62340, 551152, 484676, 2172, 9904, 261
68, 720896, 65988, 554800, 484676, 2172, 9883, 261
69, 720896, 69728, 558540, 484676, 2172, 6884, 261
70, 720896, 74700, 563512, 484676, 2172, 11334, 261
71, 720896, 78292, 567104, 484676, 2172, 9904, 261
72, 720896, 81940, 570752, 484676, 2172, 9883, 261
73, 720896, 85680, 574492, 484676, 2172, 6884, 261
74, 720896, 90652, 579464, 484676, 2172, 11334, 261
75, 720896, 94244, 583056, 484676, 2172, 9904, 261
