Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 230162432, 133720, 236748472, 229428008, 133496, 2158180, 4486539
1, 230162432, 137440, 236752192, 229428008, 133496, 6884, 261
2, 230162432, 133696, 245206508, 237617668, 133496, 2158180, 4485495
3, 230162432, 137416, 245210228, 237617668, 133496, 6884, 261
4, 230162432, 133636, 253663312, 245806164, 133496, 2158180, 4483027
5, 230162432, 137356, 253667032, 245806164, 133496, 6884, 261
6, 230162432, 133600, 262118476, 253993052, 133496, 2158180, 4481654
7, 230162432, 137320, 262122196, 253993052, 133496, 6884, 261
8, 230162432, 133540, 270571904, 262178284, 133496, 2158180, 4479044
9, 230162432, 137260, 270575624, 262178284, 133496, 6884, 261
10, 230162432, 133432, 279025112, 270363360, 133496, 2158180, 4474656
11, 230162432, 137152, 279028832, 270363360, 133496, 6884, 261
12, 230162432, 133324, 287473628, 278543888, 133496, 2158180, 4470218
13, 230162432, 137044, 287477348, 278543888, 133496, 6884, 261
14, 230162432, 133252, 295917972, 286720336, 133496, 2158180, 4467413
15, 230162432, 136972, 295921692, 286720336, 133496, 6884, 261
16, 230162432, 133072, 304358384, 294893088, 133496, 2158180, 4459625
17, 230162432, 136792, 304362104, 294893088, 133496, 6884, 261
18, 230162432, 132772, 312793920, 303061244, 133496, 2158180, 4447480
19, 230162432, 136492, 312797640, 303061244, 133496, 6884, 261

