Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 223281152, 133704, 229911204, 229428008, 133496, 2158180, 3693626
1, 223281152, 137424, 229914924, 229428008, 133496, 6884, 261
2, 223281152, 133680, 238367780, 237617668, 133496, 2158180, 3692802
3, 223281152, 137400, 238371500, 237617668, 133496, 6884, 261
4, 223281152, 133620, 246823036, 245806164, 133496, 2158180, 3690742
5, 223281152, 137340, 246826756, 245806164, 133496, 6884, 261
6, 223281152, 133584, 255276636, 253993052, 133496, 2158180, 3689512
7, 223281152, 137304, 255280356, 253993052, 133496, 6884, 261
8, 223281152, 133524, 263728436, 262178284, 133496, 2158180, 3687452
9, 223281152, 137244, 263732156, 262178284, 133496, 6884, 261
10, 223281152, 133416, 272179816, 270363360, 133496, 2158180, 3683756
11, 223281152, 137136, 272183536, 270363360, 133496, 6884, 261
12, 223281152, 133308, 280626432, 278543888, 133496, 2158180, 3680048
13, 223281152, 137028, 280630152, 278543888, 133496, 6884, 261
14, 223281152, 133236, 289068860, 286720336, 133496, 2158180, 3677582
15, 223281152, 136956, 289072580, 286720336, 133496, 6884, 261
16, 223281152, 133056, 297507124, 294893088, 133496, 2158180, 3671417
17, 223281152, 136776, 297510844, 294893088, 133496, 6884, 261
18, 223281152, 132756, 305940072, 303061244, 133496, 2158180, 3661132
19, 223281152, 136476, 305943792, 303061244, 133496, 6884, 261

