Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 589824, 393196, 393196, 0, 0, 7120, 261
1, 1114112, 966176, 1291088, 311568, 81972, 8025558, 2437022
2, 1900544, 1722076, 2827936, 1060244, 217852, 19125675, 6729425
3, 2949120, 2787128, 5221488, 2330800, 451872, 33259528, 13781737
4, 4521984, 4369108, 8827272, 4263380, 854904, 52408650, 24636919
5, 4718592, 4226788, 11656524, 7090192, 1542652, 79856693, 41232729
6, 5046272, 4854388, 14801328, 9467084, 1850252, 59614103, 50057293
7, 9109504, 8916676, 21720428, 12163976, 2157852, 66654138, 62124892
8, 9371648, 7675808, 26080592, 17478136, 3602872, 155327659, 97613630
9, 9371648, 8445408, 30721980, 21101828, 4052472, 90925525, 108363286
10, 9371648, 4502984, 31003584, 25045520, 4502072, 97965525, 125778109
11, 9371648, 4895092, 31395692, 25045520, 4502072, 9868, 261
12, 9371648, 5779648, 32280248, 25045520, 4502072, 8028095, 261
13, 9371648, 7284228, 33784828, 25045520, 4502072, 19125685, 261
14, 9371648, 2787128, 36352200, 31878232, 4502072, 33259495, 14614060
15, 9371648, 4369108, 39957984, 33810812, 4502072, 52408567, 24636912
16, 9371648, 4226788, 42787236, 36637624, 4502072, 79856561, 41232715
17, 9371648, 4854388, 45932040, 39014516, 4502072, 59614125, 50057293
18, 9371648, 8916676, 52851140, 41711408, 4502072, 66654125, 62124885
19, 9371648, 7675808, 57211304, 47025568, 4502072, 155327239, 97613623
20, 9371648, 8445408, 61852692, 50649260, 4502072, 90925525, 108363286
21, 16449536, 16283428, 73914740, 54592952, 4502072, 97965525, 125778109
22, 16973824, 12973940, 80115304, 63577732, 7299004, 273120173, 190416500
23, 16973824, 13956740, 86532444, 68590224, 7961804, 127314747, 201372786
24, 16973824, 14939540, 93300296, 73922716, 8624604, 134354725, 225122165
25, 16973824, 15922340, 100418860, 79575208, 9287404, 141394725, 249991608
26, 17104896, 16914756, 107897760, 85547700, 9950204, 148434725, 275981028
27, 34406400, 34238336, 132065252, 91846612, 10616200, 155703659, 319834215
28, 35520512, 25268736, 141708504, 109373104, 16712200, 551643139, 438429167
29, 35520512, 26571136, 151391464, 116947600, 17694600, 192444569, 444446466
30, 35913728, 35768028, 160588356, 116947600, 17694600, 199484547, 261
31, 37093376, 29175936, 171255800, 133056584, 19659400, 206524523, 518135288
32, 39190528, 39012828, 181092692, 133056584, 19659400, 213564547, 261
33, 40435712, 31780736, 192501536, 150445568, 21624200, 220604705, 593673264
