Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 589824, 393180, 393196, 0, 0, 7120, 261
1, 1114112, 966160, 1359716, 311568, 81972, 8025558, 1424598
2, 1900544, 1722060, 3082144, 1060244, 217852, 19125646, 3746009
3, 2949120, 2787112, 5869624, 2330800, 451872, 33259507, 7414367
4, 4521984, 4369092, 10239088, 4263380, 854904, 52408608, 13133700
5, 6094848, 4226772, 14466232, 7090192, 1542652, 79856616, 22046824
6, 6225920, 4854372, 19320976, 9467084, 1850252, 59614103, 27583645
7, 9109504, 8916660, 28238008, 12163976, 2157852, 66654103, 33500711
8, 12713984, 7675792, 35914172, 17478136, 3602872, 155327442, 51025778
9, 12713984, 8445392, 44359936, 21101828, 4052472, 90925525, 59104093
10, 13107200, 4502968, 48863276, 25045520, 4502072, 97965525, 67562835
11, 13107200, 4895076, 49255384, 25045520, 4502072, 9868, 261
12, 13107200, 5779632, 50139940, 25045520, 4502072, 8028095, 261
13, 13107200, 7284212, 51644520, 25045520, 4502072, 19125685, 261
14, 13107200, 2787112, 54432004, 31878232, 4502072, 33259495, 7414318
15, 13107200, 4369092, 58801468, 33810812, 4502072, 52408567, 13133609
16, 13107200, 4226772, 63028612, 36637624, 4502072, 79856561, 22046656
17, 13107200, 4854372, 67883356, 39014516, 4502072, 59614125, 27583631
18, 13107200, 8916660, 76800388, 41711408, 4502072, 66654125, 33500606
19, 13107200, 7675792, 84476552, 47025568, 4502072, 155327239, 51025393
20, 13107200, 8445392, 92922316, 50649260, 4502072, 90925525, 59104093
21, 16449536, 16283412, 109206100, 54592952, 4502072, 97965525, 67562793
22, 23789568, 12973924, 122180396, 63577732, 7299004, 273119774, 99587966
23, 23789568, 13956724, 136137492, 68590224, 7961804, 127314747, 110911757
24, 23789568, 14939524, 151077388, 73922716, 8624604, 134354725, 122616332
25, 24379392, 15922324, 167000084, 79575208, 9287404, 141394725, 134700970
26, 26017792, 16914740, 183915196, 85547700, 9950204, 148434725, 147165657
27, 34406400, 34238320, 218153888, 91846612, 10616200, 155703623, 160041789
28, 51118080, 25268720, 243422980, 109373104, 16712200, 551642039, 226911892
29, 51118080, 26571120, 269994472, 116947596, 17694600, 192444547, 243670207
30, 51118080, 35768012, 279191364, 116947596, 17694600, 199484547, 261
31, 55574528, 29175920, 308367656, 133056580, 19659400, 206524503, 278330883
32, 55574528, 39012816, 318204552, 133056580, 19659400, 213564569, 261
33, 60817408, 31780720, 349985644, 150445568, 21624200, 220604503, 314511167
34, 77004800, 76860828, 395065752, 150445568, 21624200, 227644569, 261
35, 112132096, 47341916, 442408040, 192202572, 35104196, 1058632600, 465936130
36, 112132096, 47343188, 442409312, 192202572, 35104196, 276041391, 261
37, 112132096, 47735296, 442801420, 192202572, 35104196, 9868, 261
38, 112132096, 48619852, 443685976, 192202572, 35104196, 8028117, 261
39, 112132096, 50124432, 445190556, 192202572, 35104196, 19125707, 261
40, 112132096, 52460044, 447526168, 192202572, 35104196, 33259517, 261
41, 112132096, 55974604, 451040728, 192202572, 35104196, 52408545, 261
42, 112132096, 4226772, 455267872, 246634896, 35104196, 79856539, 22046656
43, 112132096, 4854372, 460122616, 249011788, 35104196, 59614147, 27583631
44, 112132096, 8916660, 469039648, 251708680, 35104196, 66654147, 33500606
45, 112132096, 7675792, 476715812, 257022840, 35104196, 155327261, 51025393
46, 112132096, 8445392, 485161576, 260646532, 35104196, 90925547, 59104093
47, 112132096, 16283412, 501445360, 264590224, 35104196, 97965547, 67562793
48, 112132096, 12973924, 514419656, 273575004, 35104196, 273119439, 99587182
49, 112132096, 13956724, 528376756, 278587500, 35104196, 127314791, 110911757
50, 112132096, 14939524, 543316656, 283919996, 35104196, 134354769, 122616332
51, 112132096, 15922324, 559239356, 289572492, 35104196, 141394769, 134700907
52, 112132096, 16914740, 576154472, 295544988, 35104196, 148434769, 147165482
53, 112132096, 34238320, 610393168, 301843904, 35104196, 155703667, 160041607
54, 112132096, 25268720, 635662264, 319370400, 35104196, 551641369, 226910107
55, 112132096, 26571120, 662233760, 326944896, 35104196, 192444591, 243670207
56, 112132096, 35768016, 671430656, 326944896, 35104196, 199484569, 261
57, 112132096, 29175920, 700606948, 343053884, 35104196, 206524525, 278330407
58, 112132096, 39012816, 710443844, 343053884, 35104196, 213564591, 261
59, 112132096, 31780720, 742224936, 360442872, 35104196, 220604525, 314510607
60, 112132096, 76860828, 787305044, 360442872, 35104196, 227644591, 261
61, 112132096, 47341916, 834647332, 402199876, 35104196, 1058630893, 465932378
62, 112132096, 59900012, 847205428, 402199876, 35104196, 276041413, 261
