Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 2949120, 2800764, 2800764, 0, 0, 2687, 261
1, 5767168, 5600460, 5688924, 664, 2800228, 32207898, 114051472
2, 8585216, 8400460, 8664588, 1032, 5600228, 32208138, 214390679
3, 11403264, 11200828, 11464956, 1032, 5600228, 32208131, 261
4, 14155776, 14000460, 14615624, 1764, 11200228, 32208108, 428771196
5, 16973824, 16800828, 17415992, 1764, 11200228, 32208132, 261
6, 19791872, 19601192, 20216356, 1764, 11200228, 32208108, 261
7, 22544384, 22400460, 23629536, 2860, 19600228, 32208108, 743491974
8, 25362432, 25200828, 26429904, 2860, 19600228, 32208104, 261
9, 28180480, 28001192, 29230268, 2860, 19600228, 32208108, 261
10, 30998528, 30801556, 32030632, 2860, 19600228, 32208108, 261
11, 33751040, 33600460, 35793828, 4320, 30800228, 32208108, 1158552960
12, 36569088, 36401008, 38594376, 4320, 30800228, 32210411, 261
13, 39387136, 39201372, 41394740, 4320, 30800228, 32208108, 261
14, 42205184, 42001736, 44195104, 4320, 30800228, 32208108, 261
15, 44957696, 44802100, 46995468, 4320, 30800228, 32208108, 261
16, 47775744, 47602464, 49795832, 4320, 30800228, 32208101, 261
17, 50593792, 50400460, 54084052, 6688, 47600228, 32208108, 1787994511
18, 53346304, 53201008, 56884600, 6688, 47600228, 32210355, 261
19, 56164352, 56001372, 59684964, 6688, 47600228, 32208101, 261
20, 58982400, 58801736, 62485328, 6688, 47600228, 32208108, 261
21, 61800448, 61602100, 65285692, 6688, 47600228, 32208108, 261
22, 64552960, 64402464, 68086056, 6688, 47600228, 32208108, 261
23, 67371008, 67202828, 70886420, 6688, 47600228, 32208101, 261
24, 70189056, 70003192, 73686784, 6688, 47600228, 32208108, 261
25, 73007104, 72803556, 76487148, 6688, 47600228, 32208108, 261
26, 75759616, 75600460, 81562904, 10148, 72800228, 32208108, 2732156763
27, 78577664, 78401008, 84363452, 10148, 72800228, 32210299, 261
28, 81395712, 81201372, 87163816, 10148, 72800228, 32208108, 261
29, 84148224, 84001736, 89964180, 10148, 72800228, 32208108, 261
30, 86966272, 86802100, 92764544, 10148, 72800228, 32208101, 261
31, 89784320, 89602464, 95564908, 10148, 72800228, 32208108, 261
32, 92602368, 92402828, 98365272, 10148, 72800228, 32208108, 261
33, 95354880, 95203192, 101165636, 10148, 72800228, 32208108, 261
34, 98172928, 98003556, 103966000, 10148, 72800228, 32208101, 261
35, 100990976, 100803920, 106766364, 10148, 72800228, 32208108, 261
