Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 2949120, 2800764, 2800764, 0, 0, 2687, 261
1, 5767168, 5600460, 8401352, 664, 2800228, 32207898, 87834277
2, 11403264, 8400460, 16801948, 1032, 5600228, 32207851, 175659578
3, 11403264, 11200828, 19602316, 1032, 5600228, 32207851, 261
4, 22544384, 14000460, 33602908, 1764, 11200228, 32207807, 351310166
5, 22544384, 16800828, 36403276, 1764, 11200228, 32207873, 261
6, 22544384, 19601192, 39203640, 1764, 11200228, 32207807, 261
7, 39387136, 22400460, 61604232, 2860, 19600228, 32207807, 614785775
8, 39387136, 25200828, 64404600, 2860, 19600228, 32207873, 261
9, 39387136, 28001192, 67204964, 2860, 19600228, 32207807, 261
10, 39387136, 30801556, 70005328, 2860, 19600228, 32207807, 261
11, 61800448, 33600460, 103605920, 4320, 30800228, 32207807, 966086370
12, 61800448, 36400828, 106406288, 4320, 30800228, 32207873, 261
13, 61800448, 39201192, 109206652, 4320, 30800228, 32207807, 261
14, 61800448, 42001556, 112007016, 4320, 30800228, 32207807, 261
15, 61800448, 44801920, 114807380, 4320, 30800228, 32207807, 261
16, 61800448, 47602284, 117607744, 4320, 30800228, 32207807, 261
17, 95354880, 50400460, 168008336, 6508, 47600228, 32207807, 1493037560
18, 95354880, 53201008, 170808884, 6508, 47600228, 32210215, 261
19, 95354880, 56001372, 173609248, 6508, 47600228, 32207807, 261
20, 95354880, 58801736, 176409612, 6508, 47600228, 32207807, 261
21, 95354880, 61602100, 179209976, 6508, 47600228, 32207807, 261
22, 95354880, 64402464, 182010340, 6508, 47600228, 32207807, 261
23, 95354880, 67202828, 184810704, 6508, 47600228, 32207807, 261
24, 95354880, 70003192, 187611068, 6508, 47600228, 32207807, 261
25, 95354880, 72803556, 190411432, 6508, 47600228, 32207807, 261
26, 145752064, 75600460, 266012024, 9968, 72800228, 32207807, 2283464359
27, 145752064, 78401008, 268812572, 9968, 72800228, 32210243, 261
28, 145752064, 81201372, 271612936, 9968, 72800228, 32207829, 261
29, 145752064, 84001736, 274413300, 9968, 72800228, 32207829, 261
30, 145752064, 86802100, 277213664, 9968, 72800228, 32207829, 261
31, 145752064, 89602464, 280014028, 9968, 72800228, 32207829, 261
32, 145752064, 92402828, 282814392, 9968, 72800228, 32207829, 261
33, 145752064, 95203192, 285614756, 9968, 72800228, 32207829, 261
34, 145752064, 98003556, 288415120, 9968, 72800228, 32207829, 261
35, 145752064, 100803920, 291215484, 9968, 72800228, 32207829, 261
36, 145752064, 103604284, 294015848, 9968, 72800228, 32207829, 261
37, 145752064, 106404648, 296816212, 9968, 72800228, 32207829, 261
38, 145752064, 109205012, 299616576, 9968, 72800228, 32207829, 261
39, 145752064, 112005376, 302416940, 9968, 72800228, 32207829, 261
40, 224198656, 114800460, 417217532, 15248, 112000228, 32207829, 3513017355
41, 224198656, 117601008, 420018080, 15248, 112000228, 32210265, 261
42, 224198656, 120401372, 422818444, 15248, 112000228, 32207829, 261
43, 224198656, 123201736, 425618808, 15248, 112000228, 32207829, 261
44, 224198656, 126002100, 428419172, 15248, 112000228, 32207829, 261
45, 224198656, 128802464, 431219536, 15248, 112000228, 32207829, 261
46, 224198656, 131602828, 434019900, 15248, 112000228, 32207829, 261
47, 224198656, 134403192, 436820264, 15248, 112000228, 32207829, 261
48, 224198656, 137203556, 439620628, 15248, 112000228, 32207829, 261
49, 224198656, 140003920, 442420992, 15248, 112000228, 32207829, 261
50, 224198656, 140004372, 442421444, 15248, 112000228, 32207829, 261
51, 224198656, 140004824, 442421896, 15248, 112000228, 655009107, 261
52, 224198656, 140005280, 442422352, 15248, 112000228, 655009129, 261
53, 224198656, 140005736, 442422808, 15248, 112000228, 655009129, 261
