Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 196608, 6296, 6296, 0, 0, 8094, 261
1, 196608, 13412, 13412, 0, 0, 80775, 261
2, 196608, 21252, 21252, 0, 0, 6884, 261
3, 196608, 27232, 27232, 0, 0, 8094, 261
4, 196608, 34352, 34352, 0, 0, 80830, 261
5, 196608, 42192, 42192, 0, 0, 6884, 261
6, 196608, 48172, 48172, 0, 0, 8094, 261
7, 262144, 55324, 55324, 0, 0, 81372, 261
8, 262144, 63164, 63164, 0, 0, 6884, 261
9, 262144, 69144, 69144, 0, 0, 8094, 261
10, 262144, 3396, 78880, 72836, 3168, 80513, 94647
11, 262144, 11240, 86724, 72836, 3168, 6884, 261
12, 262144, 17220, 92704, 72836, 3168, 8094, 261
13, 262144, 24344, 99828, 72836, 3168, 80809, 261
14, 262144, 32188, 107672, 72836, 3168, 6884, 261
15, 262144, 38172, 113656, 72836, 3168, 8094, 261
16, 262144, 45264, 120748, 72836, 3168, 80788, 261
17, 262144, 53108, 128592, 72836, 3168, 6884, 261
18, 262144, 59092, 134576, 72836, 3168, 8094, 261
19, 262144, 66168, 141652, 72836, 3168, 79890, 261
20, 262144, 74012, 149496, 72836, 3168, 6884, 261
21, 262144, 5416, 158136, 147416, 3168, 8094, 261
22, 262144, 12600, 165320, 147416, 3168, 81894, 261
23, 262144, 20444, 173164, 147416, 3168, 6884, 261
24, 262144, 26428, 179148, 147416, 3168, 8094, 261
25, 262144, 33552, 186272, 147416, 3168, 80775, 261
26, 262144, 41396, 194116, 147416, 3168, 6884, 261
27, 262144, 47380, 200100, 147416, 3168, 8094, 261
28, 262144, 54504, 207224, 147416, 3168, 80577, 261
29, 262144, 62348, 215068, 147416, 3168, 6884, 261
30, 262144, 45760, 266948, 211452, 44300, 8094, 261
31, 262144, 113728, 334916, 211452, 44300, 8091, 261
32, 393216, 58700, 410640, 332516, 57244, 8091, 261
33, 393216, 124216, 476156, 332516, 57244, 8091, 261
34, 393216, 75308, 555776, 446948, 73852, 8091, 261
35, 393216, 139968, 620436, 446948, 73852, 8091, 261
36, 393216, 93644, 704048, 554244, 92188, 8091, 261
37, 393216, 44796, 847112, 737980, 92188, 2916562, 558269
38, 458752, 3800, 1134660, 1055924, 92188, 6884, 261
39, 458752, 51184, 1182044, 1055924, 92188, 8094, 261
40, 458752, 52844, 1253148, 1119704, 92188, 8091, 261
41, 458752, 123504, 1323808, 1119704, 92188, 8091, 261
42, 458752, 66220, 1405652, 1244688, 92188, 8091, 261
43, 458752, 130600, 1470032, 1244688, 92188, 8091, 261
44, 458752, 84812, 1558452, 1356400, 92188, 8091, 261
45, 458752, 155728, 1629368, 1356400, 92188, 8091, 261
46, 458752, 44796, 1759168, 1587476, 92188, 2655556, 564228
47, 458752, 3800, 2046716, 1905420, 92188, 6884, 261
48, 458752, 51184, 2094100, 1905420, 92188, 8094, 261
49, 458752, 54988, 2160580, 1960584, 92188, 8091, 261
50, 458752, 121864, 2227456, 1960584, 92188, 8091, 261
51, 458752, 72364, 2312116, 2080568, 92188, 8091, 261
52, 458752, 138512, 2378264, 2080568, 92188, 8091, 261
53, 458752, 55372, 2505868, 2279304, 92188, 8091, 261
54, 458752, 121488, 2571984, 2279304, 92188, 8091, 261
55, 458752, 44796, 2659992, 2436652, 92188, 1568334, 554932
56, 458752, 3800, 2947540, 2754596, 92188, 6884, 261
