Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 196608, 6280, 6296, 0, 0, 8094, 261
1, 196608, 13444, 13460, 0, 0, 81291, 261
2, 196608, 21284, 21300, 0, 0, 6884, 261
3, 196608, 27264, 27280, 0, 0, 8094, 261
4, 196608, 34416, 34432, 0, 0, 81433, 261
5, 196608, 42256, 42272, 0, 0, 6884, 261
6, 196608, 48236, 48252, 0, 0, 8094, 261
7, 262144, 55356, 55372, 0, 0, 80844, 261
8, 262144, 63196, 63212, 0, 0, 6884, 261
9, 262144, 69176, 69192, 0, 0, 8094, 261
10, 262144, 3380, 79480, 72916, 3168, 80823, 63716
11, 262144, 11224, 87324, 72916, 3168, 6884, 261
12, 262144, 17204, 93304, 72916, 3168, 8094, 261
13, 262144, 24296, 100396, 72916, 3168, 80082, 261
14, 262144, 32140, 108240, 72916, 3168, 6884, 261
15, 262144, 38124, 114224, 72916, 3168, 8094, 261
16, 262144, 45248, 121348, 72916, 3168, 80837, 261
17, 262144, 53092, 129192, 72916, 3168, 6884, 261
18, 262144, 59076, 135176, 72916, 3168, 8094, 261
19, 262144, 66200, 142300, 72916, 3168, 80844, 261
20, 262144, 74044, 150144, 72916, 3168, 6884, 261
21, 262144, 5400, 157720, 147544, 3168, 8094, 261
22, 262144, 12488, 164808, 147544, 3168, 80106, 261
23, 262144, 20332, 172652, 147544, 3168, 6884, 261
24, 262144, 26316, 178636, 147544, 3168, 8094, 261
25, 262144, 33376, 185696, 147544, 3168, 80007, 261
26, 262144, 41220, 193540, 147544, 3168, 6884, 261
27, 262144, 47204, 199524, 147544, 3168, 8094, 261
28, 262144, 54360, 206680, 147544, 3168, 81311, 261
29, 262144, 62204, 214524, 147544, 3168, 6884, 261
30, 327680, 45744, 306272, 211452, 44300, 8094, 261
31, 327680, 108776, 369304, 211452, 44300, 8091, 261
32, 393216, 54908, 497712, 340260, 53468, 8091, 261
33, 393216, 119176, 561980, 340260, 53468, 8091, 261
34, 458752, 72060, 699508, 454284, 70620, 8091, 261
35, 458752, 140048, 767496, 454284, 70620, 8091, 261
36, 458752, 88988, 919072, 569372, 87548, 8091, 261
37, 458752, 44780, 1089352, 739292, 87548, 2690441, 441359
38, 458752, 3784, 1370024, 1057236, 87548, 6884, 261
39, 458752, 51168, 1417408, 1057236, 87548, 8094, 261
40, 458752, 50268, 1537788, 1129688, 87548, 8091, 261
41, 458752, 117200, 1604720, 1129688, 87548, 8091, 261
42, 458752, 67580, 1734936, 1243384, 87548, 8091, 261
43, 458752, 135336, 1802692, 1243384, 87548, 8091, 261
44, 458752, 85436, 1953244, 1359840, 87548, 8091, 261
45, 458752, 152984, 2020792, 1359840, 87548, 8091, 261
46, 524288, 44780, 2185880, 1588564, 87548, 2694935, 441366
47, 524288, 3784, 2466552, 1906508, 87548, 6884, 261
48, 524288, 51168, 2513936, 1906508, 87548, 8094, 261
49, 524288, 54620, 2628236, 1964176, 87548, 8091, 261
50, 524288, 115408, 2689024, 1964176, 87548, 8091, 261
51, 524288, 72156, 2825040, 2072728, 87548, 8091, 261
52, 524288, 136120, 2889004, 2072728, 87548, 8091, 261
53, 524288, 90460, 3043428, 2183792, 89020, 8091, 261
54, 524288, 50332, 3232156, 2363756, 89020, 8091, 261
55, 524288, 119132, 3300956, 2363756, 89020, 1161191, 261
56, 524288, 3784, 3581628, 2756052, 89020, 6884, 261
57, 524288, 51168, 3629012, 2756052, 89020, 8094, 261
58, 524288, 53788, 3747264, 2819336, 89020, 8091, 261
59, 524288, 119888, 3813364, 2819336, 89020, 8091, 261
60, 524288, 72924, 3948196, 2929648, 89020, 8091, 261
61, 524288, 137408, 4012680, 2929648, 89020, 8091, 261
62, 524288, 91644, 4171664, 3044192, 90204, 8091, 261
63, 524288, 157232, 4237252, 3044192, 90204, 8091, 261
64, 524288, 44780, 4412508, 3287332, 90204, 2950358, 441359
65, 524288, 3784, 4693180, 3605276, 90204, 6884, 261
66, 524288, 51168, 4740564, 3605276, 90204, 8094, 261
67, 524288, 54844, 4855592, 3663224, 90204, 8091, 261
68, 524288, 132008, 4932756, 3663224, 90204, 8091, 261
69, 524288, 65468, 5060044, 3793024, 90204, 8091, 261
70, 524288, 131152, 5125728, 3793024, 90204, 8091, 261
71, 524288, 84028, 5273904, 3905736, 90204, 8091, 261
72, 524288, 152184, 5342060, 3905736, 90204, 8091, 261
73, 524288, 44780, 5509996, 4136508, 90204, 2735392, 441359
74, 524288, 3784, 5790668, 4454452, 90204, 6884, 261
75, 524288, 51168, 5838052, 4454452, 90204, 8094, 261
76, 524288, 55068, 5951760, 4510632, 90204, 8091, 261
77, 524288, 119392, 6016084, 4510632, 90204, 8091, 261
78, 524288, 72892, 6153724, 4623320, 90204, 8091, 261
79, 524288, 138072, 6218904, 4623320, 90204, 8091, 261
80, 524288, 90908, 6372744, 4734856, 90204, 8091, 261
81, 524288, 52892, 6554208, 4902884, 90204, 8091, 261
82, 524288, 128268, 6629584, 4902884, 90204, 1309429, 261
83, 524288, 3784, 6910256, 5304316, 90204, 6884, 261
84, 524288, 51168, 6957640, 5304316, 90204, 8094, 261
85, 524288, 54972, 7069580, 5358920, 90204, 8091, 261
86, 524288, 133904, 7148512, 5358920, 90204, 8091, 261
87, 524288, 65532, 7277120, 5491808, 90204, 8091, 261
88, 524288, 132152, 7343740, 5491808, 90204, 8091, 261
89, 524288, 83932, 7491068, 5604864, 90204, 8091, 261
90, 524288, 152928, 7560064, 5604864, 90204, 8091, 261
91, 524288, 44780, 7727328, 5835708, 90204, 2694453, 441359
92, 524288, 3784, 8008000, 6153652, 90204, 6884, 261
93, 524288, 51168, 8055384, 6153652, 90204, 8094, 261
