Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 18481152, 761968, 18280980, 16964532, 761740, 186314333, 32131318
1, 21954560, 1521968, 39308536, 36570792, 1521740, 217370778, 59390667
2, 23855104, 2281968, 61454624, 57238664, 2281740, 229769344, 86452000
3, 25165824, 3041968, 84157412, 78423332, 3041740, 236041099, 113449796
4, 26673152, 3801968, 107602648, 100304920, 3801740, 244099242, 140464477
5, 27656192, 4561968, 131290884, 122399116, 4561740, 246507931, 164524978
6, 28835840, 5321968, 155380412, 144859412, 5321740, 250913723, 194391653
7, 29687808, 6081968, 179585184, 167408432, 6081740, 252239059, 218434641
8, 30932992, 6841968, 204281152, 190410728, 6841740, 257379023, 248314981
9, 32178176, 7601968, 229411932, 213811628, 7601740, 261888693, 278186263
10, 32636928, 8361968, 254265768, 236920952, 8361740, 258590663, 296401673
11, 34013184, 9121968, 279772176, 260640040, 9121740, 265494536, 326299882
12, 35586048, 9881968, 306047092, 285081316, 9881740, 273681981, 350423370
13, 35586048, 10641968, 330982496, 308200640, 10641740, 259215428, 385863301
14, 36306944, 11401968, 356456980, 331819684, 11401740, 264944610, 404175826
15, 37617664, 12161968, 382470780, 355938668, 12161740, 270604199, 428275972
16, 38338560, 12921968, 408479232, 380029432, 12921740, 270287176, 463874028
17, 39583744, 13681968, 434989060, 404583348, 13681740, 275538099, 482188450
18, 40435712, 14441968, 461577916, 429190868, 14441740, 276140883, 512010710
19, 41484288, 15201968, 488424312, 454025096, 15201740, 278708478, 553426523
20, 41549824, 15961968, 514623576, 478208768, 15961740, 271340685, 560030417
21, 42860544, 16721968, 541353316, 502883812, 16721740, 276908610, 589912068
22, 44367872, 17481968, 568828528, 528258712, 17481740, 284834067, 619818887
23, 44433408, 18241968, 595634844, 552961956, 18241740, 277226296, 637988504
24, 46071808, 19001968, 623288200, 578463536, 19001740, 286271108, 667907682
25, 47382528, 19761968, 651501012, 604484588, 19761740, 292160076, 692010124
26, 47382528, 20521968, 678080960, 628899232, 20521740, 274410446, 738977279
27, 47382528, 21281968, 704735476, 653363156, 21281740, 275093102, 745666318
28, 48496640, 22041968, 731795536, 678197304, 22041740, 279291186, 769751403
29, 49545216, 22801968, 759095740, 703241284, 22801740, 281666680, 805379432
30, 87818240, 22801968, 823947392, 765435760, 22801740, 912934841, 902458333
31, 87818240, 22801968, 888798980, 827630172, 22801740, 912930573, 796558044
32, 87818240, 22801968, 953650568, 889824584, 22801740, 912930573, 796558044
33, 87818240, 22801968, 1018502156, 952018996, 22801740, 912930573, 796558044
34, 87818240, 22801968, 1083353744, 1014213408, 22801740, 912930573, 796558044
