Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 17891328, 17725948, 17725964, 0, 0, 7122, 261
1, 21299200, 21126420, 38852748, 16964576, 761736, 186316133, 22514226
2, 23134208, 22948032, 61801152, 36569632, 1521736, 217372769, 44996803
3, 25427968, 24224828, 86026352, 57236300, 2281736, 229771265, 67479387
4, 27459584, 25681748, 111708472, 78419764, 3041736, 236043077, 89961859
5, 29687808, 26654356, 138363200, 100300148, 3801736, 244101199, 112444380
6, 31391744, 27780456, 166144028, 122393140, 4561736, 246509951, 134926824
7, 33292288, 28629180, 194773580, 144852232, 5321736, 250915722, 157409345
8, 34865152, 29842456, 224616408, 167400048, 6081736, 252241093, 179891810
9, 36831232, 31001060, 255617840, 190401140, 6841736, 257381022, 202374352
10, 38797312, 31469484, 287087696, 213800836, 7601736, 261890699, 224856852
11, 39976960, 32839248, 319927316, 236908956, 8361736, 258592719, 247339268
12, 42139648, 34321432, 354249120, 260626840, 9121736, 265496550, 269821873
13, 44367872, 33759480, 388008976, 285066912, 9881736, 273684010, 292304380
14, 44564480, 35019200, 423028552, 308185032, 10641736, 259217550, 314786663
15, 46596096, 36279140, 459308068, 331802872, 11401736, 264946710, 337269359
16, 48627712, 37010920, 496319364, 355920652, 12161736, 270606285, 359751859
17, 50135040, 38234072, 534553812, 380010212, 12921736, 270289298, 382234303
18, 52101120, 39047676, 573601864, 404562924, 13681736, 275540214, 404716852
19, 53673984, 40034384, 613636624, 429169240, 14441736, 276143005, 427199310
20, 55443456, 40143828, 653780828, 454002264, 15201736, 278710600, 449681831
21, 56295424, 41395200, 695176404, 478184732, 15961736, 271342807, 472164233
22, 58261504, 42855056, 738031836, 502858572, 16721736, 276910732, 494646852
23, 60489728, 42943400, 780975612, 528232268, 17481736, 284836168, 517129380
24, 61341696, 44501736, 825477724, 552934308, 18241736, 277228418, 539611733
25, 63700992, 45781208, 871259308, 578434684, 19001736, 286273202, 562094394
26, 65732608, 44934800, 916194484, 604454532, 19761736, 292162198, 584576859
27, 65732608, 45744080, 961938940, 628867972, 20521736, 274412568, 607059142
28, 67174400, 46874304, 1008813620, 653330692, 21281736, 275095224, 629541796
29, 69074944, 47844136, 1056658132, 678163636, 22041736, 279293308, 652024345
30, 85196800, 84994632, 1141653140, 703206412, 22801736, 281668802, 674506831
31, 108003328, 84994568, 1226648264, 765399864, 22801736, 912937030, 674509078
32, 108003328, 84994568, 1311643388, 827593252, 22801736, 912935037, 674506642
33, 108003328, 84994568, 1396638512, 889786640, 22801736, 912935037, 674506642
34, 108003328, 84994568, 1481633636, 951980028, 22801736, 912935037, 674506642
35, 108003328, 84994568, 1566628760, 1014173416, 22801736, 912935037, 674506642
36, 108003328, 84994568, 1651623884, 1076366804, 22801736, 912935037, 674506642
37, 108003328, 84994568, 1736619188, 1138560372, 22801736, 912937379, 674506642
38, 108003328, 84994568, 1821614492, 1200753940, 22801736, 912937379, 674506642
39, 108003328, 84994568, 1906609796, 1262947508, 22801736, 912937379, 674506642
40, 108003328, 35251816, 1941862348, 1325141076, 22801736, 912937379, 674506642
41, 108003328, 34482856, 1976345940, 1337591892, 22801736, 78660102, 674566642
42, 108003328, 34482600, 2010829276, 1349273748, 22801736, 72759450, 674626642
43, 108003328, 34482728, 2045312740, 1360955348, 22801736, 72404278, 674686642
44, 108003328, 34482984, 2079796460, 1372637076, 22801736, 71997896, 674746642
45, 108003328, 34482728, 2114279924, 1384319060, 22801736, 72213292, 674806642
46, 108003328, 34482728, 2148763388, 1396000788, 22801736, 71715656, 674866642
47, 108003328, 33882536, 2182646660, 1407682516, 22801736, 70953636, 674926642
48, 108003328, 44924392, 2193688516, 1407682516, 22801736, 68396658, 261
49, 108003328, 33842792, 2227532040, 1429805904, 22801736, 67517540, 675046642
50, 108003328, 44884392, 2238573640, 1429805904, 22801736, 67048125, 261
51, 108003328, 33842664, 2272417036, 1451889292, 22801736, 67667712, 675166642
52, 108003328, 44884648, 2283459020, 1451889292, 22801736, 67451819, 261
53, 108003328, 33842728, 2317302480, 1473972936, 22801736, 67402806, 675286642
54, 108003328, 44884264, 2328344016, 1473972936, 22801736, 66958996, 261
55, 108003328, 33842856, 2362187604, 1496056196, 22801736, 66984535, 675406642
56, 108003328, 44884264, 2373229012, 1496056196, 22801736, 66509606, 261
57, 108003328, 33842984, 2407072728, 1518139456, 22801736, 66119493, 675526642
58, 108003328, 44884584, 2418114328, 1518139456, 22801736, 68135352, 261
59, 108003328, 33842920, 2451957980, 1540223036, 22801736, 67443264, 675646642
60, 108003328, 54244812, 2472359872, 1540223036, 22801736, 66863503, 261
61, 108003328, 43202828, 2515563432, 1571666844, 22801736, 294895764, 675706642
62, 108003328, 43202828, 2558766996, 1592068672, 22801736, 294895392, 675706642
63, 108003328, 43202828, 2601970560, 1612470500, 22801736, 294895392, 675706642
64, 108003328, 43202828, 2645174124, 1632872328, 22801736, 294895392, 675706642
65, 108003328, 43202828, 2688377688, 1653274156, 22801736, 294895392, 675706642
66, 108003328, 43202828, 2731581252, 1673675984, 22801736, 294895392, 675706642
67, 108003328, 43202828, 2774784816, 1694077812, 22801736, 294895392, 675706642
68, 108003328, 43202828, 2817988380, 1714479640, 22801736, 294895392, 675706642
69, 108003328, 43202828, 2861191944, 1734881468, 22801736, 294895392, 675706642
70, 108003328, 38483056, 2899675736, 1755283296, 22801736, 294895392, 675706642
71, 108003328, 38482552, 2938159024, 1770965352, 22801736, 172121619, 675646642
72, 108003328, 38483080, 2976642840, 1786646904, 22801736, 172642390, 675586642
73, 108003328, 38482288, 3015125864, 1802328984, 22801736, 173272528, 675526642
74, 108003328, 38482904, 3053609504, 1818010272, 22801736, 171442681, 675466642
75, 108003328, 38482464, 3092092704, 1833692176, 22801736, 171800274, 675406642
76, 108003328, 38482728, 3130576168, 1849373640, 22801736, 172226679, 675346642
