Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 11403264, 11230024, 11230024, 0, 0, 2687, 261
1, 13107200, 12913972, 23852096, 10586908, 643244, 107730610, 25193018
2, 13500416, 12672564, 35642448, 22214828, 1286188, 119620005, 48366013
3, 16187392, 16033908, 50233960, 33048700, 1838828, 113835570, 68147507
4, 16711680, 14577140, 62740496, 46510668, 2572076, 137284433, 94775107
5, 16711680, 14965044, 75004136, 57930588, 3157356, 120085432, 115441967
6, 16711680, 16051828, 87846680, 69218412, 3677356, 119465752, 134447041
7, 21430272, 21253044, 105404400, 81073020, 4197356, 124838392, 153176031
8, 22085632, 18392372, 119317496, 97182348, 5143852, 161610448, 187282204
9, 22085632, 17596020, 131694280, 109780444, 5794412, 131631912, 210033052
10, 22085632, 18514612, 144444768, 121062188, 6314412, 120418952, 229163987
11, 22085632, 19289588, 157478944, 132742524, 6834412, 124197272, 247888202
12, 22085632, 20034612, 170762360, 144677836, 7354412, 126614232, 266576065
13, 22085632, 20983156, 184497600, 156838172, 7874412, 128747272, 285260287
14, 23527424, 23345588, 200104912, 169427052, 8394412, 132809534, 303970422
15, 29491200, 29287604, 221035080, 183685372, 9087404, 147177512, 328883505
16, 30408704, 25584244, 237247576, 202685708, 10287404, 187923134, 371896243
17, 30408704, 23308724, 250287696, 217201564, 11068524, 149556574, 399034124
18, 30408704, 23828724, 263256712, 228921900, 11588524, 125587294, 412070010
19, 30408704, 24511540, 276404792, 240642236, 12108524, 125587294, 437276865
20, 30408704, 25348724, 289891396, 252525392, 12628524, 127130676, 455972579
21, 30408704, 25868724, 303404160, 264725732, 13148524, 130137316, 474674203
22, 30408704, 26418676, 316963132, 276926072, 13668524, 130137316, 493326031
23, 30408704, 27388724, 330989336, 289156364, 14188524, 130421258, 511982064
24, 30408704, 27908724, 345045852, 301836704, 14708524, 134687338, 530698724
25, 30408704, 28428724, 359118616, 314517044, 15228524, 134687338, 549350503
26, 30408704, 29325812, 373584724, 327197384, 15748524, 134687338, 568002259
27, 30408704, 29948724, 388181776, 340254812, 16268524, 138261818, 586705415
28, 31064064, 30468724, 402798292, 353415152, 16788524, 139237338, 605371255
29, 34734080, 34570676, 421013008, 366575492, 17308524, 139237338, 624022986
30, 44761088, 44574740, 448494252, 382971800, 18174508, 166997802, 655183349
31, 46137344, 44574740, 476288120, 409372172, 18174508, 1343854513, 599354935
32, 46137344, 44574740, 504082176, 435772724, 18174508, 1343855925, 599354953
33, 46137344, 44574740, 531876232, 462173276, 18174508, 1343855925, 599354953
34, 46137344, 44574740, 559670288, 488573828, 18174508, 1343855925, 599354953
35, 46137344, 44574740, 587464344, 514974380, 18174508, 1343855925, 599354953
36, 46137344, 44574740, 615258400, 541374932, 18174508, 1343855925, 599354953
37, 46137344, 44574740, 643052456, 567775484, 18174508, 1343855925, 599354953
38, 46137344, 44574740, 670846512, 594176036, 18174508, 1343855925, 599354953
39, 46137344, 44574740, 698640568, 620576588, 18174508, 1343855925, 599354953
40, 46137344, 30822388, 712682272, 646977140, 18174508, 1343855925, 599354953
41, 46137344, 31014708, 727006280, 660145340, 18174508, 132245802, 599459593
42, 46137344, 30494708, 741336108, 674025680, 18174508, 138611886, 595912235
43, 46137344, 29159476, 754834456, 687906020, 18174508, 138579726, 591357656
44, 46137344, 28974708, 768626308, 700971128, 18174508, 131267918, 576500608
45, 46137344, 28454708, 782412384, 714371468, 18174508, 134020366, 557888938
46, 46137344, 27309748, 795557252, 727771808, 18174508, 134071246, 539237119
47, 46137344, 26877300, 808753896, 740547188, 18174508, 128467822, 520505273
48, 46137344, 26414708, 821994428, 753410120, 18174508, 128967182, 501861044
49, 46137344, 25738676, 835064472, 766330460, 18174508, 129533966, 483216438
50, 46137344, 24745460, 847640180, 779094768, 18174508, 128124590, 464544794
51, 46137344, 24374708, 860334096, 791385860, 18174508, 123784894, 445830960
52, 46137344, 23854708, 873016428, 803826200, 18174508, 124983966, 427195686
53, 46137344, 22682292, 885030088, 816266540, 18174508, 124907646, 408543898
54, 46137344, 22334708, 897179532, 828054464, 18174508, 119161278, 389808754
55, 46137344, 21814708, 909318112, 840014804, 18174508, 120395806, 371174856
56, 46137344, 21019380, 921165116, 851975144, 18174508, 120395806, 352523058
57, 46137344, 20294708, 932782592, 863660156, 18174508, 118185758, 333839498
58, 46137344, 19774708, 944377420, 875140496, 18174508, 115807646, 315154087
59, 46137344, 19105460, 955806752, 886620836, 18174508, 115883966, 296502364
60, 46137344, 16574740, 965204452, 897951928, 18174508, 114684894, 277834253
61, 46137344, 16574740, 974523064, 906752300, 18174508, 410386107, 252102508
62, 46137344, 16574740, 983841676, 915552672, 18174508, 410386107, 252102508
63, 46137344, 16574740, 993160288, 924353044, 18174508, 410386107, 252102508
64, 46137344, 16574740, 1002478900, 933153416, 18174508, 410386107, 252102508
65, 46137344, 16574740, 1011797512, 941953788, 18174508, 410386107, 252102508
66, 46137344, 16574740, 1021116124, 950754160, 18174508, 410386107, 252102508
67, 46137344, 16574740, 1030434736, 959554532, 18174508, 410386107, 252102508
68, 46137344, 16574740, 1039753348, 968354904, 18174508, 410386107, 252102508
69, 46137344, 16574740, 1049071960, 977155276, 18174508, 410386107, 252102508
