Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 11403264, 11231676, 11231692, 0, 0, 7123, 261
1, 13107200, 12916216, 24148272, 10587344, 644696, 107734207, 17676439
2, 14352384, 12674808, 36823452, 22216292, 1287640, 119625474, 35320382
3, 16187392, 16036152, 52859976, 33051192, 1840280, 113841074, 50535584
4, 18808832, 14579384, 67439732, 46514188, 2573528, 137289811, 70608289
5, 18808832, 14967288, 82407392, 57935136, 3158808, 120090936, 86701109
6, 18808832, 16054072, 98461836, 69223988, 3678808, 119471256, 101038609
7, 21430272, 21255288, 119717496, 81079624, 4198808, 124843896, 115376284
8, 26607616, 18394616, 138112484, 97189980, 5145304, 161615553, 141184082
9, 26607616, 17598264, 155711120, 109789104, 5795864, 131637416, 159032229
10, 26607616, 18516856, 174228348, 121071876, 6315864, 120424456, 173369729
11, 26607616, 19291832, 193520552, 132753240, 6835864, 124202776, 187707229
12, 26804224, 20036856, 213557780, 144689580, 7355864, 126619736, 202044750
13, 28114944, 20985400, 234543552, 156850944, 7875864, 128752776, 216382369
14, 29556736, 23347832, 257891756, 169440852, 8395864, 132815016, 230719883
15, 32636928, 29289848, 287181976, 183700200, 9088856, 147182840, 249709898
16, 39780352, 25586488, 312768836, 202701564, 10288856, 187928078, 282335332
17, 39780352, 23310968, 336080180, 217218452, 11069976, 149562100, 303694469
18, 39780352, 23830968, 359911524, 228939820, 11589976, 125592820, 318031969
19, 39780352, 24513784, 384425684, 240661188, 12109976, 125592820, 332369469
20, 39780352, 25350968, 409777028, 252545372, 12629976, 127136180, 346706969
21, 39780352, 25870968, 435648372, 264746740, 13149976, 130142820, 361044469
22, 39780352, 26420920, 462069668, 276948108, 13669976, 130142820, 375381969
23, 40763392, 27390968, 489461012, 289179428, 14189976, 130426762, 389719574
24, 42270720, 27910968, 517372356, 301860796, 14709976, 134692842, 404057130
25, 43319296, 28430968, 545803700, 314542164, 15229976, 134692842, 418394581
26, 44367872, 29328056, 575132132, 327223532, 15749976, 134692842, 432732081
27, 45744128, 29950968, 605083476, 340281988, 16269976, 138267322, 447069616
28, 46923776, 30470968, 635554820, 353443356, 16789976, 139242842, 461407095
29, 47972352, 34572920, 670128116, 366604724, 17309976, 139242842, 475744581
30, 52953088, 44577048, 714705540, 383002060, 18175960, 167002970, 499387181
31, 62914560, 44576984, 759282900, 409403524, 18175960, 1343859364, 499387713
32, 62914560, 44576984, 803860440, 435805104, 18175960, 1343861268, 499386649
33, 62914560, 44576984, 848437980, 462206684, 18175960, 1343861268, 499386649
34, 62914560, 44576984, 893015520, 488608264, 18175960, 1343861268, 499386649
35, 62914560, 44576984, 937593060, 515009844, 18175960, 1343861268, 499386649
36, 62914560, 44576984, 982170600, 541411424, 18175960, 1343861268, 499386649
37, 62914560, 44576984, 1026748140, 567813004, 18175960, 1343861268, 499386649
38, 62914560, 44576984, 1071325680, 594214584, 18175960, 1343861268, 499386649
39, 62914560, 44576984, 1115903220, 620616164, 18175960, 1343861268, 499386649
40, 62914560, 30824696, 1146728652, 647017924, 18175960, 1343863610, 499386649
41, 62914560, 31016952, 1177746340, 660187396, 18175960, 132253786, 485049149
42, 62914560, 30496952, 1208243848, 674068944, 18175960, 138619410, 470711649
43, 62914560, 29161720, 1237406124, 687950492, 18175960, 138587250, 456374149
44, 62914560, 28976952, 1266383632, 701016808, 18175960, 131275442, 442036649
45, 62914560, 28456952, 1294841140, 714418356, 18175960, 134027890, 427699149
46, 62914560, 27311992, 1322153688, 727819904, 18175960, 134078770, 413361649
47, 62914560, 26879544, 1349033788, 740596492, 18175960, 128475346, 399024149
48, 62914560, 26416952, 1375451296, 753460632, 18175960, 128974706, 384686649
49, 62914560, 25740920, 1401192772, 766382180, 18175960, 129541490, 370349149
50, 62914560, 24747704, 1425941032, 779147696, 18175960, 128132114, 356011649
51, 62914560, 24376952, 1450318540, 791439996, 18175960, 123792418, 341674149
52, 62914560, 23856952, 1474176048, 803881544, 18175960, 124991490, 327336649
53, 62914560, 22684536, 1496861140, 816323092, 18175960, 124915170, 312999149
54, 62914560, 22336952, 1519198648, 828112224, 18175960, 119168802, 298661649
55, 62914560, 21816952, 1541016156, 840073772, 18175960, 120403330, 284324149
56, 62914560, 21021624, 1562038336, 852035320, 18175960, 120403330, 269986649
57, 62914560, 20296952, 1582335844, 863721540, 18175960, 118193282, 255649149
58, 62914560, 19776952, 1602113352, 875203088, 18175960, 115815148, 241311649
59, 62914560, 19107704, 1621221612, 886684636, 18175960, 115891468, 226974149
60, 62914560, 16577048, 1637799216, 898016936, 18175960, 114692396, 212636649
61, 62914560, 16576984, 1654376756, 906818580, 18175960, 410393908, 212636649
62, 62914560, 16576984, 1670954296, 915620160, 18175960, 410393470, 212636649
63, 62914560, 16576984, 1687531836, 924421740, 18175960, 410393470, 212636649
64, 62914560, 16576984, 1704109376, 933223320, 18175960, 410393470, 212636649
65, 62914560, 16576984, 1720686916, 942024900, 18175960, 410393470, 212636649
66, 62914560, 16576984, 1737264456, 950826480, 18175960, 410393470, 212636649
67, 62914560, 16576984, 1753841996, 959628060, 18175960, 410393470, 212636649
68, 62914560, 16576984, 1770419536, 968429640, 18175960, 410393470, 212636649
69, 62914560, 16576984, 1786997076, 977231220, 18175960, 410393470, 212636649
70, 62914560, 18907768, 1805905400, 986032800, 18175960, 410393470, 212636649
71, 62914560, 19576952, 1825482908, 996645164, 18175960, 115372892, 226974149
72, 62914560, 20096952, 1845580416, 1007406712, 18175960, 116571482, 241311649
73, 62914560, 20821624, 1866402596, 1018168260, 18175960, 116495162, 255649149
74, 62914560, 21616952, 1888020104, 1029134480, 18175960, 118873274, 269986649
75, 62914560, 22136952, 1910157612, 1040376028, 18175960, 121083344, 284324149
76, 62914560, 22484536, 1932642704, 1051617576, 18175960, 121083344, 298661649
77, 62914560, 23656952, 1956300212, 1062686708, 18175960, 119848816, 312999149
78, 62914560, 24176952, 1980477720, 1074408256, 18175960, 125595184, 327336649
79, 62914560, 24547704, 2005026160, 1086129984, 18175960, 125673846, 341674149
80, 62914560, 25540920, 2030567816, 1097702464, 18175960, 124474774, 356011649
81, 62914560, 26216952, 2056785504, 1109748160, 18175960, 128814470, 370349149
82, 62914560, 26679544, 2083465784, 1121949888, 18175960, 130223846, 384686649
83, 62914560, 27111992, 2110578512, 1134094208, 18175960, 129657062, 399024149
84, 62914560, 28256952, 2138836200, 1146150976, 18175960, 129157702, 413361649
85, 62914560, 28776952, 2167613888, 1158832704, 18175960, 134761126, 427699149
86, 62914560, 28961720, 2196576344, 1171514432, 18175960, 134710274, 442036649
87, 62914560, 30296952, 2226874032, 1183860928, 18175960, 131957826, 456374149
88, 62914560, 30816952, 2257691720, 1197022656, 18175960, 139269634, 470711649
89, 62914560, 30624632, 2288317088, 1210184384, 18175960, 139301794, 485049149
90, 327024640, 326834016, 2615151840, 1222633792, 18175960, 132933346, 499386649
91, 329580544, 12681592, 2627834168, 1546892584, 18175960, 3371953734, 69261922
92, 329580544, 12936952, 2640772036, 1556479132, 18175960, 105796358, 83599149
93, 329580544, 13456952, 2654229724, 1565800860, 18175960, 102901794, 97936649
94, 329580544, 14344440, 2668574900, 1575122588, 18175960, 102869634, 112274149
95, 329580544, 14976952, 2683552588, 1584811804, 18175960, 106769026, 126611649
96, 329580544, 15496952, 2699050276, 1594613532, 18175960, 107410274, 140949149
97, 329580544, 16249080, 2715300092, 1604415260, 18175960, 107461154, 155286649
98, 329580544, 17019448, 2732320276, 1614449116, 18175960, 109982210, 169624149
99, 329580544, 17536952, 2749857964, 1624733340, 18175960, 112024930, 183961649
100, 329580544, 18063736, 2767922436, 1635015068, 18175960, 112023874, 198299149
101, 329580544, 18907704, 2786830876, 1645303580, 18175960, 112157858, 212636649
102, 329580544, 19576952, 2806408564, 1655916060, 18175960, 115374802, 226974149
103, 329580544, 20096952, 2826506252, 1666677788, 18175960, 116573874, 241311649
104, 329580544, 20821624, 2847328612, 1677439516, 18175960, 116497554, 255649149
105, 329580544, 21616952, 2868946300, 1688405916, 18175960, 118875666, 269986649
106, 329580544, 22136952, 2891083988, 1699647644, 18175960, 121085736, 284324149
107, 329580544, 22484536, 2913569260, 1710889372, 18175960, 121085736, 298661649
108, 329580544, 23656952, 2937226948, 1721958684, 18175960, 119851208, 312999149
109, 329580544, 24176952, 2961404636, 1733680412, 18175960, 125597576, 327336649
110, 329580544, 24547704, 2985953076, 1745402140, 18175960, 125673896, 341674149
111, 329580544, 25540920, 3011494732, 1756974620, 18175960, 124474824, 356011649
112, 329580544, 26216952, 3037712420, 1769020316, 18175960, 128814520, 370349149
113, 329580544, 26679544, 3064392700, 1781222044, 18175960, 130223896, 384686649
114, 329580544, 27111992, 3091505428, 1793366364, 18175960, 129657112, 399024149
115, 329580544, 28256952, 3119763116, 1805423132, 18175960, 129157752, 413361649
116, 329580544, 28776952, 3148540804, 1818104860, 18175960, 134761176, 427699149
117, 329580544, 28961720, 3177503260, 1830786588, 18175960, 134710296, 442036649
118, 329580544, 30296952, 3207800948, 1843133084, 18175960, 131957848, 456374149
119, 329580544, 30816952, 3238618636, 1856294812, 18175960, 139269656, 470711649
120, 329580544, 30624632, 3269244004, 1869456540, 18175960, 139301816, 485049149
121, 329580544, 38896952, 3308141692, 1881905948, 18175960, 132933368, 499386649
122, 329580544, 40096952, 3348239380, 1901427676, 19375960, 193807576, 532011649
123, 329580544, 39450232, 3387690348, 1920949404, 20575960, 193938136, 564636649
124, 329580544, 34379192, 3422070276, 1938782172, 21618200, 179476136, 593018949
125, 329580544, 34899192, 3456970204, 1951023900, 22138200, 131537576, 607356449
126, 329580544, 35419192, 3492390132, 1963265628, 22658200, 131537576, 621693949
127, 329580544, 35939192, 3528330060, 1975507356, 23178200, 131537576, 636031449
128, 329580544, 36459192, 3564789988, 1987749084, 23698200, 131537576, 650368949
129, 329580544, 36979192, 3601769916, 1999990812, 24218200, 131537576, 664706449
130, 329580544, 37824824, 3639595476, 2012232540, 24738200, 131537576, 679043949
131, 329580544, 60459288, 3700055500, 2024799900, 25258200, 134624296, 693381449
132, 329580544, 60459224, 3760515460, 2060001724, 25258200, 1801647842, 693381449
133, 329580544, 60459224, 3820975600, 2095203664, 25258200, 1801649746, 693381449
134, 329580544, 60459224, 3881435740, 2130405604, 25258200, 1801649746, 693381449
135, 329580544, 60459224, 3941895880, 2165607544, 25258200, 1801649746, 693381449
136, 329580544, 60459224, 4002356020, 2200809484, 25258200, 1801649774, 693381449
137, 329580544, 60459224, 4062816160, 2236011424, 25258200, 1801649774, 693381449
138, 329580544, 60459224, 4123276300, 2271213364, 25258200, 1801649774, 693381449
139, 329580544, 60459224, 4183736440, 2306415304, 25258200, 1801649774, 693381449
140, 329580544, 60459224, 4244196580, 2341617244, 25258200, 1801649774, 693381449

