Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 4653056, 1584, 4315656, 4314072, 1524, 2898518, 306288, 2890693805798
1, 4653056, 1584, 8512252, 8510668, 1524, 2898518, 306353, 2890531700279
2, 4653056, 1584, 12708904, 12707320, 1524, 2898518, 306345, 2890369593485
3, 4653056, 1584, 16905612, 16904028, 1524, 2898518, 306345, 2890207485416
4, 4653056, 1584, 21102376, 21100792, 1524, 2898518, 306345, 2890045376071
5, 4653056, 1584, 25299196, 25297612, 1524, 2898518, 306372, 2889883265450
6, 4653056, 1584, 29496072, 29494488, 1524, 2898518, 306380, 2889721153554
7, 4653056, 1584, 33693004, 33691420, 1524, 2898518, 306372, 2889559040320
8, 4653056, 1584, 37889992, 37888408, 1524, 2898518, 306372, 2889396925718
9, 4653056, 1584, 42087036, 42085452, 1524, 2898518, 306372, 2889234809840
10, 4653056, 1584, 46284184, 46282600, 1524, 2898518, 306407, 2889072692415
11, 4653056, 1584, 50481388, 50479804, 1524, 2898518, 306399, 2888910573544
12, 4653056, 1584, 54678652, 54677068, 1524, 2898518, 306399, 2888748453221
13, 4653056, 1584, 58875976, 58874392, 1524, 2898518, 306399, 2888586331485
14, 4653056, 1584, 63073356, 63071772, 1524, 2898518, 306426, 2888424208340
15, 4653056, 1584, 67270792, 67269208, 1524, 2898518, 306434, 2888262083749
16, 4653056, 1584, 71468288, 71466704, 1524, 2898518, 306426, 2888099957706
17, 4653056, 1584, 75665844, 75664260, 1524, 2898518, 306426, 2887937830250
18, 4653056, 1584, 79863456, 79861872, 1524, 2898518, 306426, 2887775700240
19, 4653056, 1584, 84061124, 84059540, 1524, 2898518, 306491, 2887613569894
20, 4653056, 1584, 88258852, 88257268, 1524, 2898518, 306453, 2887451438097
21, 4653056, 1584, 92456640, 92455056, 1524, 2898518, 306483, 2887289304884
22, 4653056, 1584, 96654484, 96652900, 1524, 2898518, 306483, 2887127170258
23, 4653056, 1584, 100852384, 100850800, 1524, 2898518, 306510, 2886965034186
24, 4653056, 1584, 105050344, 105048760, 1524, 2898518, 306510, 2886802896667
25, 4653056, 1584, 109248364, 109246780, 1524, 2898518, 306510, 2886640757732
26, 4653056, 1584, 113446440, 113444856, 1524, 2898518, 306510, 2886478617384
27, 4653056, 1584, 117644572, 117642988, 1524, 2898518, 306510, 2886316475591
28, 4653056, 1584, 121842764, 121841180, 1524, 2898518, 306545, 2886154332351
