Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 4587520, 1584, 4313740, 4312156, 1524, 2898518, 18947, 2890694832120
1, 4587520, 1584, 8510336, 8508752, 1524, 2898518, 18947, 2890532744441
2, 4587520, 1584, 12706988, 12705404, 1524, 2898518, 18947, 2890370655487
3, 4587520, 1584, 16903696, 16902112, 1524, 2898518, 18947, 2890208565258
4, 4587520, 1584, 21100460, 21098876, 1524, 2898518, 18947, 2890046473753
5, 4587520, 1584, 25297280, 25295696, 1524, 2898518, 18947, 2889884380973
6, 4587520, 1584, 29494156, 29492572, 1524, 2898518, 18947, 2889722286918
7, 4587520, 1584, 33691088, 33689504, 1524, 2898518, 18947, 2889560191526
8, 4587520, 1584, 37888076, 37886492, 1524, 2898518, 18947, 2889398094766
9, 4587520, 1584, 42085120, 42083536, 1524, 2898518, 18947, 2889235996730
10, 4587520, 1584, 46282268, 46280684, 1524, 2898518, 18947, 2889073897148
11, 4587520, 1584, 50479472, 50477888, 1524, 2898518, 18947, 2888911796120
12, 4587520, 1584, 54676736, 54675152, 1524, 2898518, 18947, 2888749693640
13, 4587520, 1584, 58874060, 58872476, 1524, 2898518, 18947, 2888587589747
14, 4587520, 1584, 63071440, 63069856, 1524, 2898518, 18947, 2888425484445
15, 4587520, 1584, 67268876, 67267292, 1524, 2898518, 18947, 2888263377697
16, 4587520, 1584, 71466372, 71464788, 1524, 2898518, 18947, 2888101269497
17, 4587520, 1584, 75663928, 75662344, 1524, 2898518, 18947, 2887939159884
18, 4587520, 1584, 79861540, 79859956, 1524, 2898518, 18947, 2887777048831
19, 4587520, 1584, 84059208, 84057624, 1524, 2898518, 18947, 2887614936330
20, 4587520, 1584, 88256936, 88255352, 1524, 2898518, 18947, 2887452822377
21, 4587520, 1584, 92454724, 92453140, 1524, 2898518, 18947, 2887290707009
22, 4587520, 1584, 96652568, 96650984, 1524, 2898518, 18947, 2887128590228
23, 4587520, 1584, 100850468, 100848884, 1524, 2898518, 18947, 2886966472002
24, 4587520, 1584, 105048428, 105046844, 1524, 2898518, 18947, 2886804352329
25, 4587520, 1584, 109246448, 109244864, 1524, 2898518, 18947, 2886642231240
26, 4587520, 1584, 113444524, 113442940, 1524, 2898518, 18947, 2886480108738
27, 4587520, 1584, 117642656, 117641072, 1524, 2898518, 18947, 2886317984791
28, 4587520, 1584, 121840848, 121839264, 1524, 2898518, 18947, 2886155859398
29, 4587520, 1584, 126039100, 126037516, 1524, 2898518, 18947, 2885993732589
30, 4587520, 1584, 130237408, 130235824, 1524, 2898518, 18947, 2885831604365
31, 4587520, 1584, 134435772, 134434188, 1524, 2898518, 18947, 2885669474700
32, 4587520, 1584, 138634196, 138632612, 1524, 2898518, 18947, 2885507343590
33, 4587520, 1584, 142832680, 142831096, 1524, 2898518, 18947, 2885345211061
34, 4587520, 1584, 147031220, 147029636, 1524, 2898518, 18947, 2885183077086
35, 4587520, 1584, 151229816, 151228232, 1524, 2898518, 18947, 2885020941669
36, 4587520, 1584, 155428472, 155426888, 1524, 2898518, 18947, 2884858804807
37, 4587520, 1584, 159627188, 159625604, 1524, 2898518, 18947, 2884696666527
38, 4587520, 1584, 163825960, 163824376, 1524, 2898518, 18947, 2884534526831
39, 4587520, 1584, 168024788, 168023204, 1524, 2898518, 18947, 2884372385693
40, 4587520, 1584, 172223676, 172222092, 1524, 2898518, 18947, 2884210243109
41, 4587520, 1584, 176422624, 176421040, 1524, 2898518, 18947, 2884048099105
42, 4587520, 1584, 180621628, 180620044, 1524, 2898518, 18947, 2883885953683
43, 4587520, 1584, 184820688, 184819104, 1524, 2898518, 18947, 2883723806821
