Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 6750208, 4354028, 4354028, 0, 0, 2899558, 340
1, 11272192, 9744, 8558696, 8548952, 1368, 2899558, 2139626
2, 11272192, 4206272, 12755224, 8548952, 1368, 2898908, 340
3, 11272192, 9940, 16960008, 16950068, 1564, 2898908, 2076288
4, 11272192, 4206580, 21156648, 16950068, 1564, 2898908, 340
5, 11272192, 10136, 25361544, 25351408, 1760, 2898908, 2076440
6, 11272192, 4206888, 29558296, 25351408, 1760, 2898908, 340
7, 11272192, 10332, 33763304, 33752972, 1956, 2898908, 2076638
8, 11272192, 4207196, 37960168, 33752972, 1956, 2898908, 340
9, 11272192, 10528, 42165288, 42154760, 2152, 2898908, 2076790
10, 11272192, 4207552, 46362312, 42154760, 2152, 2898908, 340
11, 11272192, 10724, 50567592, 50556868, 2348, 2898908, 2076926
12, 11272192, 4207864, 54764732, 50556868, 2348, 2898908, 340
13, 11272192, 10920, 58970132, 58959212, 2544, 2898908, 2077108
14, 11272192, 4208176, 63167388, 58959212, 2544, 2898908, 340
15, 11272192, 11116, 67372900, 67361784, 2740, 2898908, 2077260
16, 11272192, 4208488, 71570272, 67361784, 2740, 2898908, 340
17, 11272192, 11312, 75775904, 75764592, 2936, 2898908, 2077412
18, 11272192, 4208800, 79973392, 75764592, 2936, 2898908, 340
19, 11272192, 11508, 84179136, 84167628, 3132, 2898908, 2077580
20, 11272192, 4209112, 88376740, 84167628, 3132, 2898908, 340
21, 11272192, 11704, 92582604, 92570900, 3328, 2898908, 2077762
22, 11272192, 4209424, 96780324, 92570900, 3328, 2898908, 340
23, 11272192, 11900, 100986300, 100974400, 3524, 2898908, 2077860
24, 11272192, 4209736, 105184136, 100974400, 3524, 2898908, 340
25, 11272192, 12096, 109390232, 109378136, 3720, 2898908, 2078012
26, 11272192, 4210048, 113588184, 109378136, 3720, 2898908, 340
27, 11272192, 12292, 117794392, 117782100, 3916, 2898908, 2078148
28, 11272192, 4210360, 121992460, 117782100, 3916, 2898908, 340
29, 11272192, 12488, 126198788, 126186300, 4112, 2898908, 2078300
30, 11272192, 4210672, 130396972, 126186300, 4112, 2898908, 340
31, 11272192, 12684, 134603412, 134590728, 4308, 2898908, 2078482
32, 11272192, 4211000, 138801728, 134590728, 4308, 2898926, 340
33, 11272192, 12880, 143008288, 142995408, 4504, 2898926, 2078616
34, 11272192, 4211296, 147206704, 142995408, 4504, 2898908, 340
35, 11272192, 13076, 151413376, 151400300, 4700, 2898908, 2076738
36, 11272192, 4211608, 155611908, 151400300, 4700, 2898908, 340
37, 11272192, 13272, 159818700, 159805428, 4896, 2898908, 2076890
38, 11272192, 4211920, 164017348, 159805428, 4896, 2898908, 340
39, 11272192, 13468, 168224252, 168210784, 5092, 2898908, 2077104
40, 11272192, 4212232, 172423016, 168210784, 5092, 2898908, 340
41, 11272192, 13664, 176630040, 176616376, 5288, 2898908, 2077256
42, 11272192, 4212544, 180828920, 176616376, 5288, 2898908, 340
43, 11272192, 13860, 185036056, 185022196, 5484, 2898908, 2077376
44, 11272192, 4212856, 189235052, 185022196, 5484, 2898908, 340
45, 11272192, 14056, 193442308, 193428252, 5680, 2898908, 2077474
46, 11272192, 4213168, 197641420, 193428252, 5680, 2898908, 340
47, 11272192, 14252, 201848788, 201834536, 5876, 2898908, 2077626
48, 11272192, 4213480, 206048016, 201834536, 5876, 2898908, 340
49, 11272192, 14448, 210255504, 210241056, 6072, 2898908, 2077808
50, 11272192, 4213792, 214454848, 210241056, 6072, 2898908, 340
51, 11272192, 14644, 218662448, 218647804, 6268, 2898908, 2077960
52, 11272192, 4214104, 222861908, 218647804, 6268, 2898908, 340
53, 11272192, 14840, 227069628, 227054788, 6464, 2898908, 2078112
54, 11272192, 4214416, 231269204, 227054788, 6464, 2898908, 340
55, 11272192, 15036, 235477036, 235462000, 6660, 2898908, 2078280
56, 11272192, 4214728, 239676728, 235462000, 6660, 2898908, 340
57, 11272192, 15232, 243884680, 243869448, 6856, 2898908, 2078462
58, 11272192, 4215040, 248084488, 243869448, 6856, 2898908, 340
59, 11272192, 15428, 252292552, 252277124, 7052, 2898908, 2078598
60, 11272192, 4215352, 256492476, 252277124, 7052, 2898908, 340
61, 11272192, 15624, 260700660, 260685036, 7248, 2898908, 2078766
62, 11272192, 4215664, 264900700, 260685036, 7248, 2898908, 340
63, 11272192, 15820, 269108996, 269093176, 7444, 2898908, 2078918
64, 11272192, 4215976, 273309152, 269093176, 7444, 2898908, 340
65, 11272192, 16016, 277517572, 277501556, 7640, 2898908, 2079070
66, 11272192, 4216288, 281717844, 277501556, 7640, 2898908, 340
67, 11272192, 16212, 285926376, 285910164, 7836, 2898908, 2079152
68, 11272192, 4216600, 290126764, 285910164, 7836, 2898908, 340
69, 11272192, 16408, 294335416, 294319008, 8032, 2898908, 2079334

