Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 33554432, 6751936, 6751936, 0, 0, 2900698, 325, 2890670725315
1, 33554432, 10949072, 10949072, 0, 0, 2900698, 325, 2890508638270
2, 33554432, 15146272, 15146272, 0, 0, 2900698, 325, 2890346549948
3, 33554432, 19343536, 19343536, 0, 0, 2900698, 325, 2890184460350
4, 33554432, 23540864, 23540864, 0, 0, 2900698, 325, 2890022369412
5, 33554432, 27738256, 27738256, 0, 0, 2900698, 325, 2889860277289
6, 33554432, 31935712, 31935712, 0, 0, 2900698, 325, 2889698183798
7, 100663296, 5506440, 36137336, 30630896, 1054396, 2900698, 325, 2889535798838
8, 100663296, 9704028, 40334924, 30630896, 1054396, 2900698, 325, 2889373702280
9, 100663296, 13901680, 44532576, 30630896, 1054396, 2900698, 325, 2889211604475
10, 100663296, 18099460, 48730356, 30630896, 1054396, 2900698, 325, 2889049505085
11, 100663296, 22297304, 52928200, 30630896, 1054396, 2900698, 325, 2888887404246
12, 100663296, 26495216, 57126112, 30630896, 1054396, 2900698, 325, 2888725301986
13, 100663296, 30693196, 61324092, 30630896, 1054396, 2900698, 325, 2888563198312
14, 100663296, 34895344, 65526240, 30630896, 32542180, 2900698, 4699599, 2888400948355
15, 100663296, 39093456, 69724352, 30630896, 32542180, 2900698, 396, 2888238839843
16, 100663296, 43291636, 73922532, 30630896, 32542180, 2900698, 396, 2888076731639
17, 100663296, 47489884, 78120780, 30630896, 32542180, 2900698, 396, 2887914621958
18, 100663296, 51688196, 82319092, 30630896, 32542180, 2900698, 396, 2887752510835
19, 100663296, 55886572, 86517468, 30630896, 32542180, 2900698, 396, 2887590398262
20, 100663296, 60085016, 90715912, 30630896, 32542180, 2900698, 396, 2887428284266
21, 100663296, 64283528, 94914424, 30630896, 32542180, 2900698, 396, 2887266168823
22, 100663296, 68482104, 99113000, 30630896, 32542180, 2900698, 396, 2887104051927
23, 100663296, 72680744, 103311640, 30630896, 32542180, 2900698, 396, 2886941933806
24, 100663296, 76879452, 107510348, 30630896, 32542180, 2900698, 396, 2886779814268
25, 100663296, 81078228, 111709124, 30630896, 32542180, 2900698, 396, 2886617693281
26, 100663296, 85277068, 115907964, 30630896, 32542180, 2900698, 396, 2886455570817
27, 100663296, 89475972, 120106868, 30630896, 32542180, 2900698, 396, 2886293446938
28, 100663296, 93674944, 124305840, 30630896, 32542180, 2900698, 396, 2886131321640
29, 100663296, 97873984, 128504880, 30630896, 32542180, 2900698, 396, 2885969194924
30, 167772160, 6556552, 132708088, 126151536, 32542180, 2900698, 325, 2885806350391
31, 167772160, 10755720, 136907256, 126151536, 32542180, 2900698, 325, 2885644220801
32, 167772160, 14954956, 141106492, 126151536, 32542180, 2900698, 325, 2885482089826
33, 167772160, 19154260, 145305796, 126151536, 32542180, 2900698, 325, 2885319957430
34, 167772160, 23353628, 149505164, 126151536, 32542180, 2900698, 325, 2885157823557
35, 167772160, 27553060, 153704596, 126151536, 32542180, 2900698, 325, 2884995688241
36, 167772160, 31752560, 157904096, 126151536, 32542180, 2900698, 325, 2884833551538
37, 167772160, 35956232, 162107768, 126151536, 32542180, 2900880, 396, 2884671266111
38, 167772160, 40155864, 166307400, 126151536, 32542180, 2900698, 396, 2884509126523
39, 167772160, 44355560, 170507096, 126151536, 32542180, 2900698, 396, 2884346985277
40, 167772160, 48555324, 174706860, 126151536, 32542180, 2900698, 396, 2884184842614
