Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 6750208, 4335772, 4335772, 0, 0, 3820, 200
1, 10944512, 8531812, 8531812, 0, 0, 4472, 200
2, 15138816, 12727908, 12727908, 0, 0, 5124, 200
3, 19333120, 16924060, 16924060, 0, 0, 5776, 200
4, 23527424, 21120268, 21120268, 0, 0, 6428, 200
5, 27721728, 25316532, 25316532, 0, 0, 7080, 200
6, 31916032, 29512852, 29512852, 0, 0, 7732, 200
7, 36110336, 33709228, 33709228, 0, 0, 8384, 200
8, 40304640, 37905660, 37905660, 0, 0, 9036, 200
9, 44498944, 42102148, 42102148, 0, 0, 9688, 200
10, 48693248, 46298740, 46298740, 0, 0, 9985, 200
11, 52887552, 50495388, 50495388, 0, 0, 11584, 200
12, 57147392, 54692096, 54692096, 0, 0, 11971, 200
13, 61341696, 58888864, 58888864, 0, 0, 12347, 200
14, 65536000, 63085688, 63085688, 0, 0, 12644, 200
15, 69730304, 67282568, 67282568, 0, 0, 14243, 200
16, 73924608, 71479508, 71479508, 0, 0, 14630, 200
17, 78118912, 75676508, 75676508, 0, 0, 15006, 200
18, 82313216, 79873564, 79873564, 0, 0, 15303, 200
19, 86507520, 84070676, 84070676, 0, 0, 16902, 200
20, 90701824, 88267848, 88267848, 0, 0, 17336, 200
21, 94896128, 92465080, 92465080, 0, 0, 17755, 200
22, 99090432, 96662368, 96662368, 0, 0, 18099, 200
23, 103284736, 100859712, 100859712, 0, 0, 19561, 200
24, 107479040, 105057116, 105057116, 0, 0, 19995, 200
25, 111673344, 109254580, 109254580, 0, 0, 20414, 200
26, 115867648, 113452100, 113452100, 0, 0, 20758, 200
27, 120061952, 117649676, 117649676, 0, 0, 22220, 200
28, 124256256, 121847312, 121847312, 0, 0, 22654, 200
29, 128450560, 126045008, 126045008, 0, 0, 23073, 200
30, 132644864, 130242760, 130242760, 0, 0, 23464, 200
31, 136839168, 134440568, 134440568, 0, 0, 24789, 200
32, 141033472, 138638436, 138638436, 0, 0, 25270, 200
33, 145227776, 142836364, 142836364, 0, 0, 25732, 200
34, 149487616, 147034348, 147034348, 0, 0, 26123, 200
35, 153681920, 151232388, 151232388, 0, 0, 27448, 200
36, 157876224, 155430488, 155430488, 0, 0, 27929, 200
37, 162070528, 159628648, 159628648, 0, 0, 28391, 200
38, 166264832, 163826864, 163826864, 0, 0, 28782, 200
39, 170459136, 168025136, 168025136, 0, 0, 30107, 200
40, 174653440, 172223468, 172223468, 0, 0, 30635, 200
41, 178847744, 176421860, 176421860, 0, 0, 31140, 200
42, 183042048, 180620308, 180620308, 0, 0, 31578, 200
43, 187236352, 184818812, 184818812, 0, 0, 32766, 200
44, 191430656, 189017376, 189017376, 0, 0, 33294, 200
45, 195624960, 193216000, 193216000, 0, 0, 33799, 200
46, 199819264, 197414680, 197414680, 0, 0, 34237, 200
47, 204013568, 201613416, 201613416, 0, 0, 35425, 200
48, 208207872, 205812212, 205812212, 0, 0, 35953, 200
49, 212402176, 210011068, 210011068, 0, 0, 36458, 200
50, 216662016, 214209980, 214209980, 0, 0, 36943, 200
51, 220856320, 218408948, 218408948, 0, 0, 37994, 200
52, 225050624, 222607976, 222607976, 0, 0, 38569, 200
53, 229244928, 226807064, 226807064, 0, 0, 39117, 200
54, 233439232, 231006208, 231006208, 0, 0, 39602, 200
55, 237633536, 235205408, 235205408, 0, 0, 40653, 200
56, 241827840, 239404668, 239404668, 0, 0, 41228, 200
57, 246022144, 243603988, 243603988, 0, 0, 41776, 200
58, 250216448, 247803364, 247803364, 0, 0, 42261, 200
59, 254410752, 252002796, 252002796, 0, 0, 43312, 200
60, 258605056, 256202288, 256202288, 0, 0, 43934, 200
61, 262799360, 260401840, 260401840, 0, 0, 44525, 200
62, 266993664, 264601448, 264601448, 0, 0, 45057, 200
63, 271253504, 268801112, 268801112, 0, 0, 45971, 200
64, 275447808, 273000840, 273000840, 0, 0, 46593, 200
65, 279642112, 277200628, 277200628, 0, 0, 47184, 200
66, 283836416, 281400472, 281400472, 0, 0, 47716, 200
67, 288030720, 285600372, 285600372, 0, 0, 48630, 200
68, 292225024, 289800332, 289800332, 0, 0, 49252, 200
69, 296419328, 294000352, 294000352, 0, 0, 49843, 200

