Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 67764224, 65549992, 65549992, 0, 0, 6191, 319
1, 133300224, 131094528, 131103632, 9104, 65542136, 66736770, 123954360
2, 198836224, 196634252, 196654644, 20392, 131083464, 66794376, 166294405
3, 264372224, 262192456, 262212848, 20392, 131083464, 66745144, 319
4, 329908224, 327703848, 327749464, 45616, 262167452, 66936868, 312268707
5, 395444224, 393272844, 393318460, 45616, 262167452, 66383874, 319
6, 460980224, 458809464, 458855080, 45616, 262167452, 67190602, 319
7, 526516224, 524322636, 524391700, 69064, 458786240, 66429658, 454724522
8, 592117760, 589907816, 589976880, 69064, 458786240, 66349354, 319
9, 657653760, 655444436, 655513500, 69064, 458786240, 67571326, 319
10, 657653760, 655445184, 655514248, 69064, 458786240, 66429730, 319
11, 657653760, 655445840, 655514904, 69064, 458786240, 1654121, 319
12, 657653760, 655446496, 655515560, 69064, 458786240, 1653494, 319
13, 657653760, 655447152, 655516216, 69064, 458786240, 1653494, 319
14, 657653760, 655447808, 655516872, 69064, 458786240, 1653494, 319
15, 657653760, 655448372, 655517436, 69064, 458786240, 1653494, 319
16, 723189760, 720997844, 721066908, 69064, 458786240, 19786, 319
17, 745734144, 131094528, 786619524, 655524996, 458786240, 66732297, 212283341
18, 745734144, 196634252, 852170540, 655536288, 458786240, 66438216, 166292179
19, 745734144, 262192460, 917728748, 655536288, 458786240, 66400320, 319
20, 745734144, 327703848, 983265372, 655561524, 458786240, 66569228, 312268369
21, 745734144, 393272848, 1048834372, 655561524, 458786240, 66062090, 319
22, 745734144, 458809472, 1114370996, 655561524, 458786240, 66822818, 319
23, 745734144, 524322636, 1179907688, 655585052, 458786240, 66064051, 454724154
24, 745734144, 589907888, 1245492940, 655585052, 458786240, 66064267, 319
25, 745734144, 655444580, 1311029632, 655585052, 458786240, 67205279, 319
26, 745734144, 720981272, 1376566324, 655585052, 458786240, 66064051, 319
27, 788660224, 786482820, 1442103016, 655620196, 720946424, 66064051, 744055569
28, 854261760, 852092348, 1507712544, 655620196, 720946424, 66305307, 319
29, 919797760, 917629040, 1573249236, 655620196, 720946424, 68144133, 319
30, 985333760, 983165732, 1638785928, 655620196, 720946424, 66432051, 319
31, 1050869760, 1048702424, 1704322620, 655620196, 720946424, 66432051, 319
32, 1116405760, 1114239152, 1769859384, 655620196, 720946424, 66432051, 319
33, 1181941760, 1179723132, 1835396212, 655673044, 1114186700, 66436407, 1178053007
34, 1247543296, 1245369344, 1901042424, 655673044, 1114186700, 66245203, 319
35, 1313079296, 1310906240, 1966579320, 655673044, 1114186700, 69006390, 319
36, 1378615296, 1376443136, 2032116216, 655673044, 1114186700, 66438586, 319
37, 1444151296, 1441980032, 2097653112, 655673044, 1114186700, 66438586, 319
38, 1509687296, 1507516928, 2163190008, 655673044, 1114186700, 66438586, 319
39, 1575223296, 1573053824, 2228726904, 655673044, 1114186700, 66438616, 319
40, 1575223296, 1573054848, 2228727928, 655673044, 1114186700, 66438616, 319
41, 1575223296, 1573055780, 2228728860, 655673044, 1114186700, 3945007, 319
42, 1575223296, 1573056712, 2228729792, 655673044, 1114186700, 3944452, 319
43, 1575223296, 1573057644, 2228730724, 655673044, 1114186700, 3944452, 319
44, 1575223296, 1573058576, 2228731656, 655673044, 1114186700, 3944452, 319

