Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 133300224, 65542524, 65551776, 9252, 65542308, 66943321, 230087134, 3090099182370
1, 264372224, 131083852, 131104944, 21092, 131083636, 66686388, 460149418, 3090082599268
2, 264372224, 196635416, 196656508, 21092, 131083636, 66634566, 322, 3090080299085
3, 526516224, 262167840, 262215260, 47420, 262167624, 66865966, 920286297, 3090049367647
4, 526516224, 327705012, 327752432, 47420, 262167624, 66171454, 322, 3090047081667
5, 526516224, 393274556, 393321976, 47420, 262167624, 67212980, 322, 3090044763533
6, 919797760, 458786628, 458859148, 72520, 458786412, 66171454, 1610070451, 3089992321104
7, 919797760, 524323872, 524396392, 72520, 458786412, 66171454, 322, 3089990034725
8, 919797760, 589909600, 589982120, 72520, 458786412, 67733508, 322, 3089987700466
9, 919797760, 655446772, 655519292, 72520, 458786412, 66171454, 322, 3089985414578
10, 919797760, 655448072, 655520592, 72520, 458786412, 2090038, 322, 3089985162057
11, 919797760, 655449280, 655521800, 72520, 458786412, 2089352, 322, 3089984909696
12, 919797760, 655450488, 655523008, 72520, 458786412, 2089352, 322, 3089984657335
13, 919797760, 655451696, 655524216, 72520, 458786412, 2089352, 322, 3089984404881
14, 919797760, 655452904, 655525424, 72520, 458786412, 2089352, 322, 3089984152489
15, 919797760, 655454020, 655526540, 72520, 458786412, 15275, 322, 3089983963884
16, 919797760, 65542524, 721076564, 655534040, 458786412, 66585020, 229732134, 3089974473401
17, 919797760, 131083852, 786629736, 655545884, 458786412, 66686388, 459439418, 3089957911741
18, 919797760, 196635420, 852181304, 655545884, 458786412, 66634566, 322, 3089955611169
19, 919797760, 262167840, 917740064, 655572224, 458786412, 66865966, 918866297, 3089924599957
20, 919797760, 327705016, 983277240, 655572224, 458786412, 66171454, 322, 3089922313666
21, 919797760, 393274564, 1048846788, 655572224, 458786412, 67212980, 322, 3089919995299
22, 919797760, 458786628, 1114383964, 655597336, 458786412, 66171454, 1607940096, 3089867494555
23, 919797760, 524323944, 1179921280, 655597336, 458786412, 66171454, 322, 3089865207948
24, 919797760, 589909744, 1245507080, 655597336, 458786412, 67733508, 322, 3089862873461
25, 919797760, 655446988, 1311044324, 655597336, 458786412, 66171454, 322, 3089860587345
26, 1444085760, 720946848, 1376581604, 655634756, 720946596, 66171454, 2529561798, 3089779421430
27, 1444085760, 786484232, 1442118988, 655634756, 720946596, 66171454, 322, 3089777134688
28, 1444085760, 852094376, 1507729132, 655634756, 720946596, 68514386, 322, 3089774775916
29, 1444085760, 917631688, 1573266444, 655634756, 720946596, 66171454, 322, 3089772489727
30, 1444085760, 983169000, 1638803756, 655634756, 720946596, 66171454, 322, 3089770203538
31, 1444085760, 1048706312, 1704341068, 655634756, 720946596, 66171454, 322, 3089767917380
32, 2230583296, 1114187124, 1769878416, 655691256, 1114186872, 66171454, 3909154696, 3089643401491
33, 2230583296, 1179724644, 1835415936, 655691256, 1114186872, 66171454, 322, 3089641145095
34, 2230583296, 1245371336, 1901062628, 655691256, 1114186872, 69685696, 322, 3089638756199
35, 2230583296, 1310908784, 1966600076, 655691256, 1114186872, 66171454, 322, 3089636469895
36, 2230583296, 1376446232, 2032137524, 655691256, 1114186872, 66171454, 322, 3089634183498
37, 2230583296, 1441983680, 2097674972, 655691256, 1114186872, 66171454, 322, 3089631897194
38, 2230583296, 1507521128, 2163212420, 655691256, 1114186872, 66171454, 322, 3089629610890
39, 2230583296, 1573058576, 2228749868, 655691256, 1114186872, 66171454, 322, 3089627324523
40, 2230583296, 1573060152, 2228751444, 655691256, 1114186872, 4988038, 322, 3089626982415
41, 2230583296, 1573061636, 2228752928, 655691256, 1114186872, 4987352, 322, 3089626640328
42, 2230583296, 1573063120, 2228754412, 655691256, 1114186872, 4987352, 322, 3089626298241
43, 2230583296, 1573064604, 2228755896, 655691256, 1114186872, 4987352, 322, 3089625956154
44, 2230583296, 1573066088, 2228757380, 655691256, 1114186872, 4987352, 322, 3089625613974

