Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 69795840, 65568176, 65568176, 0, 65559760, 67125155, 2227680, 3090103822464
1, 135331840, 131137740, 131137740, 0, 131129324, 67250834, 2243682, 3090101350873
2, 200933376, 196697500, 196697500, 0, 196689084, 67231431, 2312393, 3090098962260
3, 266469376, 262272668, 262272668, 0, 262264252, 67507058, 2378646, 3090096283364
4, 332070912, 327834492, 327834492, 0, 327826076, 66885800, 2226402, 3090093908063
5, 397672448, 393412284, 393412284, 0, 393403868, 67914331, 2413670, 3090091494888
6, 463208448, 458982328, 458982328, 0, 458973912, 66830172, 2227372, 3090088547941
7, 528744448, 524544124, 524544124, 0, 524535708, 66885231, 2226239, 3090086172290
8, 594345984, 590138052, 590138052, 0, 590129636, 68491413, 2466239, 3090083739649
9, 659947520, 655699864, 655699864, 0, 655691448, 66885347, 2226606, 3090081364014
10, 659947520, 655701164, 655701164, 0, 655691448, 2451090, 359, 3090081100210
11, 659947520, 655702372, 655702372, 0, 655691448, 2449979, 359, 3090080836720
12, 659947520, 655703580, 655703580, 0, 655691448, 2449979, 359, 3090080573230
13, 659947520, 655704788, 655704788, 0, 655691448, 2449979, 359, 3090080309709
14, 659947520, 655705996, 655705996, 0, 655691448, 2449979, 359, 3090080046188
15, 659947520, 655707112, 655707112, 0, 655691448, 16229, 359, 3090079857521
16, 725483520, 721265332, 721265332, 0, 721256916, 67123124, 2206570, 3090077475744
17, 791019520, 786826716, 786826716, 0, 786818300, 67250959, 2243196, 3090075088379
18, 856621056, 852386528, 852386528, 0, 852378112, 67231752, 2312243, 3090072699481
19, 881197056, 262199444, 917961684, 655762240, 852378112, 67185321, 2378323, 3090053123634
20, 881197056, 327761276, 983523516, 655762240, 852378112, 66541450, 2226177, 3090050728576
21, 881197056, 393339056, 1049101296, 655762240, 852378112, 67570229, 2412969, 3090048295761
22, 881197056, 458909104, 1114671344, 655762240, 852378112, 66541557, 2227146, 3090045332452
23, 881197056, 524470972, 1180233212, 655762240, 852378112, 66541236, 2225884, 3090042937228
24, 881197056, 590064972, 1245827212, 655762240, 852378112, 68147063, 2465820, 3090040484750
25, 881197056, 655626872, 1311389112, 655762240, 852378112, 66541450, 2226413, 3090038089472
26, 881197056, 721188756, 1376950996, 655762240, 852378112, 66541343, 2225875, 3090035694183
27, 881197056, 786750640, 1442512880, 655762240, 852378112, 66541352, 2226113, 3090033298886
28, 881197056, 852377132, 1508139372, 655762240, 852378112, 69075408, 2609254, 3090029668594
29, 922157056, 917939000, 1573701240, 655762240, 917930584, 66752106, 2226239, 3090027253363
30, 987758592, 983500916, 1639263156, 655762240, 983492500, 66885552, 2227125, 3090024877321
31, 1053294592, 1049062768, 1704825008, 655762240, 1049054352, 66885133, 2226239, 3090022501351
32, 1118830592, 1114624704, 1770386980, 655762240, 1114616252, 66885445, 2226731, 3090020125325
33, 1184432128, 1180186792, 1835949068, 655762240, 1180178340, 66885338, 2226230, 3090017749100
34, 1250099200, 1245841684, 1901603960, 655762240, 1245833232, 70812001, 2823504, 3090015233030
35, 1315635200, 1311403756, 1967166032, 655762240, 1311395304, 66885313, 2226230, 3090012856836
36, 1381171200, 1376965844, 2032728120, 655762240, 1376957392, 66885420, 2226413, 3090010480633
37, 1446772736, 1442527900, 2098290176, 655762240, 1442519448, 66885213, 2226230, 3090008104473
38, 1512308736, 1508090004, 2163852280, 655762240, 1508081552, 66885527, 2226386, 3090005728237
39, 1577910272, 1573652044, 2229414320, 655762240, 1573643592, 66885108, 2226594, 3090003351945
40, 1625030656, 1573661820, 2229424096, 655762240, 1573652592, 5853016, 359, 3090000987718
41, 1625030656, 1573663304, 2229425580, 655762240, 1573652592, 5851979, 359, 3090000618946
42, 1625030656, 1573664788, 2229427064, 655762240, 1573652592, 5851979, 359, 3090000250142
43, 1625030656, 1573666272, 2229428548, 655762240, 1573652592, 5851979, 359, 3089999881371
44, 1625030656, 1573667756, 2229430032, 655762240, 1573652592, 5851979, 359, 3089999512569

