Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 134217728, 67713992, 67713992, 0, 65560124, 66789481, 14265472, 3090100717811
1, 134217728, 133271428, 133271428, 0, 65560124, 66901742, 396, 3090098425746
2, 234881024, 198831360, 198831360, 0, 196677492, 66842765, 28680186, 3090095221319
3, 268435456, 264394380, 264394380, 0, 196677492, 67109896, 396, 3090092893926
4, 335544320, 329935812, 329935812, 0, 196677492, 66307806, 396, 3090090634799
5, 402653184, 395509624, 395509624, 0, 196677492, 67511293, 396, 3090088338271
6, 469762048, 461051060, 461051060, 0, 196677492, 66307942, 396, 3090086079015
7, 536870912, 526592496, 526592496, 0, 196677492, 66308010, 396, 3090083819757
8, 637534208, 592186596, 592186596, 0, 196677492, 68112935, 17706865, 3090080959748
9, 671088640, 657728032, 657728032, 0, 590033344, 66307839, 396, 3090076344968
10, 671088640, 657729628, 657729628, 0, 590033344, 2513938, 396, 3090076079388
11, 671088640, 657731108, 657731108, 0, 590033344, 2512534, 396, 3090075813821
12, 671088640, 657732588, 657732588, 0, 590033344, 2512534, 396, 3090075548254
13, 671088640, 657734068, 657734068, 0, 590033344, 2512534, 396, 3090075282687
14, 671088640, 657735548, 657735548, 0, 590033344, 2512534, 396, 3090075017027
15, 671088640, 657736904, 657736904, 0, 590033344, 18424, 396, 3090074828201
16, 738197504, 723291264, 723291264, 0, 590033344, 66786644, 396, 3090072554124
17, 805306368, 788848704, 788848704, 0, 590033344, 66903252, 396, 3090070276319
18, 872415232, 854404536, 854404536, 0, 590033344, 66843445, 396, 3090068000354
19, 939524096, 919967560, 919967560, 0, 590033344, 67110883, 396, 3090065716160
20, 1006632960, 985508996, 985508996, 0, 590033344, 66308486, 396, 3090063456779
21, 1073741824, 1051082848, 1051082848, 0, 590033344, 67511973, 396, 3090061160152
22, 1140850688, 1116624360, 1116624400, 0, 590033344, 66308622, 396, 3090058900689
23, 1207959552, 1182166024, 1182166064, 0, 590033344, 66308690, 396, 3090056641133
24, 1275068416, 1247756248, 1247756288, 0, 590033344, 68113615, 396, 3090054325703
25, 1342177280, 1313297912, 1313297952, 0, 590033344, 66308826, 396, 3090052066143
26, 1409286144, 1378839576, 1378839616, 0, 590033344, 66308894, 396, 3090049806581
27, 1476395008, 1444381240, 1444381280, 0, 590033344, 66308962, 396, 3090047547017
28, 1543503872, 1509995740, 1509995780, 0, 590033344, 69016145, 396, 3090045203632
29, 1610612736, 1575537404, 1575537444, 0, 590033344, 66309098, 396, 3090042944064
30, 1644167168, 1641079068, 1641079108, 0, 590033344, 66307844, 396, 3090040684534
31, 1778384896, 1706624836, 1706624876, 0, 590033344, 66309200, 50156458, 3090036881638
32, 1811939328, 1116581860, 1772166540, 655584640, 1048887132, 66306920, 396, 3090026309049
33, 1811939328, 1182123528, 1837708208, 655584640, 1048887132, 66306988, 396, 3090024027019
34, 1811939328, 1247774444, 1903359124, 655584640, 1048887132, 70367551, 396, 3090021642171
35, 1811939328, 1313316112, 1968900792, 655584640, 1048887132, 66307124, 396, 3090019396937
36, 1811939328, 1378857780, 2034442460, 655584640, 1048887132, 66307192, 396, 3090017142839
37, 1811939328, 1444399448, 2099984128, 655584640, 1048887132, 66307260, 396, 3090014888493
38, 1811939328, 1509941116, 2165525796, 655584640, 1048887132, 66307328, 396, 3090012645560
39, 1811939328, 1575482784, 2231067464, 655584640, 1048887132, 66307396, 396, 3090010401947
40, 1811939328, 1575484612, 2231069292, 655584640, 1048887132, 5999938, 396, 3090010028533
41, 1811939328, 1575486324, 2231071004, 655584640, 1048887132, 5998534, 396, 3090009655193
42, 1811939328, 1575488036, 2231072716, 655584640, 1048887132, 5998534, 396, 3090009281791
43, 1811939328, 1575489748, 2231074428, 655584640, 1048887132, 5998534, 396, 3090008908420
44, 1811939328, 1575491460, 2231076140, 655584640, 1048887132, 5998534, 396, 3090008534956

