Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 67764224, 65549992, 65549992, 0, 0, 6186, 200
1, 133300224, 131103632, 131103632, 0, 0, 66736765, 200
2, 198836224, 196654636, 196654636, 0, 0, 66805299, 200
3, 264372224, 262212832, 262212832, 0, 0, 66767403, 200
4, 329908224, 327749444, 327749444, 0, 0, 66936455, 200
5, 395509760, 393318432, 393318432, 0, 0, 66429245, 200
6, 461045760, 458855048, 458855048, 0, 0, 67190557, 200
7, 526581760, 524391664, 524391664, 0, 0, 66429245, 200
8, 592183296, 589976836, 589976836, 0, 0, 66429245, 200
9, 657719296, 655513452, 655513452, 0, 0, 67570841, 200
10, 657719296, 655514196, 655514196, 0, 0, 66429245, 200
11, 657719296, 655514848, 655514848, 0, 0, 1653636, 200
12, 657719296, 655515500, 655515500, 0, 0, 1653009, 200
13, 657719296, 655516152, 655516152, 0, 0, 1653009, 200
14, 657719296, 655516804, 655516804, 0, 0, 1653009, 200
15, 657719296, 655517364, 655517364, 0, 0, 1653009, 200
16, 723255296, 721066832, 721066832, 0, 0, 19301, 200
17, 788791296, 786619444, 786619444, 0, 0, 66731812, 200
18, 854327296, 852170452, 852170452, 0, 0, 66805515, 200
19, 919928832, 917728652, 917728652, 0, 0, 66767619, 200
20, 985464832, 983265268, 983265268, 0, 0, 66937039, 200
21, 1051000832, 1048834256, 1048834256, 0, 0, 66429245, 200
22, 1116536832, 1114370908, 1114370944, 0, 0, 67190189, 200
23, 1182072832, 1179907728, 1179907764, 0, 0, 66435778, 200
24, 1247674368, 1245493104, 1245493140, 0, 0, 66435778, 200
25, 1313210368, 1311029924, 1311029960, 0, 0, 67577374, 200
26, 1378746368, 1376566744, 1376566780, 0, 0, 66435778, 200
27, 1444282368, 1442103564, 1442103600, 0, 0, 66435778, 200
28, 1509883904, 1507713216, 1507713252, 0, 0, 66435778, 200
29, 1575419904, 1573250036, 1573250072, 0, 0, 68147860, 200
30, 1640955904, 1638786856, 1638786892, 0, 0, 66435778, 200
31, 1706491904, 1704323676, 1704323712, 0, 0, 66435778, 200
32, 1772027904, 1769860496, 1769860532, 0, 0, 66435778, 200
33, 1837563904, 1835397316, 1835397352, 0, 0, 66435778, 200
34, 1903230976, 1901043380, 1901043416, 0, 0, 66435778, 200
35, 1968766976, 1966580200, 1966580236, 0, 0, 69003582, 200
36, 2034302976, 2032117020, 2032117056, 0, 0, 66435778, 200
37, 2099838976, 2097653840, 2097653876, 0, 0, 66435778, 200
38, 2165374976, 2163190660, 2163190696, 0, 0, 66435778, 200
39, 2230910976, 2228727480, 2228727516, 0, 0, 66435868, 200
40, 2230910976, 2228728428, 2228728464, 0, 0, 66435868, 200
41, 2230910976, 2228729284, 2228729320, 0, 0, 3942259, 200
42, 2230910976, 2228730140, 2228730176, 0, 0, 3941704, 200
43, 2230910976, 2228730996, 2228731032, 0, 0, 3941704, 200
44, 2230910976, 2228731852, 2228731888, 0, 0, 3941704, 200

