Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 2883584, 689876, 689876, 0, 0, 77292093, 322, 3090104966369
1, 3604480, 491928, 1385792, 893864, 491712, 83815671, 13288600, 3090101780891
2, 3604480, 1185608, 2079472, 893864, 491712, 84673403, 322, 3090098982378
3, 4325376, 984188, 2946324, 1962136, 983972, 92186813, 26426702, 3090095129656
4, 4325376, 1922256, 3884392, 1962136, 983972, 94456968, 322, 3090092028248
5, 5111808, 1474328, 4820312, 3345984, 1474112, 95105596, 36196790, 3090087786007
6, 5111808, 2412400, 5758384, 3345984, 1474112, 96103593, 322, 3090084633886
7, 5636096, 1964468, 6694304, 4729836, 1964252, 98359269, 47582976, 3090079940202
8, 5636096, 2902540, 7632376, 4729836, 1964252, 98819384, 322, 3090076704488
9, 6029312, 3842848, 8572684, 4729836, 1964252, 98355864, 322, 3090073483083
10, 7143424, 2700196, 9506364, 6806168, 2699980, 98669193, 65647042, 3090068218692
11, 7143424, 3640508, 10446676, 6806168, 2699980, 98663784, 322, 3090064987610
12, 7143424, 4574192, 11380360, 6806168, 2699980, 98195607, 322, 3090061771150
13, 7864320, 3437008, 12320672, 8883664, 3436792, 101588941, 81894560, 3090055917319
14, 7864320, 4375080, 13258744, 8883664, 3436792, 101927732, 322, 3090052585746
15, 7864320, 5311004, 14194668, 8883664, 3436792, 102543365, 322, 3090049235448
16, 8650752, 4172736, 15132740, 10960004, 4172520, 102247061, 98127059, 3090042862275
17, 8650752, 5108660, 16068664, 10960004, 4172520, 102068887, 322, 3090039526452
18, 8650752, 6046732, 17006736, 10960004, 4172520, 102559926, 322, 3090036175613
19, 9175040, 6987044, 17947048, 10960004, 4172520, 102097400, 322, 3090032839006
20, 10354688, 5153016, 18880732, 13727716, 5152800, 102381027, 121019677, 3090025753045
21, 10354688, 6093328, 19821044, 13727716, 5152800, 102404462, 322, 3090022406803
22, 10354688, 7027012, 20754728, 13727716, 5152800, 101907737, 322, 3090019076093
23, 10354688, 7967324, 21695040, 13727716, 5152800, 102714438, 322, 3090015720469
24, 11403264, 6136500, 22635352, 16498852, 6136284, 102109697, 143844392, 3090007938835
25, 11403264, 7070184, 23569036, 16498852, 6136284, 102357965, 322, 3090004594178
26, 11403264, 8010496, 24509348, 16498852, 6136284, 103861143, 322, 3090001203271
27, 11403264, 8944180, 25443032, 16498852, 6136284, 105619497, 322, 3089997758384
28, 12058624, 9884492, 26383344, 16498852, 6136284, 106459368, 322, 3089994287501
29, 13369344, 7362368, 27321416, 19959048, 7362152, 105684932, 171578702, 3089985539327
30, 20905984, 7362368, 38094648, 30732280, 7362152, 2408511686, 198233129, 3089905005731
31, 20905984, 7362368, 48867856, 41505488, 7362152, 2408473370, 167244634, 3089825481946
32, 20905984, 7362368, 59641064, 52278696, 7362152, 2408473370, 167244634, 3089746038192
33, 20905984, 7362368, 70414272, 63051904, 7362152, 2408473370, 167244634, 3089666597115
34, 20905984, 7362368, 81187480, 73825112, 7362152, 2408473370, 167244634, 3089587156038
35, 20905984, 7362368, 91960688, 84598320, 7362152, 2408473370, 167244634, 3089507714961
36, 20905984, 7362368, 102733896, 95371528, 7362152, 2408473370, 167244634, 3089428273884
37, 20905984, 7362368, 113507104, 106144736, 7362152, 2408473370, 167244634, 3089348832807
38, 20905984, 7362368, 124280312, 116917944, 7362152, 2408473370, 167244634, 3089269391730
39, 20905984, 7362368, 135053520, 127691152, 7362152, 2408473370, 167244634, 3089189950653
40, 20905984, 7364624, 135055776, 127691152, 7362152, 54433, 322, 3089189760692
41, 20905984, 8052168, 135743320, 127691152, 7362152, 77285316, 322, 3089187189581
42, 20905984, 8748092, 136439244, 127691152, 7362152, 83812639, 322, 3089184417459
43, 20905984, 9441776, 137132928, 127691152, 7362152, 84673255, 322, 3089181618918
44, 20905984, 10308632, 137999784, 127691152, 7362152, 92183115, 322, 3089178587889
45, 20905984, 11246704, 138937856, 127691152, 7362152, 94456894, 322, 3089175486436
46, 20905984, 1474328, 139873780, 138399452, 7362152, 95101765, 40923355, 3089171073724
47, 20905984, 2412400, 140811852, 138399452, 7362152, 96103593, 322, 3089167921525
48, 20905984, 1964468, 141747776, 139783308, 7362152, 98357139, 47582591, 3089163227841
49, 20905984, 2902540, 142685848, 139783308, 7362152, 98819384, 322, 3089159992049
50, 20905984, 3842852, 143626160, 139783308, 7362152, 98353660, 322, 3089156770634
51, 20905984, 2700196, 144559844, 141859648, 7362152, 98664149, 65646340, 3089151506372
52, 20905984, 3640508, 145500156, 141859648, 7362152, 98663784, 322, 3089148275290
53, 20905984, 4574192, 146433840, 141859648, 7362152, 98195607, 322, 3089145058830
54, 20905984, 3437008, 147374152, 143937144, 7362152, 101586101, 81894205, 3089139205097
55, 20905984, 4375080, 148312224, 143937144, 7362152, 101927732, 322, 3089135873524
56, 20905984, 5311004, 149248148, 143937144, 7362152, 102543365, 322, 3089132523226
57, 20905984, 4172736, 150186220, 146013484, 7362152, 102243866, 98126704, 3089126150162
58, 20905984, 5108660, 151122144, 146013484, 7362152, 102068887, 322, 3089122814339
59, 20905984, 6046732, 152060216, 146013484, 7362152, 102559926, 322, 3089119463500
60, 20905984, 6987044, 153000528, 146013484, 7362152, 102094560, 322, 3089116126980
61, 20905984, 5153016, 153934212, 148781196, 7362152, 102376057, 121019322, 3089109041183
62, 20905984, 6093328, 154874524, 148781196, 7362152, 102404462, 322, 3089105694941
63, 20905984, 7027012, 155808208, 148781196, 7362152, 101907737, 322, 3089102364231
64, 20905984, 7967324, 156748520, 148781196, 7362152, 102714438, 322, 3089099008607
65, 20905984, 6136500, 157688832, 151552332, 7362152, 102105792, 143843682, 3089091227115
66, 20905984, 7070184, 158622516, 151552332, 7362152, 102357965, 322, 3089087879972
67, 20905984, 8010496, 159562828, 151552332, 7362152, 103861143, 322, 3089084489065
68, 20905984, 8944180, 160496512, 151552332, 7362152, 105619497, 322, 3089081044178
69, 20905984, 9884492, 161436824, 151552332, 7362152, 106455818, 322, 3089077573404
70, 20905984, 7362368, 162374896, 155012528, 7362152, 105679962, 171578347, 3089068825394
71, 20905984, 8298292, 163310820, 155012528, 7362152, 106236861, 322, 3089065361325
72, 20905984, 9236364, 164248892, 155012528, 7362152, 105996170, 322, 3089061904817
73, 20905984, 10172288, 165184816, 155012528, 7362152, 105762457, 322, 3089058455470
74, 20905984, 11110360, 166122888, 155012528, 7362152, 106312156, 322, 3089054989178
75, 20905984, 12050672, 167063200, 155012528, 7362152, 105846100, 322, 3089051537257
76, 20905984, 8832788, 167996884, 159164096, 8832572, 106070317, 205861303, 3089041717545
77, 20905984, 9773100, 168937196, 159164096, 8832572, 106156372, 322, 3089038255922
78, 20905984, 10706784, 169870880, 159164096, 8832572, 105601701, 322, 3089034811521
79, 20905984, 11647096, 170811192, 159164096, 8832572, 106466274, 322, 3089031340456
80, 20905984, 12585168, 171749264, 159164096, 8832572, 105690726, 322, 3089027893285
81, 29949952, 9815188, 186113124, 176297936, 9814972, 3295171782, 264739514, 3088917974291
82, 29949952, 9815188, 200476960, 190661772, 9814972, 3295126292, 222973919, 3088809423270
83, 29949952, 9815188, 214840796, 205025608, 9814972, 3295126292, 222973919, 3088700985818
84, 29949952, 9815188, 229204632, 219389444, 9814972, 3295126292, 222973919, 3088592548366
85, 29949952, 9815188, 243568468, 233753280, 9814972, 3295126292, 222973919, 3088484110914
86, 29949952, 9815188, 257932304, 248117116, 9814972, 3295126292, 222973919, 3088375673462
87, 29949952, 9815188, 272296140, 262480952, 9814972, 3295126292, 222973919, 3088267236010
88, 29949952, 9815188, 286659980, 276844792, 9814972, 3295126292, 222973919, 3088158684415
89, 29949952, 9815188, 301023820, 291208632, 9814972, 3295126292, 222973919, 3088050246808
90, 29949952, 9815188, 315387660, 305572472, 9814972, 3295126292, 222973919, 3087941809201

