Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 2883584, 689876, 689876, 0, 0, 77292093, 322, 3090105532308
1, 4063232, 491928, 1385792, 893864, 491712, 83815671, 9820218, 3090102449734
2, 4063232, 1185608, 2079472, 893864, 491712, 84673403, 322, 3090099651251
3, 5242880, 984188, 2946324, 1962136, 983972, 92184328, 19637177, 3090096000160
4, 5242880, 1922256, 3884392, 1962136, 983972, 94456968, 322, 3090092898690
5, 6488064, 1474328, 4820312, 3345984, 1474112, 95101691, 29432044, 3090088846654
6, 6488064, 2412400, 5758384, 3345984, 1474112, 96103593, 322, 3090085694472
7, 7471104, 1964468, 6694304, 4729836, 1964252, 98357139, 39224079, 3090081233466
8, 7471104, 2902540, 7632376, 4729836, 1964252, 98819384, 322, 3090077997690
9, 7471104, 3842848, 8572684, 4729836, 1964252, 98353734, 322, 3090074776350
10, 9633792, 2700196, 9506364, 6806168, 2699980, 98664223, 53925567, 3090069837265
11, 9633792, 3640508, 10446676, 6806168, 2699980, 98663784, 322, 3090066606152
12, 9633792, 4574192, 11380360, 6806168, 2699980, 98195607, 322, 3090063389692
13, 11141120, 3437008, 12320672, 8883664, 3436792, 101586101, 68628287, 3090057897157
14, 11141120, 4375080, 13258744, 8883664, 3436792, 101927732, 322, 3090054565584
15, 11141120, 5311004, 14194668, 8883664, 3436792, 102543365, 322, 3090051215286
16, 12582912, 4172736, 15132740, 10960004, 4172520, 102243866, 83323030, 3090045239320
17, 12582912, 5108660, 16068664, 10960004, 4172520, 102068887, 322, 3090041903435
18, 12582912, 6046732, 17006736, 10960004, 4172520, 102559926, 322, 3090038552596
19, 12582912, 6987044, 17947048, 10960004, 4172520, 102094560, 322, 3090035216076
20, 15269888, 5153016, 18880732, 13727716, 5152800, 102376057, 102916681, 3090028613253
21, 15269888, 6093328, 19821044, 13727716, 5152800, 102404462, 322, 3090025266950
22, 15269888, 7027012, 20754728, 13727716, 5152800, 101907737, 322, 3090021936240
23, 15269888, 7967324, 21695040, 13727716, 5152800, 102714438, 322, 3090018580616
24, 17235968, 6136500, 22635352, 16498852, 6136284, 102105792, 122531877, 3090011367764
25, 17235968, 7070184, 23569036, 16498852, 6136284, 102357965, 322, 3090008023015
26, 17235968, 8010496, 24509348, 16498852, 6136284, 103861143, 322, 3090004632077
27, 17235968, 8944180, 25443032, 16498852, 6136284, 105619497, 322, 3090001187190
28, 17235968, 9884492, 26383344, 16498852, 6136284, 106455818, 322, 3089997716416
29, 20381696, 7362368, 27321416, 19959048, 7362152, 105679962, 147026812, 3089989616299
30, 27656192, 7362368, 38094648, 30732280, 7362152, 2408474056, 147049177, 3089910660414
31, 27656192, 7362368, 48867856, 41505488, 7362152, 2408473370, 147009772, 3089831705702
32, 27656192, 7362368, 59641064, 52278696, 7362152, 2408473370, 147009772, 3089752887206
33, 27656192, 7362368, 70414272, 63051904, 7362152, 2408473370, 147009772, 3089674065419
34, 27656192, 7362368, 81187480, 73825112, 7362152, 2408473370, 147009772, 3089595246923
35, 27656192, 7362368, 91960688, 84598320, 7362152, 2408473370, 147009772, 3089516428427
36, 27656192, 7362368, 102733896, 95371528, 7362152, 2408473370, 147009772, 3089437609931
37, 27656192, 7362368, 113507104, 106144736, 7362152, 2408473370, 147009772, 3089358791435
38, 27656192, 7362368, 124280312, 116917944, 7362152, 2408473370, 147009772, 3089279972939
39, 27656192, 7362368, 135053520, 127691152, 7362152, 2408473370, 147009772, 3089201154443
40, 27656192, 7364624, 135055776, 127691152, 7362152, 54433, 322, 3089200964451
41, 27656192, 8052168, 135743320, 127691152, 7362152, 77285316, 322, 3089198393340
42, 27656192, 8748092, 136439244, 127691152, 7362152, 83812639, 322, 3089195621218
43, 27656192, 9441776, 137132928, 127691152, 7362152, 84673255, 322, 3089192822677
44, 27656192, 10308632, 137999784, 127691152, 7362152, 92183115, 322, 3089189791648
45, 27656192, 11246704, 138937856, 127691152, 7362152, 94456894, 322, 3089186690195
46, 27656192, 1474328, 139873780, 138399452, 7362152, 95101765, 29425299, 3089182612254
47, 27656192, 2412400, 140811852, 138399452, 7362152, 96103593, 322, 3089179459994
48, 27656192, 1964468, 141747776, 139783308, 7362152, 98357139, 39218754, 3089174999074
49, 27656192, 2902540, 142685848, 139783308, 7362152, 98819384, 322, 3089171763220
50, 27656192, 3842852, 143626160, 139783308, 7362152, 98353660, 322, 3089168541805
51, 27656192, 2700196, 144559844, 141859648, 7362152, 98664149, 53913852, 3089163603005
52, 27656192, 3640508, 145500156, 141859648, 7362152, 98663784, 322, 3089160371892
53, 27656192, 4574192, 146433840, 141859648, 7362152, 98195607, 322, 3089157155432
54, 27656192, 3437008, 147374152, 143937144, 7362152, 101586101, 68620122, 3089151663148
55, 27656192, 4375080, 148312224, 143937144, 7362152, 101927732, 322, 3089148331575
56, 27656192, 5311004, 149248148, 143937144, 7362152, 102543365, 322, 3089144981277
57, 27656192, 4172736, 150186220, 146013484, 7362152, 102243866, 83315220, 3089139005551
58, 27656192, 5108660, 151122144, 146013484, 7362152, 102068887, 322, 3089135669666
59, 27656192, 6046732, 152060216, 146013484, 7362152, 102559926, 322, 3089132318827
60, 27656192, 6987044, 153000528, 146013484, 7362152, 102094560, 322, 3089128982307
61, 27656192, 5153016, 153934212, 148781196, 7362152, 102376057, 102902126, 3089122379932
62, 27656192, 6093328, 154874524, 148781196, 7362152, 102404462, 322, 3089119033629
63, 27656192, 7027012, 155808208, 148781196, 7362152, 101907737, 322, 3089115702919
64, 27656192, 7967324, 156748520, 148781196, 7362152, 102714438, 322, 3089112347295
65, 27656192, 6136500, 157688832, 151552332, 7362152, 102105792, 122521227, 3089105134771
66, 27656192, 7070184, 158622516, 151552332, 7362152, 102357965, 322, 3089101790022
67, 27656192, 8010496, 159562828, 151552332, 7362152, 103861143, 322, 3089098399084
68, 27656192, 8944180, 160496512, 151552332, 7362152, 105619497, 322, 3089094954197
69, 27656192, 9884492, 161436824, 151552332, 7362152, 106455818, 322, 3089091483423
70, 27656192, 7362368, 162374896, 155012528, 7362152, 105679962, 147009772, 3089083383831
71, 27656192, 8298292, 163310820, 155012528, 7362152, 106236861, 322, 3089079919732
72, 27656192, 9236364, 164248892, 155012528, 7362152, 105996170, 322, 3089076463194
73, 27656192, 10172288, 165184816, 155012528, 7362152, 105762457, 322, 3089073013847
74, 27656192, 11110360, 166122888, 155012528, 7362152, 106312156, 322, 3089069547555
75, 27656192, 12050672, 167063200, 155012528, 7362152, 105846100, 322, 3089066095634
76, 27656192, 8832788, 167996884, 159164096, 8832572, 106070317, 176390133, 3089057052666
77, 27656192, 9773100, 168937196, 159164096, 8832572, 106156372, 322, 3089053591012
78, 27656192, 10706784, 169870880, 159164096, 8832572, 105601701, 322, 3089050146611
79, 27656192, 11647096, 170811192, 159164096, 8832572, 106466274, 322, 3089046675546
80, 27656192, 12585168, 171749264, 159164096, 8832572, 105690726, 322, 3089043228375
81, 38928384, 9815188, 186113124, 176297936, 9814972, 3295135217, 196050949, 3088935338883
82, 38928384, 9815188, 200476960, 190661772, 9814972, 3295126292, 195998054, 3088827549796
83, 38928384, 9815188, 214840796, 205025608, 9814972, 3295126292, 195998054, 3088719942339
84, 38928384, 9815188, 229204632, 219389444, 9814972, 3295126292, 195998054, 3088612334882
85, 38928384, 9815188, 243568468, 233753280, 9814972, 3295126292, 195998054, 3088504727425
86, 38928384, 9815188, 257932304, 248117116, 9814972, 3295126292, 195998054, 3088397119968
87, 38928384, 9815188, 272296140, 262480952, 9814972, 3295126292, 195998054, 3088289508194
88, 38928384, 9815188, 286659980, 276844792, 9814972, 3295126292, 195998054, 3088181719030
