Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 2883584, 698076, 698076, 0, 0, 80775145, 359, 3090103096258
1, 3604480, 1393992, 1393992, 0, 0, 87130848, 359, 3090100222581
2, 4259840, 2087668, 2087668, 0, 0, 87759890, 359, 3090097329580
3, 5111808, 2954516, 2954516, 0, 0, 95372240, 359, 3090094200999
4, 6094848, 3892580, 3892580, 0, 0, 97524627, 359, 3090091005543
5, 7012352, 4828496, 4828496, 0, 0, 98279597, 359, 3090087786919
6, 7929856, 5766560, 5766560, 0, 0, 99218034, 359, 3090084539389
7, 8912896, 6702476, 6702476, 0, 0, 101464494, 359, 3090081222737
8, 9830400, 7640540, 7640540, 0, 0, 101980962, 359, 3090077890163
9, 11010048, 2464928, 8589044, 6124116, 2456512, 101443557, 98549301, 3090071501326
10, 11010048, 3398628, 9522744, 6124116, 2456512, 101976378, 359, 3090068168329
11, 11010048, 4338940, 10463056, 6124116, 2456512, 101838241, 359, 3090064839585
12, 11010048, 5272624, 11396740, 6124116, 2456512, 101276098, 359, 3090061528291
13, 11010048, 6212936, 12337052, 6124116, 2456512, 104768324, 359, 3090058109421
14, 11010048, 7151008, 13275124, 6124116, 2456512, 104996500, 359, 3090054683530
15, 11010048, 8086932, 14211048, 6124116, 2456512, 105713820, 359, 3090051235691
16, 11206656, 9025004, 15149120, 6124116, 2456512, 105360966, 359, 3090047798616
17, 12124160, 9960928, 16085044, 6124116, 2456512, 105173332, 359, 3090044367438
18, 13369344, 4675560, 17031316, 12355756, 4667144, 105728701, 89032460, 3090038140338
19, 13369344, 5615872, 17971628, 12355756, 4667144, 105261936, 359, 3090034706124
20, 13369344, 6549556, 18905312, 12355756, 4667144, 105523849, 359, 3090031264069
21, 13369344, 7489884, 19845640, 12355756, 4667144, 105541828, 359, 3090027821338
22, 13369344, 8423568, 20779324, 12355756, 4667144, 104985385, 359, 3090024395912
23, 13369344, 9363896, 21719652, 12355756, 4667144, 105898457, 359, 3090020942268
24, 13369344, 10304224, 22659980, 12355756, 4667144, 105198279, 359, 3090017510107
25, 13434880, 11237908, 23593664, 12355756, 4667144, 105503491, 359, 3090014068801
26, 14352384, 12178236, 24533992, 12355756, 4667144, 107005031, 359, 3090010581140
27, 15532032, 6887276, 25475876, 18588600, 6878860, 108699494, 89008630, 3090004263364
28, 15532032, 7827940, 26416540, 18588600, 6878860, 109662121, 359, 3090000693760
29, 15532032, 8766012, 27354612, 18588600, 6878860, 108751855, 359, 3089997152320
30, 22151168, 7384096, 38136044, 30751948, 7375680, 2419308170, 22568807, 3089921739102
31, 22151168, 7384292, 48917452, 41533160, 7375876, 2419274204, 2649557, 3089846946629
32, 22151168, 7384488, 59698860, 52314372, 7376072, 2419274204, 2649625, 3089772153886
33, 22151168, 7384684, 70480268, 63095584, 7376268, 2419274130, 2649753, 3089697363933
34, 22151168, 7384880, 81261676, 73876796, 7376464, 2419274204, 2649821, 3089622573944
35, 22151168, 7385076, 92043084, 84658008, 7376660, 2419274204, 2649949, 3089547783952
36, 22151168, 7385272, 102824492, 95439220, 7376856, 2419274130, 2650017, 3089472993899
37, 22151168, 7385468, 113605900, 106220432, 7377052, 2419274204, 2650145, 3089398203839
38, 22151168, 7385664, 124387308, 117001644, 7377248, 2419274204, 2650213, 3089323413746
39, 22151168, 7385860, 135168716, 127782856, 7377444, 2419274130, 2650335, 3089248623683
40, 22151168, 7388116, 135170972, 127782856, 7377444, 64481, 359, 3089248433301
41, 22151168, 8075660, 135858516, 127782856, 7377444, 80768119, 359, 3089245755038
42, 22151168, 8771584, 136554440, 127782856, 7377444, 87127329, 359, 3089242880906
43, 22151168, 9465268, 137248124, 127782856, 7377444, 87756578, 359, 3089239987474
44, 22151168, 10332124, 138114980, 127782856, 7377444, 95367715, 359, 3089236858499
45, 22151168, 11270196, 139053052, 127782856, 7377444, 97519244, 359, 3089233662801
46, 22151168, 12206120, 139988976, 127782856, 7377444, 98274569, 359, 3089230443893
47, 22151168, 13144192, 140927048, 127782856, 7377444, 99213302, 359, 3089227196009
48, 22151168, 14080116, 141862972, 127782856, 7377444, 101459037, 359, 3089223879025
49, 22151168, 15018188, 142801044, 127782856, 7377444, 101976082, 359, 3089220546162
50, 22151168, 9841100, 143749556, 133908456, 9832684, 101438603, 98516105, 3089214157968
51, 22151168, 10774800, 144683256, 133908456, 9832684, 101976378, 359, 3089210824940
52, 22151168, 11715144, 145623600, 133908456, 9832684, 101838307, 359, 3089207496132
53, 22151168, 12648828, 146557284, 133908456, 9832684, 101276098, 359, 3089204184900
54, 22151168, 13589140, 147497596, 133908456, 9832684, 104768324, 359, 3089200765907
55, 22151168, 14527212, 148435668, 133908456, 9832684, 104996426, 359, 3089197340018
56, 22151168, 15463136, 149371592, 133908456, 9832684, 105713746, 359, 3089193892150
57, 22151168, 16401208, 150309664, 133908456, 9832684, 105359827, 359, 3089190455080
58, 22151168, 17337132, 151245588, 133908456, 9832684, 105168362, 359, 3089187023993
59, 22151168, 12051732, 152191860, 140140128, 12043316, 105723228, 89032086, 3089180797165
60, 22151168, 12992044, 153132172, 140140128, 12043316, 105262010, 359, 3089177362949
61, 22151168, 13925728, 154065856, 140140128, 12043316, 105523775, 359, 3089173920988
62, 22151168, 14866056, 155006184, 140140128, 12043316, 105541902, 359, 3089170478285
63, 22151168, 15799740, 155939868, 140140128, 12043316, 104985385, 359, 3089167052890
64, 22151168, 16740068, 156880196, 140140128, 12043316, 105898383, 359, 3089163599249
65, 22151168, 17680396, 157820524, 140140128, 12043316, 105198205, 359, 3089160167121
66, 22151168, 18614080, 158754208, 140140128, 12043316, 105503136, 359, 3089156725795
67, 22151168, 19554408, 159694536, 140140128, 12043316, 107000283, 359, 3089153238219
68, 22937600, 14263448, 160636420, 146372972, 14255032, 108697438, 89008731, 3089146917552
69, 22937600, 15204080, 161577052, 146372972, 14255032, 109661871, 359, 3089143347924
70, 22937600, 16142152, 162515124, 146372972, 14255032, 108751745, 359, 3089139806518
71, 22937600, 17078076, 163451048, 146372972, 14255032, 109401708, 359, 3089136245174
72, 22937600, 18016148, 164389120, 146372972, 14255032, 109115072, 359, 3089132692527
73, 22937600, 18952072, 165325044, 146372972, 14255032, 108856250, 359, 3089129147998
74, 22937600, 19890144, 166263116, 146372972, 14255032, 109478621, 359, 3089125584196
75, 23003136, 20830456, 167203428, 146372972, 14255032, 108940672, 359, 3089122036853
76, 23920640, 21764140, 168137112, 146372972, 14255032, 109217319, 359, 3089118481214
77, 25165824, 16477284, 169085624, 152608340, 16468868, 109302049, 89036147, 3089112144051
78, 25165824, 17410968, 170019308, 152608340, 16468868, 108794826, 359, 3089108601225
79, 25165824, 18351344, 170959684, 152608340, 16468868, 109664055, 359, 3089105031625
80, 25165824, 19289416, 171897756, 152608340, 16468868, 108764085, 359, 3089101489808
81, 36372480, 17217572, 186269816, 169052244, 17209156, 3309585625, 33306599, 3088998321260
82, 36372480, 17217768, 200641852, 183424084, 17209352, 3309527126, 3511631, 3088896082080
83, 36372480, 17217964, 215013888, 197795924, 17209548, 3309527126, 3511729, 3088793846220
84, 36372480, 17218160, 229385924, 212167764, 17209744, 3309527126, 3511827, 3088691610357
85, 36372480, 17218356, 243757960, 226539604, 17209940, 3309527126, 3511925, 3088589374491
86, 36372480, 17218552, 258129996, 240911444, 17210136, 3309527126, 3512023, 3088487138591
87, 36372480, 17218748, 272502032, 255283284, 17210332, 3309527126, 3512121, 3088384902719
88, 36372480, 17218944, 286874072, 269655128, 17210528, 3309527126, 3512219, 3088282662681
89, 36372480, 17219140, 301246112, 284026972, 17210724, 3309527126, 3512317, 3088180426648
90, 36372480, 17219336, 315618152, 298398816, 17210920, 3309527126, 3512415, 3088078190612

