Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 33554432, 3005912, 3005912, 0, 0, 85538588, 325, 3090100414657
1, 33554432, 3866156, 3866156, 0, 0, 92146811, 325, 3090097385139
2, 33554432, 4724108, 4724108, 0, 0, 92869602, 325, 3090094333412
3, 33554432, 5810184, 5810184, 0, 0, 101945955, 325, 3090091000659
4, 33554432, 6992596, 6992596, 0, 0, 104788921, 325, 3090087579691
5, 33554432, 8172840, 8172840, 0, 0, 105514449, 325, 3090084136399
6, 33554432, 9355252, 9355252, 0, 0, 106501910, 325, 3090080662693
7, 33554432, 10535496, 10535496, 0, 0, 108793113, 325, 3090077118457
8, 33554432, 11717908, 11717908, 0, 0, 109306845, 325, 3090073558476
9, 33554432, 12902612, 12902612, 0, 0, 108788632, 325, 3090070014409
10, 33554432, 14080564, 14080564, 0, 0, 109133952, 325, 3090066459809
11, 33554432, 15265268, 15265268, 0, 0, 109135782, 325, 3090062905061
12, 33554432, 16443220, 16443220, 0, 0, 108609428, 325, 3090059366570
13, 33554432, 17627924, 17627924, 0, 0, 112151075, 325, 3090055719013
14, 33554432, 18810336, 18810336, 0, 0, 112420973, 325, 3090052063151
15, 33554432, 19990580, 19990580, 0, 0, 113114013, 325, 3090048386057
16, 33554432, 21172992, 21172992, 0, 0, 112774935, 325, 3090044719304
17, 33554432, 22353236, 22353236, 0, 0, 112582677, 325, 3090041058559
18, 33554432, 23535648, 23535648, 0, 0, 113128897, 325, 3090037380915
19, 33554432, 24720352, 24720352, 0, 0, 112610422, 325, 3090033719131
20, 33554432, 25898304, 25898304, 0, 0, 112923778, 325, 3090030047922
21, 33554432, 27083008, 27083008, 0, 0, 112957572, 325, 3090026375580
22, 33554432, 28260960, 28260960, 0, 0, 112399254, 325, 3090022720479
23, 33554432, 29445664, 29445664, 0, 0, 113304722, 325, 3090019037456
24, 33554432, 30630368, 30630368, 0, 0, 112622998, 325, 3090015375348
25, 33554432, 31808320, 31808320, 0, 0, 112903604, 325, 3090011704759
26, 33554432, 32993024, 32993024, 0, 0, 114446523, 325, 3090007986573
27, 100663296, 42058736, 34175080, 0, 0, 116189586, 290173283, 3089994986201
28, 100663296, 11842948, 35359788, 23516840, 8504888, 117127298, 325, 3089988442931
29, 100663296, 13025368, 36542208, 23516840, 8504888, 116255863, 325, 3089984668637
30, 100663296, 27389540, 50906380, 23516840, 8504888, 2563393257, 325, 3089905498946
31, 100663296, 50306688, 65274616, 23516840, 8504888, 2563392035, 299361266, 3089816965755
32, 100663296, 31176524, 79638752, 48462228, 14659120, 2563391853, 325, 3089734411139
33, 100663296, 45540656, 94002884, 48462228, 14659120, 2563392052, 396, 3089655241297
34, 134217728, 68457804, 108371120, 48462228, 14659120, 2563391853, 300065635, 3089566705542
35, 134217728, 51481344, 122735256, 71253912, 34963940, 2563391853, 396, 3089483987518
36, 134217728, 65845476, 137099388, 71253912, 34963940, 2563391853, 396, 3089404817616
37, 134217728, 80209608, 151463520, 71253912, 34963940, 2563392035, 396, 3089325647740
38, 134217728, 94573740, 165827652, 71253912, 34963940, 2563391853, 396, 3089246477900
39, 167772160, 112168992, 180195888, 71253912, 34963940, 2563392069, 200114666, 3089161099368
40, 167772160, 19044436, 180198416, 161153980, 34963940, 65304, 325, 3089154028169
41, 167772160, 19894212, 181048192, 161153980, 34963940, 85535105, 325, 3089151201822
42, 167772160, 20754464, 181908444, 161153980, 34963940, 92146811, 325, 3089148171775
43, 167772160, 21612424, 182766404, 161153980, 34963940, 92869602, 325, 3089145119519
44, 167772160, 22698508, 183852488, 161153980, 34963940, 101945955, 325, 3089141786268
45, 167772160, 23880928, 185034908, 161153980, 34963940, 104788921, 325, 3089138364833
46, 167772160, 25061180, 186215160, 161153980, 34963940, 105514449, 325, 3089134921105
47, 167772160, 26243600, 187397580, 161153980, 34963940, 106501910, 325, 3089131446932
48, 167772160, 27423852, 188577832, 161153980, 34963940, 108793113, 325, 3089127902322
49, 167772160, 28606272, 189760252, 161153980, 34963940, 109306845, 325, 3089124341844
50, 167772160, 29790984, 190944964, 161153980, 34963940, 108788632, 325, 3089120797249
51, 167772160, 30968944, 192122924, 161153980, 34963940, 109133952, 325, 3089117242152
52, 167772160, 32153656, 193307636, 161153980, 34963940, 109135782, 325, 3089113686813
53, 167772160, 33331616, 194485596, 161153980, 34963940, 108609428, 325, 3089110147855
54, 167772160, 34516328, 195670308, 161153980, 34963940, 112151075, 396, 3089106499829
55, 167772160, 35698748, 196852728, 161153980, 34963940, 112420973, 396, 3089102843463
56, 167772160, 36879000, 198032980, 161153980, 34963940, 113114195, 396, 3089099165829
57, 167772160, 38061420, 199215400, 161153980, 34963940, 112774935, 396, 3089095498603
58, 167772160, 39241672, 200395652, 161153980, 34963940, 112582677, 396, 3089091837354
59, 167772160, 40424092, 201578072, 161153980, 34963940, 113128897, 396, 3089088159268
60, 167772160, 41608804, 202762784, 161153980, 34963940, 112610422, 396, 3089084497135
61, 167772160, 42786764, 203940744, 161153980, 34963940, 112923778, 396, 3089080825452
62, 167772160, 43971476, 205125456, 161153980, 34963940, 112957572, 396, 3089077152544
63, 167772160, 45149436, 206303416, 161153980, 34963940, 112399254, 396, 3089073496970
64, 167772160, 46334148, 207488128, 161153980, 34963940, 113304722, 396, 3089069813443
65, 167772160, 47518860, 208672840, 161153980, 34963940, 112622998, 396, 3089066150830
66, 167772160, 48696820, 209850800, 161153980, 34963940, 112903604, 396, 3089062463887
67, 167772160, 49881532, 211035512, 161153980, 34963940, 114446523, 396, 3089058745166
68, 167772160, 51059492, 212213472, 161153980, 34963940, 116189080, 396, 3089054972982
69, 167772160, 52244204, 213398184, 161153980, 34963940, 117127298, 396, 3089051171837
70, 167772160, 53426624, 214580604, 161153980, 34963940, 116255863, 396, 3089047397505
71, 167772160, 58915888, 215764960, 161153980, 34963940, 116883141, 239156742, 3089036071801
72, 167772160, 26543888, 216947380, 190403492, 34963940, 116609825, 325, 3089029447193
73, 167772160, 27724140, 218127632, 190403492, 34963940, 116351805, 325, 3089025670008
74, 167772160, 28906560, 219310052, 190403492, 34963940, 116963787, 325, 3089021873931
75, 167772160, 30091272, 220494764, 190403492, 34963940, 116444788, 325, 3089018093793
76, 167772160, 31269232, 221672724, 190403492, 34963940, 116693430, 325, 3089014306066
77, 167772160, 32453944, 222857436, 190403492, 34963940, 116791938, 325, 3089010515216
78, 167772160, 33631904, 224035396, 190403492, 34963940, 116169105, 396, 3089006743650
79, 167772160, 34816616, 225220108, 190403492, 34963940, 117139088, 396, 3089002942050
80, 167772160, 35999036, 226402528, 190403492, 34963940, 116267915, 396, 3088999167379
81, 167772160, 55150712, 245554204, 190403492, 34963940, 3503626014, 396, 3088891031443
82, 167772160, 74306452, 264709944, 190403492, 34963940, 3503624826, 164108703, 3088777822179
83, 167772160, 39980440, 283861580, 243881140, 34963940, 3503624792, 396, 3088657624242
84, 167772160, 59132076, 303013216, 243881140, 34963940, 3503624610, 396, 3088549488116
85, 167772160, 78287816, 322168956, 243881140, 34963940, 3503624809, 164108703, 3088436277411
86, 167772160, 43961804, 341320596, 297358792, 34963940, 3503624792, 396, 3088316169585
87, 167772160, 63113440, 360472232, 297358792, 34963940, 3503624610, 396, 3088208033381
88, 167772160, 82269180, 379627972, 297358792, 34963940, 3503624826, 164108703, 3088094843930
89, 167772160, 47943164, 398779612, 350836448, 34963940, 3503624792, 396, 3087974717848
90, 167772160, 67094800, 417931248, 350836448, 34963940, 3503624610, 396, 3087866581613

