Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 2883584, 689876, 689876, 0, 0, 77292083, 200, 3090106012627
1, 3538944, 1385792, 1385792, 0, 0, 83815661, 200, 3090103240985
2, 4259840, 2079468, 2079468, 0, 0, 84677446, 200, 3090100442857
3, 5111808, 2946316, 2946316, 0, 0, 92187720, 200, 3090097412290
4, 6094848, 3884380, 3884380, 0, 0, 94462357, 200, 3090094311085
5, 7012352, 4820296, 4820296, 0, 0, 95106873, 200, 3090091190111
6, 7929856, 5758360, 5758360, 0, 0, 96108553, 200, 3090088038285
7, 8847360, 6694276, 6694276, 0, 0, 98362247, 200, 3090084817084
8, 9830400, 7632340, 7632340, 0, 0, 98824625, 200, 3090081581656
9, 10747904, 8572644, 8572644, 0, 0, 98358842, 200, 3090078360560
10, 11665408, 9506320, 9506320, 0, 0, 98669035, 200, 3090075129981
11, 12648448, 10446624, 10446624, 0, 0, 98669469, 200, 3090071899265
12, 13565952, 11380300, 11380300, 0, 0, 98200567, 200, 3090068683069
13, 14483456, 12320604, 12320604, 0, 0, 101590765, 200, 3090065362498
14, 15466496, 13258668, 13258668, 0, 0, 101933269, 200, 3090062031389
15, 16384000, 14194584, 14194584, 0, 0, 102548473, 200, 3090058681412
16, 17301504, 15132648, 15132648, 0, 0, 102248752, 200, 3090055340626
17, 18219008, 16068564, 16068564, 0, 0, 102073847, 200, 3090052005283
18, 19202048, 17006628, 17006628, 0, 0, 102564960, 200, 3090048654727
19, 20119552, 17946932, 17946932, 0, 0, 102099150, 200, 3090045318452
20, 21037056, 18880608, 18880608, 0, 0, 102381091, 200, 3090041973625
21, 22020096, 19820912, 19820912, 0, 0, 102409851, 200, 3090038627852
22, 22937600, 20754588, 20754588, 0, 0, 101912623, 200, 3090035297377
23, 23855104, 21694892, 21694892, 0, 0, 102719398, 200, 3090031941986
24, 24838144, 22635196, 22635196, 0, 0, 102111033, 200, 3090028605376
25, 25755648, 23568872, 23568872, 0, 0, 102363073, 200, 3090025261134
26, 26673152, 24509176, 24509176, 0, 0, 103865955, 200, 3090021870495
27, 27656192, 25442852, 25442852, 0, 0, 105624886, 200, 3090018425890
28, 28573696, 26383156, 26383156, 0, 0, 106460704, 200, 3090014955413
29, 29491200, 27321220, 27321220, 0, 0, 105685070, 200, 3090011508864
30, 40304640, 38094444, 38094444, 0, 0, 2408532695, 200, 3089937131741
31, 51052544, 48867644, 48867644, 0, 0, 2408531506, 200, 3089862754473
32, 61800448, 59640844, 59640844, 0, 0, 2408531506, 200, 3089788377205
33, 72613888, 70414044, 70414044, 0, 0, 2408532009, 200, 3089713992540
34, 83361792, 81187244, 81187244, 0, 0, 2408531580, 200, 3089639615270
35, 94175232, 91960444, 91960444, 0, 0, 2408532009, 200, 3089565237894
36, 104923136, 102733644, 102733644, 0, 0, 2408531580, 200, 3089490860624
37, 115671040, 113506844, 113506844, 0, 0, 2408531580, 200, 3089416483354
38, 126484480, 124280044, 124280044, 0, 0, 2408532009, 200, 3089342106071
39, 137232384, 135053244, 135053244, 0, 0, 2408531506, 200, 3089267728803
40, 137232384, 135055492, 135055492, 0, 0, 54423, 200, 3089267539384
41, 137953280, 135743032, 135743032, 0, 0, 77288989, 200, 3089264968638
42, 138608640, 136438948, 136438948, 0, 0, 83816327, 200, 3089262196788
43, 139329536, 137132624, 137132624, 0, 0, 84677150, 200, 3089259398482
44, 140181504, 137999472, 137999472, 0, 0, 92187794, 200, 3089256367756
45, 141099008, 138937536, 138937536, 0, 0, 94461928, 200, 3089253266534
46, 142082048, 139873452, 139873452, 0, 0, 95107228, 200, 3089250145487
47, 142999552, 140811516, 140811516, 0, 0, 96108405, 200, 3089246993635
48, 143917056, 141747432, 141747432, 0, 0, 98362025, 200, 3089243772379
49, 144900096, 142685496, 142685496, 0, 0, 98824773, 200, 3089240536916
50, 145817600, 143625800, 143625800, 0, 0, 98358768, 200, 3089237315760
51, 146735104, 144559476, 144559476, 0, 0, 98669109, 200, 3089234085148
52, 147652608, 145499780, 145499780, 0, 0, 98668818, 200, 3089230854422
53, 148635648, 146433456, 146433456, 0, 0, 98201144, 200, 3089227638178
54, 149553152, 147373760, 147373760, 0, 0, 101591061, 200, 3089224317567
55, 150470656, 148311824, 148311824, 0, 0, 101932618, 200, 3089220986447
56, 151453696, 149247740, 149247740, 0, 0, 102548902, 200, 3089217636426
57, 152371200, 150185804, 150185804, 0, 0, 102248826, 200, 3089214295607
58, 153288704, 151121720, 151121720, 0, 0, 102073921, 200, 3089210960231
59, 154271744, 152059784, 152059784, 0, 0, 102565389, 200, 3089207609672
60, 155189248, 153000088, 153000088, 0, 0, 102099520, 200, 3089204273416
61, 156106752, 153933764, 153933764, 0, 0, 102380943, 200, 3089200928563
62, 157024256, 154874068, 154874068, 0, 0, 102409496, 200, 3089197582770
63, 158007296, 155807744, 155807744, 0, 0, 101912623, 200, 3089194252255
64, 158924800, 156748048, 156748048, 0, 0, 102719324, 200, 3089190896867
65, 159842304, 157688352, 157688352, 0, 0, 102110456, 200, 3089187560244
66, 160825344, 158622028, 158622028, 0, 0, 102363650, 200, 3089184215954
67, 161742848, 159562332, 159562332, 0, 0, 103865955, 200, 3089180825254
68, 162660352, 160496008, 160496008, 0, 0, 105624457, 200, 3089177380631
69, 163643392, 161436312, 161436312, 0, 0, 106460911, 200, 3089173910117
70, 164560896, 162374376, 162374376, 0, 0, 105684848, 200, 3089170463544
71, 165478400, 163310292, 163310292, 0, 0, 106241969, 200, 3089166999890
72, 166461440, 164248356, 164248356, 0, 0, 106001559, 200, 3089163543633
73, 167378944, 165184272, 165184272, 0, 0, 105767565, 200, 3089160094576
74, 168296448, 166122336, 166122336, 0, 0, 106317190, 200, 3089156628577
75, 169213952, 167062640, 167062640, 0, 0, 105850986, 200, 3089153176922
76, 170196992, 167996316, 167996316, 0, 0, 106075410, 200, 3089149718393
77, 171114496, 168936620, 168936620, 0, 0, 106161184, 200, 3089146257132
78, 172032000, 169870296, 169870296, 0, 0, 105606513, 200, 3089142813031
79, 173015040, 170810600, 170810600, 0, 0, 106471515, 200, 3089139342252
80, 173932544, 171748664, 171748664, 0, 0, 105695686, 200, 3089135895345
81, 188284928, 186112516, 186112516, 0, 0, 3295204713, 200, 3089034191116
82, 202637312, 200476344, 200476344, 0, 0, 3295204027, 200, 3088932504632
83, 217055232, 214840172, 214840172, 0, 0, 3295204530, 200, 3088830818133
84, 231407616, 229204000, 229204000, 0, 0, 3295204027, 200, 3088729131680
85, 245760000, 243567828, 243567828, 0, 0, 3295204027, 200, 3088627445134
86, 260112384, 257931656, 257931656, 0, 0, 3295204027, 200, 3088525758650
87, 274464768, 272295484, 272295484, 0, 0, 3295204027, 200, 3088424072166
88, 288817152, 286659316, 286659316, 0, 0, 3295204027, 200, 3088322385450
89, 303235072, 301023148, 301023148, 0, 0, 3295204456, 200, 3088220670357
90, 317587456, 315386980, 315386980, 0, 0, 3295204027, 200, 3088118983610

