Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 3866624, 555280, 1662176, 1106896, 555064, 89099505, 8001159, 3090104773261
1, 3866624, 1386040, 2492936, 1106896, 555064, 62403658, 322, 3090102657909
2, 4915200, 1246552, 3738460, 2491908, 1246336, 75745531, 17788972, 3090099577264
3, 5373952, 1868696, 5606132, 3737436, 1868480, 95757887, 26550642, 3090095611493
4, 7012352, 2801912, 8407020, 5605108, 2801696, 125776335, 39805041, 3090090305573
5, 7012352, 2803144, 8408252, 5605108, 2801696, 35720152, 322, 3090089015187
6, 9437184, 4201736, 12608964, 8407228, 4201520, 170804007, 59686757, 3090081703009
7, 9437184, 4202968, 12610196, 8407228, 4201520, 35720152, 322, 3090080412715
8, 9437184, 4204200, 12611428, 8407228, 4201520, 35720152, 322, 3090079122485
9, 9437184, 4205432, 12612660, 8407228, 4201520, 35720152, 322, 3090077832377
10, 13041664, 6301472, 18913108, 12611636, 6301256, 238345515, 89509660, 3090067512801
11, 13041664, 6302704, 18914340, 12611636, 6301256, 35720152, 322, 3090066222507
12, 13041664, 6303936, 18915572, 12611636, 6301256, 35720152, 322, 3090064932399
13, 13041664, 6305168, 18916804, 12611636, 6301256, 35720152, 322, 3090063642169
14, 13041664, 6306400, 18918036, 12611636, 6301256, 35720152, 322, 3090062352030
15, 18415616, 9451076, 28368088, 18917012, 9450860, 339657777, 134243530, 3090047515435
16, 18415616, 9452308, 28369320, 18917012, 9450860, 35720152, 322, 3090046225063
17, 18415616, 9453540, 28370552, 18917012, 9450860, 35720152, 322, 3090044934924
18, 18415616, 9454772, 28371784, 18917012, 9450860, 35720152, 322, 3090043644785
19, 18415616, 9456004, 28373016, 18917012, 9450860, 35720152, 322, 3090042354646
20, 18415616, 9457236, 28374248, 18917012, 9450860, 35720152, 322, 3090041064507
21, 18415616, 9458468, 28375480, 18917012, 9450860, 35720152, 322, 3090039774368
22, 18415616, 9459700, 28376712, 18917012, 9450860, 35720152, 322, 3090038484199
23, 26542080, 14175484, 42551172, 28375688, 14175268, 491626177, 201344607, 3090016876543
24, 26542080, 14176716, 42552404, 28375688, 14175268, 35720152, 322, 3090015586202
25, 26542080, 14177948, 42553636, 28375688, 14175268, 35720152, 322, 3090014295972
26, 26542080, 14179180, 42554868, 28375688, 14175268, 35720152, 322, 3090013005833
27, 26542080, 14180412, 42556100, 28375688, 14175268, 35720152, 322, 3090011715725
28, 26542080, 14181644, 42557332, 28375688, 14175268, 35720152, 322, 3090010425525
29, 26542080, 14182876, 42558564, 28375688, 14175268, 35720152, 322, 3090009135386
