Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 4390912, 555280, 1662176, 1106896, 555064, 89099505, 5150472, 3090105422790
1, 4390912, 1386040, 2492936, 1106896, 555064, 62403658, 322, 3090103307469
2, 6029312, 1246552, 3738460, 2491908, 1246336, 75745531, 11544738, 3090100409724
3, 7143424, 1868696, 5606132, 3737436, 1868480, 95757532, 17299570, 3090096714705
4, 9633792, 2801912, 8407020, 5605108, 2801696, 125775980, 25931818, 3090091814742
5, 9633792, 2803144, 8408252, 5605108, 2801696, 35720152, 322, 3090090524418
6, 13369344, 4201736, 12608964, 8407228, 4201520, 170803652, 38880190, 3090083823469
7, 13369344, 4202968, 12610196, 8407228, 4201520, 35720152, 322, 3090082533237
8, 13369344, 4204200, 12611428, 8407228, 4201520, 35720152, 322, 3090081243068
9, 13369344, 4205432, 12612660, 8407228, 4201520, 35720152, 322, 3090079952991
10, 19005440, 6301472, 18913108, 12611636, 6301256, 238345160, 58302759, 3090070551639
11, 19005440, 6302704, 18914340, 12611636, 6301256, 35720152, 322, 3090069261407
12, 19005440, 6303936, 18915572, 12611636, 6301256, 35720152, 322, 3090067971361
13, 19005440, 6305168, 18916804, 12611636, 6301256, 35720152, 322, 3090066681192
14, 19005440, 6306400, 18918036, 12611636, 6301256, 35720152, 322, 3090065391085
15, 27394048, 9451076, 28368088, 18917012, 9450860, 339657422, 87436606, 3090051930191
16, 27394048, 9452308, 28369320, 18917012, 9450860, 35720152, 322, 3090050639881
17, 27394048, 9453540, 28370552, 18917012, 9450860, 35720152, 322, 3090049349804
18, 27394048, 9454772, 28371784, 18917012, 9450860, 35720152, 322, 3090048059727
19, 27394048, 9456004, 28373016, 18917012, 9450860, 35720152, 322, 3090046769620
20, 27394048, 9457236, 28374248, 18917012, 9450860, 35720152, 322, 3090045479513
21, 27394048, 9458468, 28375480, 18917012, 9450860, 35720152, 322, 3090044189406
22, 27394048, 9459700, 28376712, 18917012, 9450860, 35720152, 322, 3090042899268
23, 39976960, 14175484, 42551172, 28375688, 14175268, 491625822, 131137380, 3090023356523
24, 39976960, 14176716, 42552404, 28375688, 14175268, 35720152, 322, 3090022066244
25, 39976960, 14177948, 42553636, 28375688, 14175268, 35720152, 322, 3090020776075
26, 39976960, 14179180, 42554868, 28375688, 14175268, 35720152, 322, 3090019485968
27, 39976960, 14180412, 42556100, 28375688, 14175268, 35720152, 322, 3090018195891
28, 39976960, 14181644, 42557332, 28375688, 14175268, 35720152, 322, 3090016905722
29, 39976960, 14182876, 42558564, 28375688, 14175268, 35720152, 322, 3090015615645
30, 39976960, 14184108, 42559796, 28375688, 14175268, 35720152, 322, 3090014325538
31, 39976960, 14185340, 42561028, 28375688, 14175268, 35720152, 322, 3090013035400
32, 39976960, 14186572, 42562260, 28375688, 14175268, 35720152, 322, 3090011745293
33, 39976960, 14187804, 42563492, 28375688, 14175268, 35720152, 322, 3090010455186
34, 39976960, 14189036, 42564724, 28375688, 14175268, 35720152, 322, 3090009165079
35, 58916864, 21262096, 63825796, 42563700, 21261880, 719578508, 196688531, 3089980496492
36, 58916864, 21263328, 63827028, 42563700, 21261880, 35720152, 322, 3089979206152
37, 58916864, 21264560, 63828260, 42563700, 21261880, 35720152, 322, 3089977916045
38, 58916864, 21265792, 63829492, 42563700, 21261880, 35720152, 322, 3089976625968
39, 58916864, 21267024, 63830724, 42563700, 21261880, 35720152, 322, 3089975335861
40, 58916864, 21268256, 63831956, 42563700, 21261880, 35720152, 322, 3089974045692
41, 58916864, 21269488, 63833188, 42563700, 21261880, 35720152, 322, 3089972755615
42, 58916864, 21270720, 63834420, 42563700, 21261880, 35720152, 322, 3089971465508
43, 58916864, 21271952, 63835652, 42563700, 21261880, 35720152, 322, 3089970175308
44, 58916864, 21273184, 63836884, 42563700, 21261880, 35720152, 322, 3089968885231
45, 58916864, 21274416, 63838116, 42563700, 21261880, 35720152, 322, 3089967595124
46, 58916864, 21275648, 63839348, 42563700, 21261880, 35720152, 322, 3089966304986
47, 58916864, 21276880, 63840580, 42563700, 21261880, 35720152, 322, 3089965014909
48, 58916864, 21278112, 63841812, 42563700, 21261880, 35720152, 322, 3089963724802
49, 58916864, 21279344, 63843044, 42563700, 21261880, 35720152, 322, 3089962434695
50, 58916864, 21280720, 63844420, 42563700, 21261880, 950021980, 322, 3089933015239
51, 58916864, 21282004, 63845704, 42563700, 21261880, 950021294, 322, 3089903595819
52, 58916864, 21283288, 63846988, 42563700, 21261880, 950021294, 322, 3089874176399
53, 58916864, 21284572, 63848272, 42563700, 21261880, 950021294, 322, 3089844756887
54, 58916864, 21285856, 63849556, 42563700, 21261880, 950021294, 322, 3089815337436
55, 58916864, 21287140, 63850840, 42563700, 21261880, 950021294, 322, 3089785917985
56, 58916864, 21288424, 63852124, 42563700, 21261880, 950021294, 322, 3089756498442
57, 58916864, 21289708, 63853408, 42563700, 21261880, 950021294, 322, 3089727078991
58, 58916864, 21290992, 63854692, 42563700, 21261880, 950021294, 322, 3089697659540
59, 58916864, 21292276, 63855976, 42563700, 21261880, 950021294, 322, 3089668240058
60, 58916864, 21293600, 63857300, 42563700, 21261880, 49420854, 322, 3089666528313
61, 58916864, 21294832, 63858532, 42563700, 21261880, 49420168, 322, 3089664816698
62, 58916864, 21296064, 63859764, 42563700, 21261880, 49420168, 322, 3089663105083
63, 58916864, 21297296, 63860996, 42563700, 21261880, 49420168, 322, 3089661393437
64, 58916864, 21298528, 63862228, 42563700, 21261880, 49420168, 322, 3089659681791
65, 58916864, 21299760, 63863460, 42563700, 21261880, 49420168, 322, 3089657970176
66, 58916864, 21300992, 63864692, 42563700, 21261880, 49420168, 322, 3089656258468
67, 58916864, 21302224, 63865924, 42563700, 21261880, 49420168, 322, 3089654546822
68, 58916864, 21303456, 63867156, 42563700, 21261880, 49420168, 322, 3089652835207
69, 58916864, 21304688, 63868388, 42563700, 21261880, 49420168, 322, 3089651123468
70, 58916864, 21305920, 63869620, 42563700, 21261880, 49420168, 322, 3089649411822
71, 58916864, 21307152, 63870852, 42563700, 21261880, 49420168, 322, 3089647700207
72, 58916864, 21308384, 63872084, 42563700, 21261880, 49420168, 322, 3089645988530
73, 58916864, 21309616, 63873316, 42563700, 21261880, 49420168, 322, 3089644276884
74, 58916864, 21310848, 63874548, 42563700, 21261880, 49420168, 322, 3089642565269
75, 58916864, 21312080, 63875780, 42563700, 21261880, 49420168, 322, 3089640853623
76, 58916864, 21313312, 63877012, 42563700, 21261880, 49420168, 322, 3089639141915
77, 58916864, 21314544, 63878244, 42563700, 21261880, 49420168, 322, 3089637430300
78, 58916864, 21315776, 63879476, 42563700, 21261880, 49420168, 322, 3089635718654
79, 58916864, 21317008, 63880708, 42563700, 21261880, 49420168, 322, 3089634006915
80, 58916864, 21318240, 63881940, 42563700, 21261880, 49420168, 322, 3089632295300
81, 58916864, 21319472, 63883172, 42563700, 21261880, 49420168, 322, 3089630583654
82, 58916864, 21320704, 63884404, 42563700, 21261880, 49420168, 322, 3089628872008
83, 58916864, 21321936, 63885636, 42563700, 21261880, 49420168, 322, 3089627160362
84, 58916864, 21323168, 63886868, 42563700, 21261880, 49420168, 322, 3089625448716
85, 58916864, 21324544, 63888244, 42563700, 21261880, 475021980, 322, 3089610644676
86, 58916864, 21325828, 63889528, 42563700, 21261880, 475021294, 322, 3089595840609
87, 58916864, 21327112, 63890812, 42563700, 21261880, 475021294, 322, 3089581036542
88, 58916864, 21328396, 63892096, 42563700, 21261880, 475021294, 322, 3089566226531
89, 58916864, 21329680, 63893380, 42563700, 21261880, 475021294, 322, 3089551422373
90, 58916864, 21330964, 63894664, 42563700, 21261880, 475021294, 322, 3089536618306
91, 58916864, 21332248, 63895948, 42563700, 21261880, 475021294, 322, 3089521814239
92, 58916864, 21333532, 63897232, 42563700, 21261880, 475021294, 322, 3089507010081
93, 58916864, 21334816, 63898516, 42563700, 21261880, 475021294, 322, 3089492206014
