Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 3866624, 1670376, 1670376, 0, 0, 109477791, 359, 3090102577782
1, 4653056, 2501132, 2501132, 0, 0, 77943476, 359, 3090099984732
2, 5898240, 3746652, 3746652, 0, 0, 93704439, 359, 3090096904389
3, 7798784, 5614316, 5614316, 0, 0, 117345980, 359, 3090093091814
4, 10878976, 2810112, 8423396, 5613284, 2801696, 152808188, 54261287, 3090086488681
5, 10878976, 2811344, 8424628, 5613284, 2801696, 48620986, 359, 3090084801234
6, 10878976, 7012056, 12625340, 5613284, 2801696, 208200403, 359, 3090078172454
7, 10878976, 7013288, 12626572, 5613284, 2801696, 47520790, 359, 3090076519201
8, 10878976, 7014520, 12627804, 5613284, 2801696, 47520790, 359, 3090074865917
9, 10878976, 7015752, 12629036, 5613284, 2801696, 47520790, 359, 3090073212695
10, 15859712, 9109524, 18937684, 9828160, 9101108, 286891659, 119855498, 3090060436334
11, 15859712, 9110756, 18938916, 9828160, 9101108, 48620986, 359, 3090058748933
12, 15859712, 9111988, 18940148, 9828160, 9101108, 48620790, 359, 3090057061834
13, 15859712, 9113220, 18941380, 9828160, 9101108, 48620790, 359, 3090055374735
14, 15859712, 9114452, 18942612, 9828160, 9101108, 48620790, 359, 3090053687636
15, 21037056, 18572704, 28400864, 9828160, 18564288, 407399468, 53383991, 3090039248312
16, 21037056, 18573936, 28402096, 9828160, 18564288, 48620986, 359, 3090037560911
17, 21037056, 18575168, 28403328, 9828160, 18564288, 48620790, 359, 3090035873812
18, 21037056, 18576400, 28404560, 9828160, 18564288, 48620790, 359, 3090034186713
19, 21037056, 18577632, 28405792, 9828160, 18564288, 48620790, 359, 3090032499614
20, 21037056, 18578864, 28407024, 9828160, 18564288, 48620790, 359, 3090030812515
21, 21037056, 18580096, 28408256, 9828160, 18564288, 48620790, 359, 3090029125416
22, 21037056, 18581328, 28409488, 9828160, 18564288, 48620790, 359, 3090027438286
23, 35389440, 32763988, 42592148, 9828160, 32755572, 586788314, 80057953, 3090006623491
24, 35389440, 32765220, 42593380, 9828160, 32755572, 48620986, 359, 3090004936059
25, 35389440, 32766452, 42594612, 9828160, 32755572, 48620790, 359, 3090003248960
26, 35389440, 32767684, 42595844, 9828160, 32755572, 48620790, 359, 3090001561861
27, 35389440, 32768916, 42597076, 9828160, 32755572, 48620790, 359, 3089999874762
28, 35389440, 32770148, 42598308, 9828160, 32755572, 48620790, 359, 3089998187632
29, 35389440, 32771380, 42599540, 9828160, 32755572, 48620790, 359, 3089996500533
30, 35389440, 32772612, 42600772, 9828160, 32755572, 48620790, 359, 3089994813464
31, 35389440, 32773844, 42602004, 9828160, 32755572, 48620790, 359, 3089993126272
32, 35389440, 32775076, 42603236, 9828160, 32755572, 48620790, 359, 3089991439173
33, 35389440, 32776308, 42604468, 9828160, 32755572, 48620790, 359, 3089989752104
34, 35389440, 32777540, 42605700, 9828160, 32755572, 48620790, 359, 3089988064912
35, 56885248, 54046812, 63874972, 9828160, 54038396, 855871692, 120068792, 3089957686879
36, 57933824, 21271168, 63884404, 42613236, 54038396, 48620986, 359, 3089943280204
37, 57933824, 21272400, 63885636, 42613236, 54038396, 48620790, 359, 3089941593042
38, 57933824, 21273632, 63886868, 42613236, 54038396, 48620790, 359, 3089939905973
39, 57933824, 21274864, 63888100, 42613236, 54038396, 48620790, 359, 3089938218874
40, 57933824, 21276096, 63889332, 42613236, 54038396, 48620790, 359, 3089936531682
41, 57933824, 21277328, 63890564, 42613236, 54038396, 48620790, 359, 3089934844613
42, 57933824, 21278560, 63891796, 42613236, 54038396, 48620790, 359, 3089933157514
43, 57933824, 21279792, 63893028, 42613236, 54038396, 48620790, 359, 3089931470384
44, 57933824, 21281024, 63894260, 42613236, 54038396, 48620790, 359, 3089929783315
45, 57933824, 21282256, 63895492, 42613236, 54038396, 48620790, 359, 3089928096216
46, 57933824, 21283488, 63896724, 42613236, 54038396, 48620790, 359, 3089926409086
47, 57933824, 21284720, 63897956, 42613236, 54038396, 48620790, 359, 3089924721987
48, 57933824, 21285952, 63899188, 42613236, 54038396, 48620790, 359, 3089923034888
49, 57933824, 21287184, 63900420, 42613236, 54038396, 48620790, 359, 3089921347789
50, 57933824, 21288560, 63901796, 42613236, 54038396, 1130022762, 359, 3089886389767
51, 57933824, 21289912, 63903148, 42613236, 54038396, 1130021921, 359, 3089851431713
52, 57933824, 21291264, 63904500, 42613236, 54038396, 1130021921, 359, 3089816473659
53, 57933824, 21292616, 63905852, 42613236, 54038396, 1130021921, 359, 3089781515512
54, 57933824, 21293968, 63907204, 42613236, 54038396, 1130021921, 359, 3089746557427
55, 57933824, 21295320, 63908556, 42613236, 54038396, 1130021921, 359, 3089711599342
56, 57933824, 21296672, 63909908, 42613236, 54038396, 1130021921, 359, 3089676635308
57, 57933824, 21298024, 63911260, 42613236, 54038396, 1130021921, 359, 3089641677223
58, 57933824, 21299376, 63912612, 42613236, 54038396, 1130021921, 359, 3089606719138
59, 57933824, 21300728, 63913964, 42613236, 54038396, 1130021921, 359, 3089571760960
60, 57933824, 21302120, 63915356, 42613236, 54038396, 63021636, 359, 3089569630607
61, 57933824, 21303352, 63916588, 42613236, 54038396, 63020795, 359, 3089567500430
62, 57933824, 21304584, 63917820, 42613236, 54038396, 63020795, 359, 3089565370222
63, 57933824, 21305816, 63919052, 42613236, 54038396, 63020795, 359, 3089563240015
64, 57933824, 21307048, 63920284, 42613236, 54038396, 63020795, 359, 3089561109808
65, 57933824, 21308280, 63921516, 42613236, 54038396, 63020795, 359, 3089558979601
66, 57933824, 21309512, 63922748, 42613236, 54038396, 63020795, 359, 3089556849363
67, 57933824, 21310744, 63923980, 42613236, 54038396, 63020795, 359, 3089554719156
68, 57933824, 21311976, 63925212, 42613236, 54038396, 63020795, 359, 3089552588979
69, 57933824, 21313208, 63926444, 42613236, 54038396, 63020795, 359, 3089550458677
70, 57933824, 21314440, 63927676, 42613236, 54038396, 63020795, 359, 3089548328470
71, 57933824, 21315672, 63928908, 42613236, 54038396, 63020795, 359, 3089546198293
72, 57933824, 21316904, 63930140, 42613236, 54038396, 63020795, 359, 3089544068024
73, 57933824, 21318136, 63931372, 42613236, 54038396, 63020795, 359, 3089541937817
74, 57933824, 21319368, 63932604, 42613236, 54038396, 63020795, 359, 3089539807640
75, 57933824, 21320600, 63933836, 42613236, 54038396, 63020795, 359, 3089537677402
76, 57933824, 21321832, 63935068, 42613236, 54038396, 63020795, 359, 3089535547195
77, 57933824, 21323064, 63936300, 42613236, 54038396, 63020795, 359, 3089533416988
78, 57933824, 21324296, 63937532, 42613236, 54038396, 63020795, 359, 3089531286781
79, 57933824, 21325528, 63938764, 42613236, 54038396, 63020795, 359, 3089529156512
80, 57933824, 21326760, 63939996, 42613236, 54038396, 63020795, 359, 3089527026305
81, 57933824, 21327992, 63941228, 42613236, 54038396, 63020795, 359, 3089524896098
82, 57933824, 21329224, 63942460, 42613236, 54038396, 63020795, 359, 3089522765829
83, 57933824, 21330456, 63943692, 42613236, 54038396, 63020795, 359, 3089520635622
84, 57933824, 21331688, 63944924, 42613236, 54038396, 63020795, 359, 3089518505415
85, 57933824, 21333064, 63946300, 42613236, 54038396, 565022762, 359, 3089500932070
86, 57933824, 21334348, 63947584, 42613236, 54038396, 565021921, 359, 3089483358673
87, 57933824, 21335632, 63948868, 42613236, 54038396, 565021921, 359, 3089465785276
88, 57933824, 21336916, 63950152, 42613236, 54038396, 565021921, 359, 3089448211849
89, 57933824, 21338200, 63951436, 42613236, 54038396, 565021921, 359, 3089430638422
90, 57933824, 21339484, 63952720, 42613236, 54038396, 565021921, 359, 3089413065025
91, 57933824, 21340768, 63954004, 42613236, 54038396, 565021921, 359, 3089395491628
92, 57933824, 21342052, 63955288, 42613236, 54038396, 565021921, 359, 3089377918170
93, 57933824, 21343336, 63956572, 42613236, 54038396, 565021921, 359, 3089360344773
94, 57933824, 21344620, 63957856, 42613236, 54038396, 565021921, 359, 3089342771376
95, 57933824, 21345944, 63959180, 42613236, 54038396, 48621620, 359, 3089341084080
96, 57933824, 21347176, 63960412, 42613236, 54038396, 48620779, 359, 3089339396981
97, 57933824, 21348408, 63961644, 42613236, 54038396, 48620779, 359, 3089337709913
98, 57933824, 21349640, 63962876, 42613236, 54038396, 48620779, 359, 3089336022752
99, 57933824, 21350872, 63964108, 42613236, 54038396, 48620779, 359, 3089334335622
100, 57933824, 21352104, 63965340, 42613236, 54038396, 48620779, 359, 3089332648523
101, 57933824, 21353336, 63966572, 42613236, 54038396, 48620779, 359, 3089330961362
102, 57933824, 21354568, 63967804, 42613236, 54038396, 48620779, 359, 3089329274201
103, 57933824, 21355800, 63969036, 42613236, 54038396, 48620779, 359, 3089327587102
104, 57933824, 21357032, 63970268, 42613236, 54038396, 48620779, 359, 3089325899972
105, 57933824, 21358264, 63971500, 42613236, 54038396, 48620779, 359, 3089324212780
106, 57933824, 21359496, 63972732, 42613236, 54038396, 48620779, 359, 3089322525650
107, 57933824, 21360728, 63973964, 42613236, 54038396, 48620779, 359, 3089320838520
108, 57933824, 21361960, 63975196, 42613236, 54038396, 48620779, 359, 3089319151359
109, 57933824, 21363192, 63976428, 42613236, 54038396, 48620779, 359, 3089317464229
110, 57933824, 21364424, 63977660, 42613236, 54038396, 48620779, 359, 3089315777099
111, 57933824, 21365656, 63978892, 42613236, 54038396, 48620779, 359, 3089314089969
112, 57933824, 21366888, 63980124, 42613236, 54038396, 48620779, 359, 3089312402808
113, 57933824, 21368120, 63981356, 42613236, 54038396, 48620779, 359, 3089310715678
114, 57933824, 21369352, 63982588, 42613236, 54038396, 48620779, 359, 3089309028579
115, 57933824, 21370584, 63983820, 42613236, 54038396, 48620779, 359, 3089307341356
116, 57933824, 21371816, 63985052, 42613236, 54038396, 48620779, 359, 3089305654226
117, 57933824, 21373048, 63986284, 42613236, 54038396, 48620779, 359, 3089303967127
118, 57933824, 21374280, 63987516, 42613236, 54038396, 48620779, 359, 3089302279904
119, 57933824, 21375512, 63988748, 42613236, 54038396, 48620779, 359, 3089300592774
120, 57933824, 21376628, 63989864, 42613236, 54038396, 16224, 359, 3089300404215
121, 57933824, 23037048, 65650284, 42613236, 54038396, 110574005, 359, 3089296801572
122, 57933824, 23867812, 66481048, 42613236, 54038396, 79043301, 359, 3089294174026
123, 57933824, 25113340, 67726576, 42613236, 54038396, 94804412, 359, 3089291059244
124, 57933824, 26981012, 69594248, 42613236, 54038396, 118445805, 359, 3089287212329
125, 57933824, 24070416, 72403336, 48332920, 54038396, 153908013, 54230925, 3089280573852
126, 57933824, 24071648, 72404568, 48332920, 54038396, 48620986, 359, 3089278886497
127, 57933824, 28272360, 76605280, 48332920, 54038396, 208200403, 359, 3089272257656
128, 57933824, 28273592, 76606512, 48332920, 54038396, 47520790, 359, 3089270604372
129, 57933824, 28274824, 76607744, 48332920, 54038396, 47520790, 359, 3089268951119
130, 57933824, 28276056, 76608976, 48332920, 54038396, 47520790, 359, 3089267297742
131, 57933824, 30369828, 82917624, 52547796, 54038396, 286891304, 119855143, 3089254518941
132, 57933824, 30371060, 82918856, 52547796, 54038396, 48620986, 359, 3089252831509
133, 57933824, 30372292, 82920088, 52547796, 54038396, 48620790, 359, 3089251144410
134, 57933824, 30373524, 82921320, 52547796, 54038396, 48620790, 359, 3089249457187
