Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 33554432, 3816384, 3816384, 0, 0, 107796982, 325, 3090099878266
1, 33554432, 4647424, 4647424, 0, 0, 76954586, 325, 3090097315339
2, 33554432, 5893228, 5893228, 0, 0, 92369914, 325, 3090094275910
3, 33554432, 7761176, 7761176, 0, 0, 115493000, 325, 3090090520201
4, 33554432, 10562340, 10562340, 0, 0, 150177528, 325, 3090085688599
5, 33554432, 10563844, 10563844, 0, 0, 46123387, 325, 3090084078694
6, 33554432, 14764832, 14764832, 0, 0, 202204320, 325, 3090077634698
7, 33554432, 14766336, 14766336, 0, 0, 46123387, 325, 3090076024762
8, 33554432, 14767840, 14767840, 0, 0, 46123387, 325, 3090074414764
9, 33554432, 14769344, 14769344, 0, 0, 46123387, 325, 3090072804859
10, 33554432, 21070068, 21070068, 0, 0, 280244508, 325, 3090063945381
11, 33554432, 21071572, 21071572, 0, 0, 46123387, 325, 3090062335336
12, 33554432, 21073076, 21073076, 0, 0, 46123387, 325, 3090060725400
13, 33554432, 21074580, 21074580, 0, 0, 46123387, 325, 3090059115433
14, 33554432, 21076084, 21076084, 0, 0, 46123387, 325, 3090057505528
15, 33554432, 30526412, 30526412, 0, 0, 397304790, 325, 3090045019795
16, 33554432, 30527916, 30527916, 0, 0, 46123387, 325, 3090043409781
17, 33554432, 30529420, 30529420, 0, 0, 46123387, 325, 3090041799814
18, 33554432, 30530924, 30530924, 0, 0, 46123387, 325, 3090040189878
19, 33554432, 30532428, 30532428, 0, 0, 46123387, 325, 3090038579942
20, 33554432, 30533932, 30533932, 0, 0, 46123387, 325, 3090036970006
21, 33554432, 30535436, 30535436, 0, 0, 46123387, 325, 3090035360070
22, 33554432, 30536940, 30536940, 0, 0, 46123387, 325, 3090033750072
23, 100663296, 44715780, 44715780, 0, 0, 572895726, 61890277, 3090013922004
24, 100663296, 16335200, 44717288, 28382088, 14180504, 46123387, 325, 3090009440469
25, 100663296, 16336712, 44718800, 28382088, 14180504, 46123387, 325, 3090007830097
26, 100663296, 16338224, 44720312, 28382088, 14180504, 46123387, 325, 3090006219756
27, 100663296, 16339736, 44721824, 28382088, 14180504, 46123387, 325, 3090004609291
28, 100663296, 16341248, 44723336, 28382088, 14180504, 46123387, 325, 3090002998919
29, 100663296, 16342760, 44724848, 28382088, 14180504, 46123387, 325, 3090001388547
30, 100663296, 16344272, 44726360, 28382088, 14180504, 46123387, 325, 3089999778144
31, 100663296, 16345784, 44727872, 28382088, 14180504, 46123387, 325, 3089998167772
32, 100663296, 16347296, 44729384, 28382088, 14180504, 46123387, 325, 3089996557400
33, 100663296, 16348808, 44730896, 28382088, 14180504, 46123387, 325, 3089994947028
34, 100663296, 16350320, 44732408, 28382088, 14180504, 46123387, 325, 3089993336687
35, 100663296, 37611676, 65993764, 28382088, 14180504, 836281148, 396, 3089967255612
36, 100663296, 37613188, 65995276, 28382088, 14180504, 46123387, 396, 3089965645156
37, 100663296, 37614700, 65996788, 28382088, 14180504, 46123387, 396, 3089964034778
38, 100663296, 37616212, 65998300, 28382088, 14180504, 46123387, 396, 3089962424369
39, 100663296, 37617724, 65999812, 28382088, 14180504, 46123387, 396, 3089960813991
40, 100663296, 37619236, 66001324, 28382088, 14180504, 46123387, 396, 3089959203613
41, 100663296, 37620748, 66002836, 28382088, 14180504, 46123387, 396, 3089957593235
42, 100663296, 37622260, 66004348, 28382088, 14180504, 46123387, 396, 3089955982857
43, 100663296, 37623772, 66005860, 28382088, 14180504, 46123387, 396, 3089954372417
44, 100663296, 37625284, 66007372, 28382088, 14180504, 46123387, 396, 3089952762039
45, 100663296, 37626796, 66008884, 28382088, 14180504, 46123387, 396, 3089951151692
46, 100663296, 37628308, 66010396, 28382088, 14180504, 46123387, 396, 3089949541221
47, 100663296, 37629820, 66011908, 28382088, 14180504, 46123387, 396, 3089947930843
48, 100663296, 37631332, 66013420, 28382088, 14180504, 46123387, 396, 3089946320465
49, 100663296, 37632844, 66014932, 28382088, 14180504, 46123387, 396, 3089944710056
50, 100663296, 37634536, 66016624, 28382088, 14180504, 1155026132, 396, 3089908982639
51, 100663296, 37636188, 66018276, 28382088, 14180504, 1155024728, 396, 3089873255019
52, 100663296, 37637840, 66019928, 28382088, 14180504, 1155024728, 396, 3089837527461
53, 100663296, 37639492, 66021580, 28382088, 14180504, 1155024728, 396, 3089801799872
54, 100663296, 37641144, 66023232, 28382088, 14180504, 1155024728, 396, 3089766072283
55, 100663296, 37642796, 66024884, 28382088, 14180504, 1155024728, 396, 3089730344725
56, 100663296, 37644448, 66026536, 28382088, 14180504, 1155024728, 396, 3089694617074
57, 100663296, 37646100, 66028188, 28382088, 14180504, 1155024728, 396, 3089658889516
58, 100663296, 37647752, 66029840, 28382088, 14180504, 1155024728, 396, 3089623152182
59, 100663296, 37649404, 66031492, 28382088, 14180504, 1155024728, 396, 3089587424593
60, 100663296, 37651108, 66033196, 28382088, 14180504, 60324807, 396, 3089585377094
61, 100663296, 37652620, 66034708, 28382088, 14180504, 60323403, 396, 3089583329730
