Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 3866624, 1660392, 1660392, 0, 0, 6002, 200
1, 4653056, 2491624, 2491624, 0, 0, 66825388, 200
2, 5898240, 3736592, 3736592, 0, 0, 47318200, 200
3, 7798784, 5603704, 5603704, 0, 0, 57065114, 200
4, 10616832, 8404032, 8404032, 0, 0, 71685538, 200
5, 10616832, 8404704, 8404704, 0, 0, 93616114, 200
6, 14811136, 12604856, 12604856, 0, 0, 27823628, 200
7, 14811136, 12605528, 12605528, 0, 0, 126511978, 200
8, 14811136, 12606200, 12606200, 0, 0, 27823628, 200
9, 14811136, 12606872, 12606872, 0, 0, 27823628, 200
10, 21102592, 18906760, 18906760, 0, 0, 27823628, 200
11, 21102592, 18907432, 18907432, 0, 0, 175855774, 200
12, 21102592, 18908104, 18908104, 0, 0, 27823628, 200
13, 21102592, 18908776, 18908776, 0, 0, 27823628, 200
14, 21102592, 18909448, 18909448, 0, 0, 27823628, 200
15, 30539776, 28358940, 28358940, 0, 0, 27823628, 200
16, 30539776, 28359612, 28359612, 0, 0, 249871468, 200
17, 30539776, 28360284, 28360284, 0, 0, 27823628, 200
18, 30539776, 28360956, 28360956, 0, 0, 27823628, 200
19, 30539776, 28361628, 28361628, 0, 0, 27823628, 200
20, 30539776, 28362300, 28362300, 0, 0, 27823628, 200
21, 30539776, 28362972, 28362972, 0, 0, 27823628, 200
22, 30539776, 28363644, 28363644, 0, 0, 27823628, 200
23, 44695552, 42537544, 42537544, 0, 0, 27823628, 200
24, 44695552, 42538216, 42538216, 0, 0, 360895016, 200
25, 44695552, 42538888, 42538888, 0, 0, 27823700, 200
26, 44695552, 42539560, 42539560, 0, 0, 27823628, 200
27, 44761088, 42540232, 42540232, 0, 0, 27823628, 200
28, 44761088, 42540904, 42540904, 0, 0, 27823996, 200
29, 44761088, 42541576, 42541576, 0, 0, 27823628, 200
30, 44761088, 42542248, 42542248, 0, 0, 27823628, 200
31, 44761088, 42542920, 42542920, 0, 0, 27823628, 200
32, 44761088, 42543592, 42543592, 0, 0, 27823628, 200
33, 44761088, 42544264, 42544264, 0, 0, 27823628, 200
34, 44761088, 42544936, 42544936, 0, 0, 27823628, 200
35, 65994752, 63805448, 63805448, 0, 0, 27823628, 200
36, 65994752, 63806120, 63806120, 0, 0, 527430398, 200
37, 65994752, 63806792, 63806792, 0, 0, 27823700, 200
38, 65994752, 63807464, 63807464, 0, 0, 27823628, 200
39, 65994752, 63808136, 63808136, 0, 0, 27823628, 200
40, 65994752, 63808808, 63808808, 0, 0, 27823628, 200
41, 65994752, 63809480, 63809480, 0, 0, 27823628, 200
42, 65994752, 63810152, 63810152, 0, 0, 27823628, 200
43, 65994752, 63810824, 63810824, 0, 0, 27823628, 200
44, 65994752, 63811496, 63811496, 0, 0, 27823628, 200
45, 65994752, 63812168, 63812168, 0, 0, 27823628, 200
46, 65994752, 63812840, 63812840, 0, 0, 27823628, 200
47, 65994752, 63813512, 63813512, 0, 0, 27823628, 200
48, 65994752, 63814184, 63814184, 0, 0, 27823628, 200
49, 65994752, 63814856, 63814856, 0, 0, 27823628, 200
50, 65994752, 63815672, 63815672, 0, 0, 27823628, 200
51, 65994752, 63816396, 63816396, 0, 0, 730025300, 200
52, 65994752, 63817120, 63817120, 0, 0, 730024817, 200
53, 65994752, 63817844, 63817844, 0, 0, 730024817, 200
54, 65994752, 63818568, 63818568, 0, 0, 730024817, 200
55, 65994752, 63819292, 63819292, 0, 0, 730024817, 200
56, 65994752, 63820016, 63820016, 0, 0, 730024817, 200
57, 65994752, 63820740, 63820740, 0, 0, 730024817, 200
58, 65994752, 63821464, 63821464, 0, 0, 730024817, 200
59, 65994752, 63822188, 63822188, 0, 0, 730024817, 200
60, 65994752, 63822952, 63822952, 0, 0, 730024817, 200
61, 65994752, 63823624, 63823624, 0, 0, 38124222, 200
62, 65994752, 63824296, 63824296, 0, 0, 38123595, 200
63, 65994752, 63824968, 63824968, 0, 0, 38123595, 200
64, 65994752, 63825640, 63825640, 0, 0, 38123595, 200
65, 65994752, 63826312, 63826312, 0, 0, 38123595, 200
66, 65994752, 63826984, 63826984, 0, 0, 38123595, 200
67, 65994752, 63827656, 63827656, 0, 0, 38123595, 200
68, 65994752, 63828328, 63828328, 0, 0, 38123595, 200
69, 65994752, 63829000, 63829000, 0, 0, 38123595, 200
