Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 2228224, 6432, 6432, 0, 0, 21240, 322, 1990892435255
1, 2228224, 22476, 22476, 0, 0, 270713, 322, 1990892239741
2, 2228224, 24032, 24032, 0, 0, 23742, 322, 1990892005934
3, 2228224, 39748, 39748, 0, 0, 428848, 322, 1990891805337
4, 7667712, 4202452, 5283844, 1081392, 4202236, 196100202, 59555992, 1990883705488
5, 7667712, 4210940, 5292332, 1081392, 4202236, 217353, 322, 1990883510652
6, 11927552, 8397040, 10536396, 2139356, 8396824, 196099847, 118724897, 1990873589914
7, 11927552, 8405600, 10544956, 2139356, 8396824, 218729, 322, 1990873394958
8, 15859712, 13649664, 15789020, 2139356, 8396824, 196099847, 322, 1990867127391
9, 15859712, 13658072, 15797428, 2139356, 8396824, 217865, 322, 1990866932617
10, 21692416, 16786128, 21041492, 4255364, 16785912, 196100202, 229924539, 1990853590079
11, 21692416, 16794608, 21049972, 4255364, 16785912, 218975, 322, 1990853395115
12, 24248320, 22038672, 26294036, 4255364, 16785912, 196099847, 322, 1990847127394
13, 24248320, 22047160, 26302524, 4255364, 16785912, 219509, 322, 1990846932570
14, 30343168, 25175232, 31546588, 6371356, 25175016, 196100202, 333644384, 1990830398621
15, 30343168, 25183784, 31555140, 6371356, 25175016, 220449, 322, 1990830203534
16, 32636928, 30427848, 36799204, 6371356, 25175016, 196099847, 322, 1990823935782
17, 32636928, 30436256, 36807612, 6371356, 25175016, 219533, 322, 1990823740895
18, 37879808, 35680320, 42051676, 6371356, 25175016, 196100202, 322, 1990817473316
19, 37879808, 35688728, 42060084, 6371356, 25175016, 219921, 322, 1990817278479
20, 44433408, 37758868, 47304148, 9545280, 37758652, 196100202, 496707772, 1990795726887
21, 44433408, 37767732, 47313012, 9545280, 37758652, 225807, 322, 1990795531635
22, 45219840, 43011796, 52557076, 9545280, 37758652, 196099847, 322, 1990789263698
23, 45219840, 43020408, 52565688, 9545280, 37758652, 221099, 322, 1990789068825
24, 50462720, 48264472, 57809752, 9545280, 37758652, 196100202, 322, 1990782801339
25, 50462720, 48273016, 57818296, 9545280, 37758652, 221259, 322, 1990782606461
26, 55705600, 53517080, 63062360, 9545280, 37758652, 196100202, 322, 1990776338975
27, 55705600, 53525704, 63070984, 9545280, 37758652, 221688, 322, 1990776143991
28, 62783488, 54537160, 68315048, 13777888, 54536944, 196100202, 763023517, 1990746397453
29, 62783488, 54545848, 68323736, 13777888, 54536944, 222710, 322, 1990746202204
30, 62783488, 59789912, 73567800, 13777888, 54536944, 196099492, 322, 1990739934463
31, 62783488, 59798672, 73576560, 13777888, 54536944, 223412, 322, 1990739739518
32, 67239936, 65042736, 78820624, 13777888, 54536944, 196100202, 322, 1990733471725
33, 67239936, 65051568, 78829456, 13777888, 54536944, 224363, 322, 1990733276751
34, 72482816, 70295632, 84073520, 13777888, 54536944, 196100202, 322, 1990727009172
35, 72482816, 70304544, 84082432, 13777888, 54536944, 225093, 322, 1990726814176
36, 72482816, 70305744, 84083632, 13777888, 54536944, 17280, 322, 1990726580073
37, 72548352, 70322524, 84100412, 13777888, 54536944, 283130, 322, 1990726383307
38, 72548352, 70324088, 84101976, 13777888, 54536944, 23742, 322, 1990726148879
39, 72548352, 70340588, 84118476, 13777888, 54536944, 437645, 322, 1990725947358
40, 77791232, 75584692, 89362580, 13777888, 54536944, 196100202, 322, 1990719679800
41, 77791232, 75594192, 89372080, 13777888, 54536944, 231175, 322, 1990719484617
42, 83034112, 80838256, 94616144, 13777888, 54536944, 196100202, 322, 1990713217100
43, 83034112, 80847828, 94625716, 13777888, 54536944, 232131, 322, 1990713021887
44, 90963968, 79706468, 99869780, 20163312, 79706252, 196100202, 1125927484, 1990672107996
45, 90963968, 79715480, 99878792, 20163312, 79706252, 224018, 322, 1990671912695
46, 90963968, 84959544, 105122856, 20163312, 79706252, 196099492, 322, 1990665645077
47, 90963968, 84968568, 105131880, 20163312, 79706252, 225018, 322, 1990665450083
48, 92405760, 90212632, 110375944, 20163312, 79706252, 196099847, 322, 1990659181778
49, 92405760, 90221728, 110385040, 20163312, 79706252, 226350, 322, 1990658986712
50, 97648640, 95465792, 115629104, 20163312, 79706252, 196100202, 322, 1990652719195
51, 97648640, 95474816, 115638128, 20163312, 79706252, 225483, 322, 1990652524187
52, 102891520, 100718880, 120882192, 20163312, 79706252, 196100202, 322, 1990646256701
53, 102957056, 100727472, 120890784, 20163312, 79706252, 221416, 322, 1990646061818
54, 108199936, 105971536, 126134848, 20163312, 79706252, 196100202, 322, 1990639794239
55, 108199936, 105980200, 126143512, 20163312, 79706252, 222031, 322, 1990639599337
56, 113442816, 111224264, 131387576, 20163312, 79706252, 196100202, 322, 1990633331851
57, 113442816, 111232928, 131396240, 20163312, 79706252, 222987, 322, 1990633136920
58, 118685696, 116476992, 136640304, 20163312, 79706252, 196100202, 322, 1990626869434
59, 118685696, 116485720, 136649032, 20163312, 79706252, 223226, 322, 1990626674433
60, 127729664, 113262844, 141893096, 28630252, 113262628, 196100202, 1474997650, 1990575019953
61, 127729664, 113271724, 141901976, 28630252, 113262628, 224534, 322, 1990574824667
62, 127729664, 118515788, 147146040, 28630252, 113262628, 196099492, 322, 1990568557049
63, 127729664, 118524464, 147154716, 28630252, 113262628, 222634, 322, 1990568362128
64, 127729664, 123768528, 152398780, 28630252, 113262628, 196099492, 322, 1990562094110
65, 127729664, 123777276, 152407528, 28630252, 113262628, 223603, 322, 1990561899160
66, 131203072, 129021340, 157651592, 28630252, 113262628, 196099847, 322, 1990555631039
67, 131203072, 129030472, 157660724, 28630252, 113262628, 229244, 322, 1990555435915
68, 136445952, 134274536, 162904788, 28630252, 113262628, 196100202, 322, 1990549168398
69, 136511488, 134283740, 162913992, 28630252, 113262628, 230239, 322, 1990548973244
70, 141754368, 139527804, 168158056, 28630252, 113262628, 196100202, 322, 1990542705758
71, 141754368, 139536696, 168166948, 28630252, 113262628, 224837, 322, 1990542510770
72, 141754368, 139537896, 168168148, 28630252, 113262628, 17280, 322, 1990542276636
73, 141754368, 139554388, 168184640, 28630252, 113262628, 283274, 322, 1990542079865
74, 141754368, 139555952, 168186204, 28630252, 113262628, 23742, 322, 1990541845467
75, 141754368, 139572116, 168202368, 28630252, 113262628, 436254, 322, 1990541643989
76, 146997248, 144816220, 173446472, 28630252, 113262628, 196100202, 322, 1990535376431
77, 146997248, 144825216, 173455468, 28630252, 113262628, 224986, 322, 1990535181438
78, 152240128, 150069280, 178699532, 28630252, 113262628, 196100202, 322, 1990528913859
79, 152305664, 150078160, 178708412, 28630252, 113262628, 224919, 322, 1990528718868
80, 157548544, 155322224, 183952476, 28630252, 113262628, 196100202, 322, 1990522451382
81, 157548544, 155331168, 183961420, 28630252, 113262628, 225174, 322, 1990522256383
82, 162791424, 160575232, 189205484, 28630252, 113262628, 196100202, 322, 1990515988835
83, 162791424, 160584012, 189214264, 28630252, 113262628, 223191, 322, 1990515793897
84, 168034304, 165828076, 194458328, 28630252, 113262628, 196100202, 322, 1990509526411
85, 168034304, 165836936, 194467188, 28630252, 113262628, 223860, 322, 1990509331453
86, 178651136, 159404892, 199711252, 40306360, 159404676, 196100202, 2134051985, 1990437376527
87, 178651136, 159414224, 199720584, 40306360, 159404676, 229959, 322, 1990437181074
88, 178651136, 164658288, 204964648, 40306360, 159404676, 196099492, 322, 1990430913487
89, 178651136, 164667624, 204973984, 40306360, 159404676, 230660, 322, 1990430718258
90, 178651136, 169911688, 210218048, 40306360, 159404676, 196099492, 322, 1990424450671
91, 178651136, 169920540, 210226900, 40306360, 159404676, 224358, 322, 1990424255697
92, 178651136, 175164604, 215470964, 40306360, 159404676, 196099492, 322, 1990417987095
93, 178651136, 175173528, 215479888, 40306360, 159404676, 225329, 322, 1990417792061
94, 182648832, 180417592, 220723952, 40306360, 159404676, 196099847, 322, 1990411524094
95, 182648832, 180426596, 220732956, 40306360, 159404676, 225708, 322, 1990411329079
96, 187891712, 185670660, 225977020, 40306360, 159404676, 196100202, 322, 1990405061593
97, 187891712, 185679748, 225986108, 40306360, 159404676, 226797, 322, 1990404866452
98, 193134592, 190923812, 231230172, 40306360, 159404676, 196100202, 322, 1990398598966
99, 193134592, 190932756, 231239116, 40306360, 159404676, 225260, 322, 1990398403965
100, 198377472, 196176820, 236483180, 40306360, 159404676, 196100202, 322, 1990392136479
101, 198377472, 196185684, 236492044, 40306360, 159404676, 224551, 322, 1990391941407
102, 203620352, 201429748, 241736108, 40306360, 159404676, 196100202, 322, 1990385673921
103, 203620352, 201438468, 241744828, 40306360, 159404676, 223161, 322, 1990385478984
104, 208863232, 206682532, 246988892, 40306360, 159404676, 196100202, 322, 1990379211498
105, 208863232, 206691324, 246997684, 40306360, 159404676, 223776, 322, 1990379016542
106, 214106112, 211935388, 252241748, 40306360, 159404676, 196100202, 322, 1990372748963
107, 214171648, 211944188, 252250548, 40306360, 159404676, 224314, 322, 1990372553991
108, 214171648, 211945388, 252251748, 40306360, 159404676, 17280, 322, 1990372319888
109, 214171648, 211961952, 252268312, 40306360, 159404676, 286924, 322, 1990372123005
110, 214171648, 211963516, 252269876, 40306360, 159404676, 23742, 322, 1990371888576
111, 214171648, 211979752, 252286112, 40306360, 159404676, 439389, 322, 1990371687002
112, 219414528, 217223856, 257530216, 40306360, 159404676, 196100202, 322, 1990365419444
113, 219414528, 217232860, 257539220, 40306360, 159404676, 225854, 322, 1990365224424
114, 224657408, 222476924, 262783284, 40306360, 159404676, 196100202, 322, 1990358956938
115, 224657408, 222485992, 262792352, 40306360, 159404676, 226440, 322, 1990358761808
116, 229900288, 227730056, 268036416, 40306360, 159404676, 196100202, 322, 1990352494322
117, 229965824, 227738908, 268045268, 40306360, 159404676, 224705, 322, 1990352299338
118, 235208704, 232982972, 273289332, 40306360, 159404676, 196100202, 322, 1990346031852
119, 235208704, 232991896, 273298256, 40306360, 159404676, 224969, 322, 1990345836751
120, 240451584, 238235964, 278542324, 40306360, 159404676, 196100202, 322, 1990339569157
121, 240451584, 238244896, 278551256, 40306360, 159404676, 224801, 322, 1990339374092
122, 253296640, 226519680, 283795324, 57275644, 226519464, 196100202, 3074691263, 1990238494777
123, 253296640, 226528756, 283804400, 57275644, 226519464, 225449, 322, 1990238299292
124, 253296640, 231772824, 289048468, 57275644, 226519464, 196099492, 322, 1990232031628
125, 253296640, 231781892, 289057536, 57275644, 226519464, 226472, 322, 1990231836511
126, 253296640, 237025960, 294301604, 57275644, 226519464, 196099492, 322, 1990225568816
127, 253296640, 237034956, 294310600, 57275644, 226519464, 226308, 322, 1990225373612
128, 253296640, 242279024, 299554668, 57275644, 226519464, 196099492, 322, 1990219105948
129, 253296640, 242288412, 299564056, 57275644, 226519464, 231525, 322, 1990218910676
130, 253296640, 247532480, 304808124, 57275644, 226519464, 196099492, 322, 1990212642181
131, 253296640, 247541556, 304817200, 57275644, 226519464, 226986, 322, 1990212446956
132, 255000576, 252785624, 310061268, 57275644, 226519464, 196099847, 322, 1990206178143
133, 255000576, 252795168, 310070812, 57275644, 226519464, 233211, 322, 1990205982819
134, 260243456, 258039236, 315314880, 57275644, 226519464, 196100202, 322, 1990199715225
135, 260243456, 258048316, 315323960, 57275644, 226519464, 227530, 322, 1990199520076
136, 265486336, 263292384, 320568028, 57275644, 226519464, 196100202, 322, 1990193252513
137, 265486336, 263301544, 320577188, 57275644, 226519464, 228179, 322, 1990193057344
138, 270729216, 268545612, 325821256, 57275644, 226519464, 196100202, 322, 1990186789720
139, 270729216, 268554844, 325830488, 57275644, 226519464, 228418, 322, 1990186594388
140, 275972096, 273798912, 331074556, 57275644, 226519464, 196100202, 322, 1990180326669
141, 276037632, 273807992, 331083636, 57275644, 226519464, 227638, 322, 1990180131361
