Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 2228224, 6432, 6432, 0, 0, 21240, 322, 1990892686886
1, 2228224, 22476, 22476, 0, 0, 270641, 322, 1990892491375
2, 2228224, 24032, 24032, 0, 0, 23742, 322, 1990892257568
3, 2228224, 39796, 39796, 0, 0, 428751, 322, 1990892056974
4, 11665408, 4202468, 5283892, 1081424, 4202252, 196100202, 38965485, 1990884590617
5, 11665408, 4210956, 5292380, 1081424, 4202252, 217281, 322, 1990884395815
6, 20054016, 8397056, 10536444, 2139388, 8396840, 196099492, 77769654, 1990875735250
7, 20054016, 8405616, 10545004, 2139388, 8396840, 218657, 322, 1990875540327
8, 20054016, 13649680, 15789068, 2139388, 8396840, 196099492, 322, 1990869272925
9, 20054016, 13658088, 15797476, 2139388, 8396840, 217793, 322, 1990869078184
10, 37879808, 16786144, 21041540, 4255396, 16785928, 196099847, 155375661, 1990858029469
11, 37879808, 16794624, 21050020, 4255396, 16785928, 218978, 322, 1990857834536
12, 37879808, 22038688, 26294084, 4255396, 16785928, 196099492, 322, 1990851567104
13, 37879808, 22047176, 26302572, 4255396, 16785928, 219512, 322, 1990851372310
14, 54657024, 25175248, 31546636, 6371388, 25175032, 196099492, 232981528, 1990837935641
15, 54657024, 25183800, 31555188, 6371388, 25175032, 220452, 322, 1990837740663
16, 54657024, 30427864, 36799252, 6371388, 25175032, 196099492, 322, 1990831473261
17, 54657024, 30436272, 36807660, 6371388, 25175032, 219536, 322, 1990831278405
18, 54657024, 35680336, 42051724, 6371388, 25175032, 196099492, 322, 1990825010941
19, 54657024, 35688744, 42060132, 6371388, 25175032, 219667, 322, 1990824816142
20, 80871424, 37758884, 47304196, 9545312, 37758668, 196099492, 349390686, 1990807797222
21, 80871424, 37767748, 47313060, 9545312, 37758668, 225553, 322, 1990807602009
22, 80871424, 43011812, 52557124, 9545312, 37758668, 196099492, 322, 1990801334515
23, 80871424, 43020424, 52565736, 9545312, 37758668, 220845, 322, 1990801139680
24, 80871424, 48264488, 57809800, 9545312, 37758668, 196099492, 322, 1990794872309
25, 80871424, 48273032, 57818344, 9545312, 37758668, 221005, 322, 1990794677469
26, 80871424, 53517096, 63062408, 9545312, 37758668, 196099492, 322, 1990788410098
27, 80871424, 53525720, 63071032, 9545312, 37758668, 221956, 322, 1990788215137
28, 115474432, 54537176, 68315096, 13777920, 54536960, 196099492, 504605016, 1990766419806
29, 115474432, 54545864, 68323784, 13777920, 54536960, 222978, 322, 1990766224610
30, 115474432, 59789928, 73567848, 13777920, 54536960, 196099492, 322, 1990759957178
31, 115474432, 59798688, 73576608, 13777920, 54536960, 223680, 322, 1990759762256
32, 115474432, 65042752, 78820672, 13777920, 54536960, 196099492, 322, 1990753494854
33, 115474432, 65051584, 78829504, 13777920, 54536960, 224732, 322, 1990753299899
34, 115474432, 70295648, 84073568, 13777920, 54536960, 196099492, 322, 1990747032435
35, 115474432, 70304560, 84082480, 13777920, 54536960, 225305, 322, 1990746837462
36, 115474432, 70305760, 84083680, 13777920, 54536960, 17280, 322, 1990746603482
37, 115474432, 70322540, 84100460, 13777920, 54536960, 282987, 322, 1990746406751
38, 115474432, 70324104, 84102024, 13777920, 54536960, 23742, 322, 1990746172445
39, 115474432, 70340604, 84118524, 13777920, 54536960, 438127, 322, 1990745970941
40, 115474432, 75584708, 89362628, 13777920, 54536960, 196099492, 322, 1990739703467
41, 115474432, 75594208, 89372128, 13777920, 54536960, 231387, 322, 1990739508307
42, 115474432, 80838272, 94616192, 13777920, 54536960, 196099492, 322, 1990733240905
43, 115474432, 80847844, 94625764, 13777920, 54536960, 232343, 322, 1990733045716
44, 167968768, 79706484, 99869828, 20163344, 79706268, 196099492, 737467613, 1990704084398
45, 167968768, 79715428, 99878772, 20163344, 79706268, 224123, 322, 1990703889229
46, 167968768, 84959492, 105122836, 20163344, 79706268, 196099492, 322, 1990697621704
47, 167968768, 84968516, 105131860, 20163344, 79706268, 225123, 322, 1990697426737
48, 167968768, 90212580, 110375924, 20163344, 79706268, 196099492, 322, 1990691159305
49, 167968768, 90221676, 110385020, 20163344, 79706268, 226525, 322, 1990690964295
50, 167968768, 95465740, 115629084, 20163344, 79706268, 196099492, 322, 1990684696770
51, 167968768, 95474764, 115638108, 20163344, 79706268, 225658, 322, 1990684501787
52, 167968768, 100718828, 120882172, 20163344, 79706268, 196099492, 322, 1990678234416
53, 167968768, 100727420, 120890764, 20163344, 79706268, 221236, 322, 1990678039569
54, 167968768, 105971484, 126134828, 20163344, 79706268, 196099492, 322, 1990671772105
55, 167968768, 105980148, 126143492, 20163344, 79706268, 221885, 322, 1990671577238
56, 167968768, 111224212, 131387556, 20163344, 79706268, 196099492, 322, 1990665309867
57, 167968768, 111232876, 131396220, 20163344, 79706268, 222741, 322, 1990665114974
58, 167968768, 116476940, 136640284, 20163344, 79706268, 196099492, 322, 1990658847572
59, 167968768, 116485668, 136649012, 20163344, 79706268, 222980, 322, 1990658652579
60, 237174784, 113262860, 141893076, 28630216, 113262644, 196099492, 1047891078, 1990620139123
61, 237174784, 113271672, 141901888, 28630216, 113262644, 224713, 322, 1990619943936
62, 237174784, 118515736, 147145952, 28630216, 113262644, 196099492, 322, 1990613676442
63, 237174784, 118524412, 147154628, 28630216, 113262644, 222813, 322, 1990613481546
64, 237174784, 123768476, 152398692, 28630216, 113262644, 196099492, 322, 1990607214083
65, 237174784, 123777224, 152407440, 28630216, 113262644, 223782, 322, 1990607019157
66, 237174784, 129021288, 157651504, 28630216, 113262644, 196099492, 322, 1990600751786
67, 237174784, 129030420, 157660636, 28630216, 113262644, 229423, 322, 1990600556687
68, 237174784, 134274484, 162904700, 28630216, 113262644, 196099492, 322, 1990594289285
69, 237174784, 134283688, 162913904, 28630216, 113262644, 230063, 322, 1990594094135
70, 237174784, 139527752, 168157968, 28630216, 113262644, 196099492, 322, 1990587826733
71, 237174784, 139536644, 168166860, 28630216, 113262644, 225058, 322, 1990587631768
72, 237174784, 139537844, 168168060, 28630216, 113262644, 17280, 322, 1990587397758
73, 237174784, 139554336, 168184552, 28630216, 113262644, 283495, 322, 1990587200981
74, 237174784, 139555900, 168186116, 28630216, 113262644, 23742, 322, 1990586966706
75, 237174784, 139572112, 168202328, 28630216, 113262644, 437754, 322, 1990586765213
76, 237174784, 144816216, 173446432, 28630216, 113262644, 196099492, 322, 1990580497770
77, 237174784, 144825212, 173455428, 28630216, 113262644, 225207, 322, 1990580302801
78, 237174784, 150069276, 178699492, 28630216, 113262644, 196099492, 322, 1990574035337
79, 237174784, 150078156, 178708372, 28630216, 113262644, 224785, 322, 1990573840380
80, 237174784, 155322220, 183952436, 28630216, 113262644, 196099492, 322, 1990567572978
81, 237174784, 155331164, 183961380, 28630216, 113262644, 225395, 322, 1990567378003
82, 237174784, 160575228, 189205444, 28630216, 113262644, 196099492, 322, 1990561110570
83, 237174784, 160584008, 189214224, 28630216, 113262644, 223210, 322, 1990560915662
84, 237174784, 165828072, 194458288, 28630216, 113262644, 196099492, 322, 1990554648291
85, 237174784, 165836932, 194467148, 28630216, 113262644, 223879, 322, 1990554453362
86, 332660736, 159404924, 199711212, 40306288, 159404708, 196099492, 1474768718, 1990502769564
87, 332660736, 159414260, 199720548, 40306288, 159404708, 229992, 322, 1990502574064
88, 332660736, 164658328, 204964616, 40306288, 159404708, 196099492, 322, 1990496306492
89, 332660736, 164667664, 204973952, 40306288, 159404708, 230693, 322, 1990496111246
90, 332660736, 169911732, 210218020, 40306288, 159404708, 196099492, 322, 1990489843705
91, 332660736, 169920584, 210226872, 40306288, 159404708, 224391, 322, 1990489648684
92, 332660736, 175164652, 215470940, 40306288, 159404708, 196099492, 322, 1990483381143
93, 332660736, 175173576, 215479864, 40306288, 159404708, 225436, 322, 1990483186059
94, 332660736, 180417644, 220723932, 40306288, 159404708, 196099492, 322, 1990476918549
95, 332660736, 180426648, 220732936, 40306288, 159404708, 225741, 322, 1990476723486
96, 332660736, 185670716, 225977004, 40306288, 159404708, 196099492, 322, 1990470456037
97, 332660736, 185679804, 225986092, 40306288, 159404708, 227169, 322, 1990470260868
98, 332660736, 190923872, 231230160, 40306288, 159404708, 196099492, 322, 1990463993419
99, 332660736, 190932816, 231239104, 40306288, 159404708, 225632, 322, 1990463798359
100, 332660736, 196176884, 236483172, 40306288, 159404708, 196099492, 322, 1990457530910
101, 332660736, 196185748, 236492036, 40306288, 159404708, 224923, 322, 1990457335779
102, 332660736, 201429816, 241736104, 40306288, 159404708, 196099492, 322, 1990451068299
103, 332660736, 201438536, 241744824, 40306288, 159404708, 223533, 322, 1990450873304
104, 332660736, 206682604, 246988892, 40306288, 159404708, 196099492, 322, 1990444605855
105, 332660736, 206691396, 246997684, 40306288, 159404708, 223795, 322, 1990444410852
106, 332660736, 211935464, 252241752, 40306288, 159404708, 196099492, 322, 1990438143342
107, 332660736, 211944264, 252250552, 40306288, 159404708, 223978, 322, 1990437948333
108, 332660736, 211945468, 252251756, 40306288, 159404708, 17280, 322, 1990437714275
109, 332660736, 211962036, 252268324, 40306288, 159404708, 286943, 322, 1990437517344
110, 332660736, 211963604, 252269892, 40306288, 159404708, 23742, 322, 1990437282961
111, 332660736, 211979844, 252286132, 40306288, 159404708, 439078, 322, 1990437081349
112, 332660736, 217223952, 257530240, 40306288, 159404708, 196099492, 322, 1990430813828
113, 332660736, 217232956, 257539244, 40306288, 159404708, 225873, 322, 1990430618761
114, 332660736, 222477024, 262783312, 40306288, 159404708, 196099492, 322, 1990424351312
115, 332660736, 222486092, 262792380, 40306288, 159404708, 226459, 322, 1990424156134
116, 332660736, 227730160, 268036448, 40306288, 159404708, 196099492, 322, 1990417888685
117, 332660736, 227739012, 268045300, 40306288, 159404708, 224585, 322, 1990417693658
118, 332660736, 232983080, 273289368, 40306288, 159404708, 196099492, 322, 1990411426209
119, 332660736, 232992004, 273298292, 40306288, 159404708, 225204, 322, 1990411231023
120, 332660736, 238236072, 278542360, 40306288, 159404708, 196099492, 322, 1990404963435
121, 332660736, 238245004, 278551292, 40306288, 159404708, 225036, 322, 1990404768316
122, 472186880, 226519712, 283795360, 57275648, 226519496, 196099492, 2095661519, 1990333963980
123, 472186880, 226528788, 283804436, 57275648, 226519496, 225501, 322, 1990333768479
124, 472186880, 231772856, 289048504, 57275648, 226519496, 196099492, 322, 1990327500861
125, 472186880, 231781924, 289057572, 57275648, 226519496, 226524, 322, 1990327305696
126, 472186880, 237025992, 294301640, 57275648, 226519496, 196099492, 322, 1990321038047
127, 472186880, 237034988, 294310636, 57275648, 226519496, 226360, 322, 1990320842794
128, 472186880, 242279056, 299554704, 57275648, 226519496, 196099492, 322, 1990314575176
129, 472186880, 242288444, 299564092, 57275648, 226519496, 231577, 322, 1990314379856
130, 472186880, 247532512, 304808160, 57275648, 226519496, 196099492, 322, 1990308112269
131, 472186880, 247541588, 304817236, 57275648, 226519496, 227038, 322, 1990307916995
132, 472186880, 252785656, 310061304, 57275648, 226519496, 196099492, 322, 1990301649408
133, 472186880, 252795200, 310070848, 57275648, 226519496, 233365, 322, 1990301454032
134, 472186880, 258039268, 315314916, 57275648, 226519496, 196099492, 322, 1990295186475
135, 472186880, 258048348, 315323996, 57275648, 226519496, 227684, 322, 1990294991274
136, 472186880, 263292416, 320568064, 57275648, 226519496, 196099492, 322, 1990288723748
137, 472186880, 263301576, 320577224, 57275648, 226519496, 228333, 322, 1990288528527
138, 472186880, 268545644, 325821292, 57275648, 226519496, 196099492, 322, 1990282260970
139, 472186880, 268554876, 325830524, 57275648, 226519496, 228572, 322, 1990282065664
140, 472186880, 273798944, 331074592, 57275648, 226519496, 196099492, 322, 1990275798029
141, 472186880, 273808024, 331083672, 57275648, 226519496, 227377, 322, 1990275602760
142, 472186880, 279052092, 336327740, 57275648, 226519496, 196099492, 322, 1990269335063
143, 472186880, 279061252, 336336900, 57275648, 226519496, 228508, 322, 1990269139759
144, 472186880, 279062456, 336338104, 57275648, 226519496, 17280, 322, 1990268905546
145, 472186880, 279079304, 336354952, 57275648, 226519496, 292636, 322, 1990268708285
146, 472186880, 279080872, 336356520, 57275648, 226519496, 23742, 322, 1990268473746
147, 472186880, 279097368, 336373016, 57275648, 226519496, 443322, 322, 1990268271849
148, 472186880, 284341476, 341617124, 57275648, 226519496, 196099492, 322, 1990262004142
149, 472186880, 284351132, 341626780, 57275648, 226519496, 234103, 322, 1990261808666
150, 472186880, 289595200, 346870848, 57275648, 226519496, 196099492, 322, 1990255540969
151, 472186880, 289605220, 346880868, 57275648, 226519496, 239110, 322, 1990255345339
152, 472186880, 294849288, 352124936, 57275648, 226519496, 196099492, 322, 1990249077704
153, 472186880, 294859380, 352135028, 57275648, 226519496, 239857, 322, 1990248881958
154, 472186880, 300103448, 357379096, 57275648, 226519496, 196099492, 322, 1990242614354
155, 472186880, 300112876, 357388524, 57275648, 226519496, 230408, 322, 1990242418992
156, 472186880, 305356944, 362632592, 57275648, 226519496, 196099492, 322, 1990236151295
157, 472186880, 305366380, 362642028, 57275648, 226519496, 230570, 322, 1990235955928
158, 472186880, 310610448, 367886096, 57275648, 226519496, 196099492, 322, 1990229688324
159, 472186880, 310620332, 367895980, 57275648, 226519496, 236438, 322, 1990229492745
160, 472186880, 315864400, 373140048, 57275648, 226519496, 196099492, 322, 1990223225141
161, 472186880, 315874140, 373149788, 57275648, 226519496, 235212, 322, 1990223029631
162, 472186880, 321118208, 378393856, 57275648, 226519496, 196099492, 322, 1990216761934
163, 472186880, 321126832, 378402480, 57275648, 226519496, 221293, 322, 1990216566852
164, 472186880, 326370900, 383646548, 57275648, 226519496, 196099492, 322, 1990210299248
165, 472186880, 326379596, 383655244, 57275648, 226519496, 221408, 322, 1990210104162
166, 472186880, 331623664, 388899312, 57275648, 226519496, 196099492, 322, 1990203836497
167, 472186880, 331632432, 388908080, 57275648, 226519496, 221710, 322, 1990203641371
168, 472186880, 336876500, 394152148, 57275648, 226519496, 196099492, 322, 1990197373767
169, 472186880, 336885404, 394161052, 57275648, 226519496, 225112, 322, 1990197178567
170, 663158784, 318802260, 399405120, 80602860, 318802044, 196099492, 2949382500, 1990100058944
171, 663158784, 318811300, 399414160, 80602860, 318802044, 225520, 322, 1990099863317
172, 663158784, 324055368, 404658228, 80602860, 318802044, 196099492, 322, 1990093595512
173, 663158784, 324064756, 404667616, 80602860, 318802044, 233300, 322, 1990093399984
174, 663158784, 329308824, 409911684, 80602860, 318802044, 196099492, 322, 1990087132210
175, 663158784, 329317940, 409920800, 80602860, 318802044, 229044, 322, 1990086936720
176, 663158784, 334562008, 415164868, 80602860, 318802044, 196099492, 322, 1990080668915
177, 663158784, 334570856, 415173716, 80602860, 318802044, 224979, 322, 1990080473643
178, 663158784, 339814924, 420417784, 80602860, 318802044, 196099492, 322, 1990074205869
179, 663158784, 339823700, 420426560, 80602860, 318802044, 223762, 322, 1990074010634
180, 663158784, 339824904, 420427764, 80602860, 318802044, 17280, 322, 1990073776281
181, 663158784, 339841328, 420444188, 80602860, 318802044, 291031, 322, 1990073578992
182, 663158784, 339842896, 420445756, 80602860, 318802044, 23742, 322, 1990073344406
183, 663158784, 339859048, 420461908, 80602860, 318802044, 440983, 322, 1990073142503
184, 663158784, 345103156, 425706016, 80602860, 318802044, 196099492, 322, 1990066874688
185, 663158784, 345112044, 425714904, 80602860, 318802044, 224631, 322, 1990066679334
186, 663158784, 350356112, 430958972, 80602860, 318802044, 196099492, 322, 1990060411591
187, 663158784, 350365072, 430967932, 80602860, 318802044, 225472, 322, 1990060216303
188, 663158784, 355609140, 436212000, 80602860, 318802044, 196099492, 322, 1990053948590
189, 663158784, 355618172, 436221032, 80602860, 318802044, 226173, 322, 1990053753219
190, 663158784, 360862240, 441465100, 80602860, 318802044, 196099492, 322, 1990047485506
191, 663158784, 360871676, 441474536, 80602860, 318802044, 232005, 322, 1990047290017
192, 663158784, 366115744, 446718604, 80602860, 318802044, 196099492, 322, 1990041022335
193, 663158784, 366124876, 446727736, 80602860, 318802044, 227647, 322, 1990040826888
194, 663158784, 371368944, 451971804, 80602860, 318802044, 196099492, 322, 1990034559206
195, 663158784, 371378148, 451981008, 80602860, 318802044, 227645, 322, 1990034363851
196, 663158784, 376622216, 457225076, 80602860, 318802044, 196099492, 322, 1990028096108
197, 663158784, 376631484, 457234344, 80602860, 318802044, 227689, 322, 1990027900721
