Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 2228224, 14632, 14632, 0, 0, 21705, 359, 1990891550995
1, 2228224, 30676, 30676, 0, 0, 273868, 359, 1990891355368
2, 2228224, 32232, 32232, 0, 0, 24171, 359, 1990891121525
3, 2228224, 47996, 47996, 0, 0, 430457, 359, 1990890920862
4, 7471104, 5292092, 5292092, 0, 0, 196100703, 359, 1990884653795
5, 7471104, 5300572, 5300572, 0, 0, 218024, 359, 1990884459466
6, 13107200, 8405256, 10552832, 2147576, 8396840, 196100703, 159093158, 1990873296600
7, 13107200, 8413816, 10561392, 2147576, 8396840, 220119, 359, 1990873101488
8, 15859712, 13657880, 15805456, 2147576, 8396840, 196100438, 359, 1990866833784
9, 15859712, 13666288, 15813864, 2147576, 8396840, 218875, 359, 1990866638959
10, 21430272, 16794756, 21066128, 4271372, 16786340, 196100793, 158782161, 1990855485404
11, 21430272, 16803236, 21074608, 4271372, 16786340, 220194, 359, 1990855290290
12, 24248320, 22047300, 26318672, 4271372, 16786340, 196100438, 359, 1990849022586
13, 24248320, 22055788, 26327160, 4271372, 16786340, 220576, 359, 1990848827647
14, 29818880, 25184224, 31579424, 6395200, 25175808, 196100793, 158781418, 1990837674023
15, 29818880, 25192776, 31587976, 6395200, 25175808, 221668, 359, 1990837478863
16, 32636928, 30436840, 36832040, 6395200, 25175808, 196100438, 359, 1990831211159
17, 32636928, 30445248, 36840448, 6395200, 25175808, 220486, 359, 1990831016284
18, 38207488, 33573724, 42092712, 8518988, 33565308, 196100793, 158782280, 1990819862726
19, 38207488, 33590332, 42109320, 8518988, 33574032, 221197, 359, 1990813832128
20, 41025536, 38834396, 47353384, 8518988, 33574032, 196100438, 359, 1990807564116
21, 41025536, 38843260, 47362248, 8518988, 33574032, 226853, 359, 1990807369046
22, 46596096, 41972188, 52614512, 10642324, 41963772, 196100793, 158794434, 1990796215083
23, 46596096, 41980800, 52623124, 10642324, 41963772, 222489, 359, 1990796019898
24, 49414144, 47224864, 57867188, 10642324, 41963772, 196100438, 359, 1990789752225
25, 49414144, 47233408, 57875732, 10642324, 41963772, 222269, 359, 1990789557296
26, 54984704, 50361736, 63127996, 12766260, 50353320, 196100793, 158784368, 1990778403674
27, 54984704, 50370360, 63136620, 12766260, 50353320, 223362, 359, 1990778208462
28, 57802752, 55614424, 68380684, 12766260, 50353320, 196100438, 359, 1990771940758
29, 57802752, 55623112, 68389372, 12766260, 50353320, 224004, 359, 1990771745684
30, 63373312, 58751328, 73641636, 14890308, 58742912, 196100793, 158786410, 1990760591999
31, 63373312, 58760088, 73650396, 14890308, 58742912, 224972, 359, 1990760396738
32, 66191360, 64004152, 78894460, 14890308, 58742912, 196100438, 359, 1990754128973
33, 66191360, 64012984, 78903292, 14890308, 58742912, 225758, 359, 1990753933936
34, 71761920, 67141000, 84155556, 17014556, 67132584, 196100793, 158789367, 1990742780098
35, 71761920, 67149912, 84164468, 17014556, 67132584, 226844, 359, 1990742584779
36, 71761920, 67151112, 84165668, 17014556, 67132584, 17835, 359, 1990742350632
37, 71761920, 67167892, 84182448, 17014556, 67132584, 287562, 359, 1990742153649
38, 71761920, 67169456, 84184012, 17014556, 67132584, 24335, 359, 1990741919175
39, 71761920, 67185908, 84200464, 17014556, 67132584, 439714, 359, 1990741717479
40, 74645504, 72430012, 89444568, 17014556, 67132584, 196100438, 359, 1990735449703
41, 74645504, 72439512, 89454068, 17014556, 67132584, 232661, 359, 1990735254454
42, 80216064, 75533432, 94706332, 19172900, 75525016, 196100793, 158915268, 1990724096527
43, 80216064, 75551204, 94724104, 19172900, 75533740, 233918, 359, 1990710776194
44, 82968576, 80795268, 99968168, 19172900, 75533740, 196100438, 359, 1990704508058
45, 83034112, 80804212, 99977112, 19172900, 75533740, 225395, 359, 1990704313032
46, 88604672, 83932432, 105229376, 21296944, 83924016, 196100793, 158815157, 1990693158431
47, 88604672, 83941456, 105238400, 21296944, 83924016, 226420, 359, 1990692963125
48, 91357184, 89185520, 110482464, 21296944, 83924016, 196100438, 359, 1990686695391
49, 91422720, 89194616, 110491560, 21296944, 83924016, 227876, 359, 1990686500258
50, 96993280, 92322280, 115743824, 23421544, 92313864, 196100793, 158796447, 1990675346264
51, 96993280, 92331304, 115752848, 23421544, 92313864, 226955, 359, 1990675150911
52, 99745792, 97575368, 120996912, 23421544, 92313864, 196100438, 359, 1990668883207
53, 99811328, 97583960, 121005504, 23421544, 92313864, 222807, 359, 1990668688261
54, 105381888, 100712128, 126257768, 25545640, 100703712, 196100793, 158796339, 1990657534239
55, 105381888, 100720792, 126266432, 25545640, 100703712, 223723, 359, 1990657339016
56, 108134400, 105964856, 131510496, 25545640, 100703712, 196100438, 359, 1990651071343
57, 108199936, 105973520, 131519160, 25545640, 100703712, 224633, 359, 1990650876341
58, 113770496, 109101776, 136771424, 27669648, 109093360, 196100793, 158788121, 1990639722603
59, 113770496, 109110504, 136780152, 27669648, 109093360, 224704, 359, 1990639527350
60, 116523008, 114354568, 142024216, 27669648, 109093360, 196100438, 359, 1990633259646
61, 116588544, 114363380, 142033028, 27669648, 109093360, 226096, 359, 1990633064599
62, 122159104, 117491400, 147285292, 29793892, 117482984, 196100793, 158787356, 1990621910793
63, 122159104, 117500076, 147293968, 29793892, 117482984, 224221, 359, 1990621715555
64, 124977152, 122744140, 152538032, 29793892, 117482984, 196100867, 359, 1990615447838
65, 124977152, 122752888, 152546780, 29793892, 117482984, 224889, 359, 1990615252797
66, 130547712, 125881072, 157799044, 31917972, 125872656, 196100793, 158789871, 1990604099005
67, 130547712, 125890204, 157808176, 31917972, 125872656, 231015, 359, 1990603903465
68, 133365760, 131134268, 163052240, 31917972, 125872656, 196100438, 359, 1990597635792
69, 133365760, 131143472, 163061444, 31917972, 125872656, 231112, 359, 1990597440591
70, 138936320, 134271432, 168313708, 34042276, 134263016, 196100793, 158822305, 1990586285770
71, 138936320, 134280324, 168322600, 34042276, 134263016, 226439, 359, 1990586090464
72, 138936320, 134281524, 168323800, 34042276, 134263016, 17835, 359, 1990585856317
73, 138936320, 134298016, 168340292, 34042276, 134263016, 287951, 359, 1990585659322
74, 138936320, 134299580, 168341856, 34042276, 134263016, 24261, 359, 1990585424851
75, 138936320, 134315792, 168358068, 34042276, 134263016, 438855, 359, 1990585223212
76, 141754368, 139559896, 173602172, 34042276, 134263016, 196100438, 359, 1990578955436
77, 141754368, 139568892, 173611168, 34042276, 134263016, 226208, 359, 1990578760385
78, 147324928, 142663568, 178863432, 36199864, 142655152, 196100793, 158901047, 1990567602865
79, 147324928, 142672448, 178872312, 36199864, 142655152, 226166, 359, 1990567407567
80, 150142976, 147916512, 184116376, 36199864, 142655152, 196100438, 359, 1990561139863
81, 150142976, 147925456, 184125320, 36199864, 142655152, 226457, 359, 1990560944805
82, 155713536, 151053328, 189377584, 38324256, 151044912, 196100793, 158792386, 1990549790967
83, 155713536, 151062108, 189386364, 38324256, 151044912, 224553, 359, 1990549595719
84, 158531584, 156306172, 194630428, 38324256, 151044912, 196100438, 359, 1990543328046
85, 158531584, 156315032, 194639288, 38324256, 151044912, 225070, 359, 1990543132908
86, 164102144, 159443088, 199891552, 40448464, 159434672, 196100793, 158793149, 1990531978984
87, 166658048, 159460552, 199909016, 40448464, 159443396, 231367, 359, 1990504081351
88, 166920192, 164704616, 205153080, 40448464, 159443396, 196100438, 359, 1990497812569
89, 166920192, 164713952, 205162416, 40448464, 159443396, 231767, 359, 1990497617347
90, 172490752, 167842256, 210414680, 42572424, 167833840, 196100793, 158825584, 1990486462395
91, 172490752, 167851108, 210423532, 42572424, 167833840, 225616, 359, 1990486267114
92, 175308800, 173095172, 215667596, 42572424, 167833840, 196100438, 359, 1990479999410
93, 175308800, 173104096, 215676520, 42572424, 167833840, 226321, 359, 1990479804356
94, 180879360, 176232048, 220928784, 44696736, 176223632, 196100793, 158793943, 1990468633484
95, 180879360, 176241052, 220937788, 44696736, 176223632, 227229, 359, 1990468438153
96, 183697408, 181485116, 226181852, 44696736, 176223632, 196100438, 359, 1990462170419
97, 183697408, 181494204, 226190940, 44696736, 176223632, 228334, 359, 1990461975303
98, 189267968, 184621836, 231443204, 46821368, 184613420, 196100793, 158794131, 1990450821349
99, 189267968, 184630780, 231452148, 46821368, 184613420, 227098, 359, 1990450625930
100, 192086016, 189874844, 236696212, 46821368, 184613420, 196100438, 359, 1990444358257
101, 192086016, 189883708, 236705076, 46821368, 184613420, 226009, 359, 1990444163212
102, 197656576, 193011692, 241957340, 48945648, 193003276, 196100793, 158796774, 1990433009177
103, 197656576, 193020412, 241966060, 48945648, 193003276, 224788, 359, 1990432813921
104, 200474624, 198264476, 247210124, 48945648, 193003276, 196100438, 359, 1990426546217
105, 200474624, 198273268, 247218916, 48945648, 193003276, 224790, 359, 1990426351210
106, 206045184, 201401428, 252471180, 51069752, 201393012, 196100793, 158791757, 1990415197360
107, 206045184, 201410228, 252479980, 51069752, 201393012, 225353, 359, 1990415002087
108, 206045184, 201411428, 252481180, 51069752, 201393012, 17835, 359, 1990414767940
109, 206045184, 201427992, 252497744, 51069752, 201393012, 291428, 359, 1990414570776
110, 206045184, 201429556, 252499308, 51069752, 201393012, 24261, 359, 1990414336244
111, 206045184, 201445792, 252515544, 51069752, 201393012, 441438, 359, 1990414134526
112, 208863232, 206689896, 257759648, 51069752, 201393012, 196100438, 359, 1990407866750
113, 208928768, 206698900, 257768652, 51069752, 201393012, 227302, 359, 1990407671666
114, 214499328, 209793552, 263020916, 53227364, 209785136, 196100793, 158900514, 1990396514193
115, 214499328, 209802620, 263029984, 53227364, 209785136, 227750, 359, 1990396318846
116, 217251840, 215046684, 268274048, 53227364, 209785136, 196100438, 359, 1990390051142
117, 217251840, 215055536, 268282900, 53227364, 209785136, 225629, 359, 1990389856078
118, 222822400, 218183464, 273535164, 55351700, 218175048, 196100793, 158798553, 1990378701988
119, 222822400, 218192388, 273544088, 55351700, 218175048, 226514, 359, 1990378506603
120, 225640448, 223436456, 278788156, 55351700, 218175048, 196100438, 359, 1990372238821
121, 225640448, 223445388, 278797088, 55351700, 218175048, 226194, 359, 1990372043663
122, 231211008, 226573304, 284049356, 57476052, 226564888, 196100793, 158796251, 1990360889597
123, 231211008, 226582308, 284058360, 57476052, 226564888, 227138, 359, 1990360694099
124, 234029056, 231826376, 289302428, 57476052, 226564888, 196100438, 359, 1990354426348
125, 234029056, 231835444, 289311496, 57476052, 226564888, 227781, 359, 1990354231172
126, 239599616, 234963176, 294563764, 59600588, 234954760, 196100793, 158797178, 1990343077047
127, 239599616, 234972172, 294572760, 59600588, 234954760, 227883, 359, 1990342881619
128, 242417664, 240216240, 299816828, 59600588, 234954760, 196100438, 359, 1990336613837
129, 242417664, 240225628, 299826216, 59600588, 234954760, 232984, 359, 1990336418439
130, 247988224, 243353380, 305078484, 61725104, 243344964, 196100793, 158813018, 1990325263826
131, 247988224, 243362456, 305087560, 61725104, 243344964, 228645, 359, 1990325068375
132, 250806272, 248606524, 310331628, 61725104, 243344964, 196100438, 359, 1990318800532
133, 250806272, 248616068, 310341172, 61725104, 243344964, 234572, 359, 1990318605147
134, 256376832, 251743500, 315593440, 63849940, 251735084, 196100793, 158809558, 1990307450610
135, 256376832, 251752580, 315602520, 63849940, 251735084, 229042, 359, 1990307255116
136, 259194880, 256996648, 320846588, 63849940, 251735084, 196100438, 359, 1990300987334
137, 259194880, 257005808, 320855748, 63849940, 251735084, 229539, 359, 1990300792073
138, 264765440, 260133444, 326108016, 65974572, 260125028, 196100793, 158800477, 1990289637846
139, 264765440, 260142676, 326117248, 65974572, 260125028, 230066, 359, 1990289442351
140, 267583488, 265386744, 331361316, 65974572, 260125028, 196100438, 359, 1990283174569
141, 267583488, 265395824, 331370396, 65974572, 260125028, 228409, 359, 1990282979281
142, 273154048, 268523460, 336622664, 68099204, 268515044, 196100793, 158802950, 1990271825009
143, 273154048, 268532624, 336631828, 68099204, 268515044, 229920, 359, 1990271629285
144, 273154048, 268533828, 336633032, 68099204, 268515044, 17835, 359, 1990271394735
145, 273154048, 268550676, 336649880, 68099204, 268515044, 297044, 359, 1990271197150
146, 273154048, 268552244, 336651448, 68099204, 268515044, 24261, 359, 1990270962400
147, 273154048, 268568692, 336667896, 68099204, 268515044, 445181, 359, 1990270760257
148, 276037632, 273812800, 341912004, 68099204, 268515044, 196100438, 359, 1990264492171
149, 276037632, 273822460, 341921664, 68099204, 268515044, 235250, 359, 1990264296501
150, 281608192, 276916104, 347173932, 70257828, 276907688, 196100793, 158923677, 1990253137974
151, 281608192, 276926128, 347183956, 70257828, 276907688, 240540, 359, 1990252941892
152, 284360704, 282170196, 352428024, 70257828, 276907688, 196100438, 359, 1990246673878
153, 284360704, 282180292, 352438120, 70257828, 276907688, 240976, 359, 1990246478063
154, 289931264, 285306856, 357690388, 72383532, 285298440, 196100793, 158837245, 1990235322349
155, 289931264, 285316288, 357699820, 72383532, 285298440, 231721, 359, 1990235126569
156, 292749312, 290560356, 362943888, 72383532, 285298440, 196100438, 359, 1990228858586
157, 292749312, 290569796, 362953328, 72383532, 285298440, 231731, 359, 1990228662994
158, 298319872, 293696976, 368205596, 74508620, 293688560, 196100793, 158806725, 1990217508374
159, 298319872, 293706864, 368215484, 74508620, 293688560, 237533, 359, 1990217312415
160, 301137920, 298950932, 373459552, 74508620, 293688560, 196100438, 359, 1990211044370
161, 301137920, 298960676, 373469296, 74508620, 293688560, 236041, 359, 1990210848707
162, 306708480, 302087776, 378721564, 76633788, 302079360, 196100793, 158838873, 1990199693036
163, 306708480, 302096404, 378730192, 76633788, 302079360, 222575, 359, 1990199497537
164, 309526528, 307340472, 383974260, 76633788, 302079360, 196100438, 359, 1990193229523
165, 309526528, 307349172, 383982960, 76633788, 302079360, 222389, 359, 1990193034280
166, 315097088, 310477488, 389235228, 78757740, 310469072, 196100793, 158790789, 1990181851076
167, 315097088, 310486276, 389244016, 78757740, 310469072, 223190, 359, 1990181655559
168, 317915136, 315730344, 394488084, 78757740, 310469072, 196100438, 359, 1990175387545
169, 317915136, 315739252, 394496992, 78757740, 310469072, 226238, 359, 1990175192183
170, 323485696, 318867220, 399749260, 80882040, 318858804, 196100793, 158792209, 1990164037947
171, 323485696, 318876192, 399758232, 80882040, 318858804, 227035, 359, 1990163842311
172, 326303744, 324120260, 405002300, 80882040, 318858804, 196100438, 359, 1990157574297
173, 326303744, 324129648, 405011688, 80882040, 318858804, 234621, 359, 1990157378678
174, 331874304, 327257468, 410263956, 83006488, 327249052, 196100793, 158815047, 1990146223771
175, 339673088, 327274784, 410281272, 83006488, 327257780, 230791, 359, 1990089170962
176, 339673088, 332518852, 415525340, 83006488, 327257780, 196100083, 359, 1990082901881
177, 339673088, 332527700, 415534188, 83006488, 327257780, 226310, 359, 1990082706517
178, 340328448, 335656320, 420786456, 85130136, 335647904, 196100438, 158809843, 1990071550612
179, 340328448, 335665096, 420795232, 85130136, 335647904, 225359, 359, 1990071355028
180, 340328448, 335666300, 420796436, 85130136, 335647904, 17835, 359, 1990071120540
181, 340328448, 335682724, 420812860, 85130136, 335647904, 295852, 359, 1990070922961
182, 340328448, 335684292, 420814428, 85130136, 335647904, 24261, 359, 1990070688180
183, 340328448, 335700396, 420830532, 85130136, 335647904, 443419, 359, 1990070486060
184, 343146496, 340944504, 426074640, 85130136, 335647904, 196100438, 359, 1990064217974
185, 343146496, 340953392, 426083528, 85130136, 335647904, 225820, 359, 1990064022625
186, 348717056, 344048512, 431335796, 87287284, 344040096, 196100793, 158903271, 1990052864757
187, 348717056, 344057472, 431344756, 87287284, 344040096, 227002, 359, 1990052669122
188, 351469568, 349301540, 436588824, 87287284, 344040096, 196100438, 359, 1990046401108
189, 351535104, 349310572, 436597856, 87287284, 344040096, 227437, 359, 1990046205606
190, 357105664, 352438448, 441850124, 89411676, 352430032, 196100793, 158799813, 1990035051198
191, 357105664, 352447884, 441859560, 89411676, 352430032, 233719, 359, 1990034855326
192, 359923712, 357691952, 447103628, 89411676, 352430032, 196100438, 359, 1990028587312
193, 359923712, 357701084, 447112760, 89411676, 352430032, 228977, 359, 1990028391835
194, 365494272, 360828724, 452365028, 91536304, 360820308, 196100793, 158816060, 1990017236866
195, 365494272, 360837928, 452374232, 91536304, 360820308, 229144, 359, 1990017041166
