Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 33554432, 2179756, 2179756, 0, 0, 24028, 325, 1990886151013
1, 33554432, 2198688, 2198688, 0, 0, 331078, 325, 1990885953073
2, 33554432, 2200528, 2200528, 0, 0, 26604, 325, 1990885718812
3, 33554432, 2218584, 2218584, 0, 0, 470923, 325, 1990885516569
4, 33554432, 7462956, 7462956, 0, 0, 197150989, 325, 1990879216931
5, 33554432, 7472732, 7472732, 0, 0, 236177, 325, 1990879021802
6, 33554432, 12717064, 12717064, 0, 0, 197150989, 325, 1990872722242
7, 33554432, 12726928, 12726928, 0, 0, 238020, 325, 1990872527118
8, 33554432, 17971260, 17971260, 0, 0, 197150989, 325, 1990866227527
9, 33554432, 17980936, 17980936, 0, 0, 236304, 325, 1990866032487
10, 33554432, 23225268, 23225268, 0, 0, 197150989, 325, 1990859732896
11, 33554432, 23235032, 23235032, 0, 0, 237696, 325, 1990859537813
12, 33554432, 28479364, 28479364, 0, 0, 197150989, 325, 1990853238253
13, 33554432, 28489140, 28489140, 0, 0, 238289, 325, 1990853043059
14, 100663296, 33737576, 33737576, 0, 0, 197151495, 61933704, 1990844837411
15, 100663296, 54729656, 33747432, 0, 0, 263507, 73769008, 1990837752131
16, 100663296, 32607784, 38991764, 6383980, 25191664, 197150989, 325, 1990830846667
17, 100663296, 32617468, 39001448, 6383980, 25191664, 237877, 325, 1990830651112
18, 100663296, 37861804, 44245784, 6383980, 25191664, 197151171, 396, 1990824350616
19, 100663296, 37871488, 44255468, 6383980, 25191664, 238287, 396, 1990824155042
20, 100663296, 43115824, 49499804, 6383980, 25191664, 197150989, 396, 1990817854822
21, 100663296, 43126076, 49510056, 6383980, 25191664, 246972, 396, 1990817658981
22, 100663296, 48370412, 54754392, 6383980, 25191664, 197150989, 396, 1990811358761
23, 100663296, 48380348, 54764328, 6383980, 25191664, 240589, 396, 1990811163085
24, 100663296, 53624684, 60008664, 6383980, 25191664, 197150989, 396, 1990804862895
25, 100663296, 53634536, 60018516, 6383980, 25191664, 240368, 396, 1990804667226
26, 100663296, 58878872, 65262852, 6383980, 25191664, 197150989, 396, 1990798367067
27, 100663296, 58888824, 65272804, 6383980, 25191664, 241501, 396, 1990798171394
28, 100663296, 64133160, 70517140, 6383980, 25191664, 197150989, 396, 1990791871143
29, 100663296, 64143188, 70527168, 6383980, 25191664, 243086, 396, 1990791675421
30, 100663296, 69387524, 75771504, 6383980, 25191664, 197151205, 396, 1990785374794
31, 100663296, 69397640, 75781620, 6383980, 25191664, 244185, 396, 1990785179038
32, 100663296, 74641976, 81025956, 6383980, 25191664, 197150989, 396, 1990778879002
33, 100663296, 74652180, 81036160, 6383980, 25191664, 245663, 396, 1990778683139
34, 134217728, 79900620, 86284600, 6383980, 25191664, 197150989, 57640993, 1990770609116
35, 134217728, 79910924, 86294904, 6383980, 25191664, 293645, 70565957, 1990763902142
36, 167772160, 105080152, 86296372, 6383980, 25191664, 24102, 73805842, 1990754713055
37, 167772160, 74622912, 86316204, 11693292, 72450516, 439927, 45962798, 1990748561874
38, 167772160, 74624760, 86318052, 11693292, 72450516, 26604, 396, 1990748327013
39, 167772160, 74643784, 86337076, 11693292, 72450516, 485490, 396, 1990748123818
40, 167772160, 79888160, 91581452, 11693292, 72450516, 197150989, 396, 1990741823705
41, 167772160, 79899192, 91592484, 11693292, 72450516, 256525, 396, 1990741627539
42, 167772160, 85143528, 96836820, 11693292, 72450516, 197150989, 396, 1990735327503
43, 167772160, 85154648, 96847940, 11693292, 72450516, 257884, 396, 1990735131295
44, 167772160, 90398984, 102092276, 11693292, 72450516, 197150989, 396, 1990728831259
45, 167772160, 90409324, 102102616, 11693292, 72450516, 245672, 396, 1990728635427
46, 167772160, 95653660, 107346952, 11693292, 72450516, 197150989, 396, 1990722335391
47, 167772160, 95664100, 107357392, 11693292, 72450516, 247046, 396, 1990722139517
48, 167772160, 100908436, 112601728, 11693292, 72450516, 197151171, 396, 1990715839476
49, 167772160, 100918964, 112612256, 11693292, 72450516, 248903, 396, 1990715643544
50, 167772160, 106163300, 117856592, 11693292, 72450516, 197150989, 396, 1990709343478
51, 167772160, 106173740, 117867032, 11693292, 72450516, 247617, 396, 1990709147617
52, 167772160, 111418076, 123111368, 11693292, 72450516, 197150989, 396, 1990702847428
53, 167772160, 111427988, 123121280, 11693292, 72450516, 240773, 396, 1990702651777
54, 167772160, 116672324, 128365616, 11693292, 72450516, 197150989, 396, 1990696351711
55, 167772160, 116682324, 128375616, 11693292, 72450516, 242158, 396, 1990696155987
56, 167772160, 121926660, 133619952, 11693292, 72450516, 197150989, 396, 1990689855951
57, 167772160, 121936660, 133629952, 11693292, 72450516, 243077, 396, 1990689660168
58, 167772160, 127180996, 138874288, 11693292, 72450516, 197150989, 396, 1990683360132
59, 167772160, 127191072, 138884364, 11693292, 72450516, 243591, 396, 1990683164364
60, 167772160, 132435408, 144128700, 11693292, 72450516, 197151222, 396, 1990676863244
61, 167772160, 132445588, 144138880, 11693292, 72450516, 245496, 396, 1990676667448
62, 167772160, 137689924, 149383216, 11693292, 72450516, 197150989, 396, 1990670367412
63, 167772160, 137699940, 149393232, 11693292, 72450516, 242839, 396, 1990670171636
64, 167772160, 142944276, 154637568, 11693292, 72450516, 197150989, 396, 1990663871600
65, 167772160, 142954380, 154647672, 11693292, 72450516, 244167, 396, 1990663675814
66, 167772160, 148198716, 159892008, 11693292, 72450516, 197150989, 396, 1990657375778
67, 167772160, 148209300, 159902592, 11693292, 72450516, 252240, 396, 1990657179744
68, 167772160, 153453636, 165146928, 11693292, 72450516, 197150989, 396, 1990650879708
69, 167772160, 153464308, 165157600, 11693292, 72450516, 253280, 396, 1990650683642
70, 167772160, 158708644, 170401936, 11693292, 72450516, 197150989, 396, 1990644383606
71, 167772160, 158718924, 170412216, 11693292, 72450516, 246301, 396, 1990644187754
72, 167772160, 158720388, 170413680, 11693292, 72450516, 20051, 396, 1990643953317
