Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 2228224, 6392, 6392, 0, 0, 21062, 200
1, 2228224, 22328, 22328, 0, 0, 255763, 200
2, 2228224, 23760, 23760, 0, 0, 23193, 200
3, 2228224, 39352, 39352, 0, 0, 407334, 200
4, 7471104, 5283324, 5283324, 0, 0, 155205862, 200
5, 7471104, 5291672, 5291672, 0, 0, 211965, 200
6, 12713984, 10535608, 10535608, 0, 0, 155205862, 200
7, 12713984, 10544028, 10544028, 0, 0, 213075, 200
8, 17956864, 15787964, 15787964, 0, 0, 155205862, 200
9, 18022400, 15796248, 15796248, 0, 0, 212825, 200
10, 23265280, 21040184, 21040184, 0, 0, 155205862, 200
11, 23265280, 21048532, 21048532, 0, 0, 213216, 200
12, 28508160, 26292468, 26292468, 0, 0, 155205862, 200
13, 28508160, 26300824, 26300824, 0, 0, 213661, 200
14, 33751040, 31544760, 31544760, 0, 0, 155205862, 200
15, 33751040, 31553180, 31553180, 0, 0, 214420, 200
16, 38993920, 36797116, 36797116, 0, 0, 155205862, 200
17, 38993920, 36805400, 36805400, 0, 0, 213729, 200
18, 44236800, 42049336, 42049336, 0, 0, 155205862, 200
19, 44236800, 42057612, 42057612, 0, 0, 214023, 200
20, 49479680, 47301548, 47301548, 0, 0, 155205862, 200
21, 49479680, 47310288, 47310288, 0, 0, 218480, 200
22, 54722560, 52554224, 52554224, 0, 0, 155205862, 200
23, 54788096, 52562704, 52562704, 0, 0, 215210, 200
24, 60030976, 57806640, 57806640, 0, 0, 155205862, 200
25, 60030976, 57815052, 57815052, 0, 0, 215009, 200
26, 65273856, 63058988, 63058988, 0, 0, 155205862, 200
27, 65273856, 63067480, 63067480, 0, 0, 215521, 200
28, 70516736, 68311416, 68311416, 0, 0, 155205862, 200
29, 70516736, 68319980, 68319980, 0, 0, 216357, 200
30, 75759616, 73563916, 73563916, 0, 0, 155205862, 200
31, 75759616, 73572552, 73572552, 0, 0, 216907, 200
32, 81002496, 78816488, 78816488, 0, 0, 155205862, 200
33, 81002496, 78825196, 78825196, 0, 0, 217841, 200
34, 86245376, 84069132, 84069132, 0, 0, 155205862, 200
35, 86245376, 84077904, 84077904, 0, 0, 218372, 200
36, 86245376, 84078976, 84078976, 0, 0, 17114, 200
37, 86310912, 84095620, 84095620, 0, 0, 265638, 200
38, 86310912, 84097056, 84097056, 0, 0, 23193, 200
39, 86310912, 84113428, 84113428, 0, 0, 414541, 200
40, 91553792, 89357404, 89357404, 0, 0, 155205862, 200
41, 91553792, 89366772, 89366772, 0, 0, 222899, 200
42, 96796672, 94610708, 94610708, 0, 0, 155205862, 200
43, 96796672, 94620148, 94620148, 0, 0, 223660, 200
44, 102039552, 99864084, 99864084, 0, 0, 155205862, 200
45, 102039552, 99872896, 99872896, 0, 0, 217279, 200
46, 107347968, 105116832, 105116832, 0, 0, 155206292, 200
47, 107347968, 105125724, 105125724, 0, 0, 218078, 200
48, 112590848, 110369660, 110369660, 0, 0, 155205862, 200
49, 112590848, 110378624, 110378624, 0, 0, 219201, 200
50, 117833728, 115622560, 115622560, 0, 0, 155205862, 200
51, 117833728, 115631444, 115631444, 0, 0, 218494, 200
52, 123076608, 120875380, 120875380, 0, 0, 155205862, 200
53, 123076608, 120883840, 120883840, 0, 0, 215042, 200
54, 128319488, 126127776, 126127776, 0, 0, 155205862, 200
55, 128319488, 126136300, 126136300, 0, 0, 215764, 200
56, 133562368, 131380236, 131380236, 0, 0, 155205862, 200
57, 133562368, 131388760, 131388760, 0, 0, 216461, 200
58, 138805248, 136632696, 136632696, 0, 0, 155205862, 200
