Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 2621440, 178492, 178492, 0, 0, 93388, 322, 2890062545654
1, 2621440, 181756, 181756, 0, 0, 16883, 322, 2890062005603
2, 2621440, 184940, 184940, 0, 0, 16883, 322, 2890061465620
3, 2621440, 188124, 188124, 0, 0, 16883, 322, 2890060925546
4, 2621440, 191308, 191308, 0, 0, 16883, 322, 2890060385503
5, 2621440, 194492, 194492, 0, 0, 16883, 322, 2890059845460
6, 2621440, 197676, 197676, 0, 0, 16883, 322, 2890059305417
7, 2621440, 200860, 200860, 0, 0, 16883, 322, 2890058765312
8, 2686976, 204044, 204044, 0, 0, 16883, 322, 2890058225223
9, 2686976, 207228, 207228, 0, 0, 16883, 322, 2890057685210
10, 2686976, 210412, 210412, 0, 0, 16883, 322, 2890057145105
11, 2686976, 213596, 213596, 0, 0, 16883, 322, 2890056605091
12, 2686976, 216780, 216780, 0, 0, 16883, 322, 2890056064987
13, 2686976, 219964, 219964, 0, 0, 16904, 322, 2890055524866
14, 2686976, 223148, 223148, 0, 0, 16904, 322, 2890054984746
15, 2686976, 226332, 226332, 0, 0, 16904, 322, 2890054444626
16, 2686976, 229516, 229516, 0, 0, 16904, 322, 2890053904443
17, 2686976, 232700, 232700, 0, 0, 16904, 322, 2890053364292
18, 2686976, 235884, 235884, 0, 0, 16904, 322, 2890052824202
19, 2686976, 239068, 239068, 0, 0, 16904, 322, 2890052284020
20, 2686976, 242252, 242252, 0, 0, 16904, 322, 2890051743929
21, 2686976, 245436, 245436, 0, 0, 16904, 322, 2890051203747
22, 2686976, 248620, 248620, 0, 0, 16904, 322, 2890050663626
23, 2686976, 251804, 251804, 0, 0, 16904, 322, 2890050123506
24, 2686976, 254988, 254988, 0, 0, 16904, 322, 2890049583386
25, 2686976, 258172, 258172, 0, 0, 16904, 322, 2890049043203
26, 2686976, 261356, 261356, 0, 0, 16904, 322, 2890048503052
27, 2686976, 264540, 264540, 0, 0, 16904, 322, 2890047962962
28, 2686976, 267724, 267724, 0, 0, 16904, 322, 2890047422780
29, 2752512, 270908, 270908, 0, 0, 16904, 322, 2890046882676
30, 2752512, 274092, 274092, 0, 0, 16904, 322, 2890046342494
31, 2752512, 277276, 277276, 0, 0, 16904, 322, 2890045802373
32, 2752512, 280460, 280460, 0, 0, 16904, 322, 2890045262253
33, 2752512, 283644, 283644, 0, 0, 16904, 322, 2890044722133
34, 2752512, 286828, 286828, 0, 0, 16904, 322, 2890044181950
35, 2752512, 290012, 290012, 0, 0, 16904, 322, 2890043641799
36, 2752512, 293196, 293196, 0, 0, 16904, 322, 2890043101709
37, 2752512, 296380, 296380, 0, 0, 16904, 322, 2890042561527
38, 2752512, 299564, 299564, 0, 0, 16904, 322, 2890042021436
39, 2752512, 302748, 302748, 0, 0, 16904, 322, 2890041481254
40, 2752512, 305932, 305932, 0, 0, 16904, 322, 2890040941133
41, 2752512, 309116, 309116, 0, 0, 16904, 322, 2890040401013
42, 2752512, 312300, 312300, 0, 0, 16904, 322, 2890039860893
43, 2752512, 315484, 315484, 0, 0, 16904, 322, 2890039320710
44, 2752512, 318668, 318668, 0, 0, 16904, 322, 2890038780559
45, 2752512, 321852, 321852, 0, 0, 16904, 322, 2890038240469
46, 2752512, 325036, 325036, 0, 0, 16904, 322, 2890037700287
47, 2752512, 328220, 328220, 0, 0, 16904, 322, 2890037160165
48, 2752512, 331404, 331404, 0, 0, 16904, 322, 2890036619983
49, 2818048, 334588, 334588, 0, 0, 17333, 322, 2890036079849
50, 2818048, 337772, 337772, 0, 0, 16904, 322, 2890035539729
51, 2818048, 340956, 340956, 0, 0, 16904, 322, 2890034999609
52, 2818048, 344140, 344140, 0, 0, 16904, 322, 2890034459426
53, 2818048, 347324, 347324, 0, 0, 16904, 322, 2890033919275
54, 2818048, 350508, 350508, 0, 0, 16904, 322, 2890033379185
55, 2818048, 353692, 353692, 0, 0, 16904, 322, 2890032839003
56, 2818048, 356876, 356876, 0, 0, 16904, 322, 2890032298820
57, 2818048, 360060, 360060, 0, 0, 16904, 322, 2890031758638
58, 2818048, 363244, 363244, 0, 0, 16904, 322, 2890031218517
59, 2818048, 366428, 366428, 0, 0, 16904, 322, 2890030678397
60, 2818048, 369612, 369612, 0, 0, 16904, 322, 2890030138307
61, 2818048, 372796, 372796, 0, 0, 16904, 322, 2890029598124
62, 2818048, 375980, 375980, 0, 0, 16904, 322, 2890029057973
63, 2818048, 379164, 379164, 0, 0, 16904, 322, 2890028517883
64, 2818048, 382348, 382348, 0, 0, 16904, 322, 2890027977701
65, 2818048, 385532, 385532, 0, 0, 16904, 322, 2890027437518
66, 2818048, 388716, 388716, 0, 0, 16904, 322, 2890026897336
67, 2818048, 391900, 391900, 0, 0, 16904, 322, 2890026357215
68, 2818048, 395084, 395084, 0, 0, 16904, 322, 2890025817095
69, 2818048, 398268, 398268, 0, 0, 16904, 322, 2890025277005
70, 2883584, 401452, 401452, 0, 0, 16904, 322, 2890024736811
71, 2883584, 404636, 404636, 0, 0, 16904, 322, 2890024196660
72, 2883584, 407820, 407820, 0, 0, 16904, 322, 2890023656570
73, 2883584, 411004, 411004, 0, 0, 16904, 322, 2890023116388
74, 2883584, 414188, 414188, 0, 0, 16904, 322, 2890022576205
75, 2883584, 417372, 417372, 0, 0, 16904, 322, 2890022036023
76, 2883584, 420556, 420556, 0, 0, 16904, 322, 2890021495902
77, 2883584, 423740, 423740, 0, 0, 16904, 322, 2890020955782
78, 2883584, 426924, 426924, 0, 0, 16904, 322, 2890020415692
79, 2883584, 430108, 430108, 0, 0, 16904, 322, 2890019875509
80, 2883584, 433292, 433292, 0, 0, 16904, 322, 2890019335358
81, 2883584, 436476, 436476, 0, 0, 16904, 322, 2890018795268
82, 2883584, 439660, 439660, 0, 0, 16904, 322, 2890018255086
83, 2883584, 442844, 442844, 0, 0, 16904, 322, 2890017714903
84, 2883584, 446028, 446028, 0, 0, 16904, 322, 2890017174721
85, 2883584, 449212, 449212, 0, 0, 16904, 322, 2890016634600
86, 2883584, 452396, 452396, 0, 0, 16904, 322, 2890016094480
87, 2883584, 455580, 455580, 0, 0, 16904, 322, 2890015554390
88, 2883584, 458764, 458764, 0, 0, 16904, 322, 2890015014207
89, 2883584, 461948, 461948, 0, 0, 16904, 322, 2890014474056
90, 2883584, 465132, 465132, 0, 0, 16904, 322, 2890013933966
91, 2949120, 468316, 468316, 0, 0, 16904, 322, 2890013393771
92, 2949120, 471500, 471500, 0, 0, 16904, 322, 2890012853588
93, 2949120, 474684, 474684, 0, 0, 16904, 322, 2890012313406
94, 2949120, 477868, 477868, 0, 0, 16904, 322, 2890011773285
95, 2949120, 481052, 481052, 0, 0, 16904, 322, 2890011233165
96, 2949120, 484236, 484236, 0, 0, 16904, 322, 2890010693075
97, 2949120, 487420, 487420, 0, 0, 16904, 322, 2890010152892
98, 2949120, 490604, 490604, 0, 0, 16904, 322, 2890009612741
99, 2949120, 493788, 493788, 0, 0, 16904, 322, 2890009072651
100, 2949120, 496972, 496972, 0, 0, 16904, 322, 2890008532469
101, 2949120, 500156, 500156, 0, 0, 16904, 322, 2890007992286
