Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 2621440, 176576, 176576, 0, 0, 93388, 322, 2890063553268
1, 2621440, 179840, 179840, 0, 0, 16883, 322, 2890063013219
2, 2621440, 183024, 183024, 0, 0, 16883, 322, 2890062473206
3, 2621440, 186208, 186208, 0, 0, 16883, 322, 2890061933163
4, 2621440, 189392, 189392, 0, 0, 16883, 322, 2890061393150
5, 2621440, 192576, 192576, 0, 0, 16883, 322, 2890060853045
6, 2621440, 195760, 195760, 0, 0, 16883, 322, 2890060312972
7, 2621440, 198944, 198944, 0, 0, 16883, 322, 2890059772959
8, 2621440, 202128, 202128, 0, 0, 16883, 322, 2890059232854
9, 2686976, 205312, 205312, 0, 0, 16883, 322, 2890058692738
10, 2686976, 208496, 208496, 0, 0, 16883, 322, 2890058152634
11, 2686976, 211680, 211680, 0, 0, 16883, 322, 2890057612591
12, 2686976, 214864, 214864, 0, 0, 16883, 322, 2890057072548
13, 2686976, 218048, 218048, 0, 0, 16904, 322, 2890056532458
14, 2686976, 221232, 221232, 0, 0, 16904, 322, 2890055992275
15, 2686976, 224416, 224416, 0, 0, 16904, 322, 2890055452124
16, 2686976, 227600, 227600, 0, 0, 16904, 322, 2890054912034
17, 2686976, 230784, 230784, 0, 0, 16904, 322, 2890054371852
18, 2686976, 233968, 233968, 0, 0, 16904, 322, 2890053831669
19, 2686976, 237152, 237152, 0, 0, 16904, 322, 2890053291487
20, 2686976, 240336, 240336, 0, 0, 16904, 322, 2890052751366
21, 2686976, 243520, 243520, 0, 0, 16904, 322, 2890052211246
22, 2686976, 246704, 246704, 0, 0, 16904, 322, 2890051671156
23, 2686976, 249888, 249888, 0, 0, 16904, 322, 2890051130973
24, 2686976, 253072, 253072, 0, 0, 16904, 322, 2890050590822
25, 2686976, 256256, 256256, 0, 0, 16904, 322, 2890050050732
26, 2686976, 259440, 259440, 0, 0, 16904, 322, 2890049510550
27, 2686976, 262624, 262624, 0, 0, 16904, 322, 2890048970367
28, 2686976, 265808, 265808, 0, 0, 16904, 322, 2890048430185
29, 2752512, 268992, 268992, 0, 0, 17333, 322, 2890047890051
30, 2752512, 272176, 272176, 0, 0, 16904, 322, 2890047349931
31, 2752512, 275360, 275360, 0, 0, 16904, 322, 2890046809841
32, 2752512, 278544, 278544, 0, 0, 16904, 322, 2890046269658
33, 2752512, 281728, 281728, 0, 0, 16904, 322, 2890045729507
34, 2752512, 284912, 284912, 0, 0, 16904, 322, 2890045189417
35, 2752512, 288096, 288096, 0, 0, 16904, 322, 2890044649235
36, 2752512, 291280, 291280, 0, 0, 16904, 322, 2890044109052
37, 2752512, 294464, 294464, 0, 0, 16904, 322, 2890043568870
38, 2752512, 297648, 297648, 0, 0, 16904, 322, 2890043028749
39, 2752512, 300832, 300832, 0, 0, 16904, 322, 2890042488629
40, 2752512, 304016, 304016, 0, 0, 16904, 322, 2890041948539
41, 2752512, 307200, 307200, 0, 0, 16904, 322, 2890041408356
42, 2752512, 310384, 310384, 0, 0, 16904, 322, 2890040868205
43, 2752512, 313568, 313568, 0, 0, 16904, 322, 2890040328115
44, 2752512, 316752, 316752, 0, 0, 16904, 322, 2890039787933
45, 2752512, 319936, 319936, 0, 0, 16904, 322, 2890039247750
46, 2752512, 323120, 323120, 0, 0, 16904, 322, 2890038707568
47, 2752512, 326304, 326304, 0, 0, 16904, 322, 2890038167447
48, 2752512, 329488, 329488, 0, 0, 16904, 322, 2890037627327
49, 2752512, 332672, 332672, 0, 0, 16904, 322, 2890037087237
50, 2818048, 335856, 335856, 0, 0, 16904, 322, 2890036547041
51, 2818048, 339040, 339040, 0, 0, 16904, 322, 2890036006890
52, 2818048, 342224, 342224, 0, 0, 16904, 322, 2890035466800
53, 2818048, 345408, 345408, 0, 0, 16904, 322, 2890034926618
54, 2818048, 348592, 348592, 0, 0, 16904, 322, 2890034386435
55, 2818048, 351776, 351776, 0, 0, 16904, 322, 2890033846253
56, 2818048, 354960, 354960, 0, 0, 16904, 322, 2890033306132
57, 2818048, 358144, 358144, 0, 0, 16904, 322, 2890032766012
58, 2818048, 361328, 361328, 0, 0, 16904, 322, 2890032225922
59, 2818048, 364512, 364512, 0, 0, 16904, 322, 2890031685709
60, 2818048, 367696, 367696, 0, 0, 16904, 322, 2890031145558
61, 2818048, 370880, 370880, 0, 0, 16904, 322, 2890030605468
62, 2818048, 374064, 374064, 0, 0, 16904, 322, 2890030065286
63, 2818048, 377248, 377248, 0, 0, 16904, 322, 2890029525103
64, 2818048, 380432, 380432, 0, 0, 16904, 322, 2890028984921
65, 2818048, 383616, 383616, 0, 0, 16904, 322, 2890028444800
66, 2818048, 386800, 386800, 0, 0, 16904, 322, 2890027904680
67, 2818048, 389984, 389984, 0, 0, 16904, 322, 2890027364590
68, 2818048, 393168, 393168, 0, 0, 16904, 322, 2890026824377
69, 2818048, 396352, 396352, 0, 0, 16904, 322, 2890026284226
70, 2818048, 399536, 399536, 0, 0, 16904, 322, 2890025744136
71, 2883584, 402720, 402720, 0, 0, 16904, 322, 2890025203943
72, 2883584, 405904, 405904, 0, 0, 16904, 322, 2890024663760
73, 2883584, 409088, 409088, 0, 0, 16904, 322, 2890024123578
74, 2883584, 412272, 412272, 0, 0, 16904, 322, 2890023583457
75, 2883584, 415456, 415456, 0, 0, 16904, 322, 2890023043337
76, 2883584, 418640, 418640, 0, 0, 16904, 322, 2890022503247
77, 2883584, 421824, 421824, 0, 0, 16904, 322, 2890021963065
78, 2883584, 425008, 425008, 0, 0, 16904, 322, 2890021422914
79, 2883584, 428192, 428192, 0, 0, 16904, 322, 2890020882824
80, 2883584, 431376, 431376, 0, 0, 16904, 322, 2890020342642
81, 2883584, 434560, 434560, 0, 0, 16904, 322, 2890019802459
82, 2883584, 437744, 437744, 0, 0, 16904, 322, 2890019262277
83, 2883584, 440928, 440928, 0, 0, 16904, 322, 2890018722156
84, 2883584, 444112, 444112, 0, 0, 16904, 322, 2890018182036
85, 2883584, 447296, 447296, 0, 0, 16904, 322, 2890017641946
86, 2883584, 450480, 450480, 0, 0, 16904, 322, 2890017101764
87, 2883584, 453664, 453664, 0, 0, 16904, 322, 2890016561613
88, 2883584, 456848, 456848, 0, 0, 16904, 322, 2890016021523
89, 2883584, 460032, 460032, 0, 0, 16904, 322, 2890015481341
90, 2883584, 463216, 463216, 0, 0, 16904, 322, 2890014941158
91, 2949120, 466400, 466400, 0, 0, 16904, 322, 2890014400996
92, 2949120, 469584, 469584, 0, 0, 16904, 322, 2890013860875
93, 2949120, 472768, 472768, 0, 0, 16904, 322, 2890013320755
94, 2949120, 475952, 475952, 0, 0, 16904, 322, 2890012780665
95, 2949120, 479136, 479136, 0, 0, 16904, 322, 2890012240483
96, 2949120, 482320, 482320, 0, 0, 16904, 322, 2890011700332
97, 2949120, 485504, 485504, 0, 0, 16904, 322, 2890011160242
98, 2949120, 488688, 488688, 0, 0, 16904, 322, 2890010620060
99, 2949120, 491872, 491872, 0, 0, 16904, 322, 2890010079877
100, 2949120, 495056, 495056, 0, 0, 16904, 322, 2890009539726
101, 2949120, 498240, 498240, 0, 0, 16904, 322, 2890008999605
102, 2949120, 501424, 501424, 0, 0, 16904, 322, 2890008459485
103, 2949120, 504608, 504608, 0, 0, 16904, 322, 2890007919395
104, 2949120, 507792, 507792, 0, 0, 16904, 322, 2890007379213
105, 2949120, 510976, 510976, 0, 0, 16904, 322, 2890006839062
