Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 2621440, 193440, 193440, 0, 0, 93879, 359, 2890059236488
1, 2621440, 196704, 196704, 0, 0, 17348, 359, 2890058696268
2, 2621440, 199888, 199888, 0, 0, 17348, 359, 2890058155967
3, 2686976, 203072, 203072, 0, 0, 17348, 359, 2890057615621
4, 2686976, 206256, 206256, 0, 0, 17348, 359, 2890057075288
5, 2686976, 209440, 209440, 0, 0, 17348, 359, 2890056535017
6, 2686976, 212624, 212624, 0, 0, 17348, 359, 2890055994746
7, 2686976, 215808, 215808, 0, 0, 17348, 359, 2890055454506
8, 2686976, 218992, 218992, 0, 0, 17348, 359, 2890054914173
9, 2686976, 222176, 222176, 0, 0, 17348, 359, 2890054373871
10, 2686976, 225360, 225360, 0, 0, 17348, 359, 2890053833631
11, 2686976, 228544, 228544, 0, 0, 17348, 359, 2890053293299
12, 2686976, 231728, 231728, 0, 0, 17348, 359, 2890052752967
13, 2686976, 234912, 234912, 0, 0, 17369, 359, 2890052212588
14, 2686976, 238096, 238096, 0, 0, 17369, 359, 2890051672240
15, 2686976, 241280, 241280, 0, 0, 17369, 359, 2890051131891
16, 2686976, 244464, 244464, 0, 0, 17369, 359, 2890050591573
17, 2686976, 247648, 247648, 0, 0, 17369, 359, 2890050050315
18, 2686976, 250832, 250832, 0, 0, 17369, 359, 2890049509936
19, 2686976, 254016, 254016, 0, 0, 17369, 359, 2890048969618
20, 2686976, 257200, 257200, 0, 0, 17369, 359, 2890048429208
21, 2686976, 260384, 260384, 0, 0, 17369, 359, 2890047888799
22, 2686976, 263568, 263568, 0, 0, 17369, 359, 2890047348420
23, 2752512, 266752, 266752, 0, 0, 17798, 359, 2890046808058
24, 2752512, 269936, 269936, 0, 0, 17369, 359, 2890046267709
25, 2752512, 273120, 273120, 0, 0, 17369, 359, 2890045727391
26, 2752512, 276304, 276304, 0, 0, 17369, 359, 2890045186981
27, 2752512, 279488, 279488, 0, 0, 17369, 359, 2890044646602
28, 2752512, 282672, 282672, 0, 0, 17369, 359, 2890044106284
29, 2752512, 285856, 285856, 0, 0, 17369, 359, 2890043565874
30, 2752512, 289040, 289040, 0, 0, 17369, 359, 2890043025465
31, 2752512, 292224, 292224, 0, 0, 17369, 359, 2890042485086
32, 2752512, 295408, 295408, 0, 0, 17369, 359, 2890041944738
33, 2752512, 298592, 298592, 0, 0, 17369, 359, 2890041404389
34, 2752512, 301776, 301776, 0, 0, 17369, 359, 2890040864071
35, 2752512, 304960, 304960, 0, 0, 17369, 359, 2890040323661
36, 2752512, 308144, 308144, 0, 0, 17369, 359, 2890039783282
37, 2752512, 311328, 311328, 0, 0, 17369, 359, 2890039242964
38, 2752512, 314512, 314512, 0, 0, 17369, 359, 2890038702554
39, 2752512, 317696, 317696, 0, 0, 17369, 359, 2890038162145
40, 2752512, 320880, 320880, 0, 0, 17369, 359, 2890037621766
41, 2752512, 324064, 324064, 0, 0, 17369, 359, 2890037081418
42, 2752512, 327248, 327248, 0, 0, 17369, 359, 2890036541069
43, 2752512, 330432, 330432, 0, 0, 17369, 359, 2890036000751
44, 2818048, 333616, 333616, 0, 0, 17369, 359, 2890035460328
45, 2818048, 336800, 336800, 0, 0, 17369, 359, 2890034919949
46, 2818048, 339984, 339984, 0, 0, 17369, 359, 2890034379631
47, 2818048, 343168, 343168, 0, 0, 17369, 359, 2890033839221
48, 2818048, 346352, 346352, 0, 0, 17369, 359, 2890033298812
49, 2818048, 349536, 349536, 0, 0, 17369, 359, 2890032758433
50, 2818048, 352720, 352720, 0, 0, 17369, 359, 2890032218115
51, 2818048, 355904, 355904, 0, 0, 17369, 359, 2890031677736
52, 2818048, 359088, 359088, 0, 0, 17369, 359, 2890031137418
53, 2818048, 362272, 362272, 0, 0, 17369, 359, 2890030597008
54, 2818048, 365456, 365456, 0, 0, 17369, 359, 2890030056660
55, 2818048, 368640, 368640, 0, 0, 17369, 359, 2890029516342
56, 2818048, 371824, 371824, 0, 0, 17369, 359, 2890028975932
57, 2818048, 375008, 375008, 0, 0, 17369, 359, 2890028435523
58, 2818048, 378192, 378192, 0, 0, 17369, 359, 2890027895144
59, 2818048, 381376, 381376, 0, 0, 17369, 359, 2890027354826
60, 2818048, 384560, 384560, 0, 0, 17369, 359, 2890026814447
61, 2818048, 387744, 387744, 0, 0, 17369, 359, 2890026274129
62, 2818048, 390928, 390928, 0, 0, 17369, 359, 2890025733719
63, 2818048, 394112, 394112, 0, 0, 17369, 359, 2890025193371
64, 2818048, 397296, 397296, 0, 0, 17369, 359, 2890024653053
65, 2883584, 400480, 400480, 0, 0, 17369, 359, 2890024112627
66, 2883584, 403664, 403664, 0, 0, 17369, 359, 2890023572218
67, 2883584, 406848, 406848, 0, 0, 17369, 359, 2890023031839
68, 2883584, 410032, 410032, 0, 0, 17369, 359, 2890022491521
69, 2883584, 413216, 413216, 0, 0, 17369, 359, 2890021951142
70, 2883584, 416400, 416400, 0, 0, 17369, 359, 2890021410824
71, 2883584, 419584, 419584, 0, 0, 17369, 359, 2890020870414
72, 2883584, 422768, 422768, 0, 0, 17369, 359, 2890020330066
73, 2883584, 425952, 425952, 0, 0, 17369, 359, 2890019789748
74, 2883584, 429136, 429136, 0, 0, 17369, 359, 2890019249338
75, 2883584, 432320, 432320, 0, 0, 17369, 359, 2890018708929
76, 2883584, 435504, 435504, 0, 0, 17369, 359, 2890018168550
77, 2883584, 438688, 438688, 0, 0, 17369, 359, 2890017628232
