Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 33554432, 2726416, 2726416, 0, 0, 95594, 325, 2890033333784
1, 33554432, 2730344, 2730344, 0, 0, 19251, 325, 2890032792820
2, 33554432, 2734172, 2734172, 0, 0, 19251, 325, 2890032251850
3, 33554432, 2738000, 2738000, 0, 0, 19251, 325, 2890031710880
4, 33554432, 2741828, 2741828, 0, 0, 19251, 325, 2890031169910
5, 33554432, 2745656, 2745656, 0, 0, 19251, 325, 2890030628971
6, 33554432, 2749484, 2749484, 0, 0, 19251, 325, 2890030088032
7, 33554432, 2753312, 2753312, 0, 0, 19251, 325, 2890029547123
8, 33554432, 2757140, 2757140, 0, 0, 19251, 325, 2890029006214
9, 33554432, 2760968, 2760968, 0, 0, 19251, 325, 2890028465305
10, 33554432, 2764796, 2764796, 0, 0, 19251, 325, 2890027924365
11, 33554432, 2768624, 2768624, 0, 0, 19251, 325, 2890027383394
12, 33554432, 2772452, 2772452, 0, 0, 19251, 325, 2890026842423
13, 33554432, 2776280, 2776280, 0, 0, 19272, 325, 2890026301436
14, 33554432, 2780108, 2780108, 0, 0, 19272, 325, 2890025760480
15, 33554432, 2783936, 2783936, 0, 0, 19272, 325, 2890025219493
16, 33554432, 2787764, 2787764, 0, 0, 19272, 325, 2890024678414
17, 33554432, 2791592, 2791592, 0, 0, 19272, 325, 2890024137335
18, 33554432, 2795420, 2795420, 0, 0, 19272, 325, 2890023596287
19, 33554432, 2799248, 2799248, 0, 0, 19272, 325, 2890023055239
20, 33554432, 2803076, 2803076, 0, 0, 19272, 325, 2890022514222
21, 33554432, 2806904, 2806904, 0, 0, 19272, 325, 2890021973205
22, 33554432, 2810732, 2810732, 0, 0, 19272, 325, 2890021432188
23, 33554432, 2814560, 2814560, 0, 0, 19272, 325, 2890020891201
24, 33554432, 2818388, 2818388, 0, 0, 19272, 325, 2890020350183
25, 33554432, 2822216, 2822216, 0, 0, 19272, 325, 2890019809196
26, 33554432, 2826044, 2826044, 0, 0, 19272, 325, 2890019268147
27, 33554432, 2829872, 2829872, 0, 0, 19272, 325, 2890018727098
28, 33554432, 2833700, 2833700, 0, 0, 19272, 325, 2890018186111
29, 33554432, 2837528, 2837528, 0, 0, 19272, 325, 2890017645155
30, 33554432, 2841356, 2841356, 0, 0, 19272, 325, 2890017104168
31, 33554432, 2845184, 2845184, 0, 0, 19272, 325, 2890016563089
32, 33554432, 2849012, 2849012, 0, 0, 19272, 325, 2890016022010
33, 33554432, 2852840, 2852840, 0, 0, 19272, 325, 2890015480931
34, 33554432, 2856668, 2856668, 0, 0, 19272, 325, 2890014939883
35, 33554432, 2860496, 2860496, 0, 0, 19272, 325, 2890014398835
36, 33554432, 2864324, 2864324, 0, 0, 19272, 325, 2890013857818
37, 33554432, 2868152, 2868152, 0, 0, 19272, 325, 2890013316801
38, 33554432, 2871980, 2871980, 0, 0, 19272, 325, 2890012775814
39, 33554432, 2875808, 2875808, 0, 0, 19272, 325, 2890012234827
40, 33554432, 2879636, 2879636, 0, 0, 19272, 325, 2890011693840
41, 33554432, 2883464, 2883464, 0, 0, 19272, 325, 2890011152791
42, 33554432, 2887292, 2887292, 0, 0, 19272, 325, 2890010611742
