Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 2621440, 175076, 175076, 0, 0, 93378, 200, 2890064383484
1, 2621440, 178340, 178340, 0, 0, 16873, 200, 2890063843559
2, 2621440, 181524, 181524, 0, 0, 16873, 200, 2890063303518
3, 2621440, 184708, 184708, 0, 0, 16873, 200, 2890062763446
4, 2621440, 187892, 187892, 0, 0, 16873, 200, 2890062223405
5, 2621440, 191076, 191076, 0, 0, 16873, 200, 2890061683394
6, 2621440, 194260, 194260, 0, 0, 16873, 200, 2890061143384
7, 2621440, 197444, 197444, 0, 0, 16873, 200, 2890060603404
8, 2621440, 200628, 200628, 0, 0, 16873, 200, 2890060063332
9, 2686976, 203812, 203812, 0, 0, 16873, 200, 2890059523275
10, 2686976, 206996, 206996, 0, 0, 16873, 200, 2890058983295
11, 2686976, 210180, 210180, 0, 0, 16873, 200, 2890058443223
12, 2686976, 213364, 213364, 0, 0, 16873, 200, 2890057903151
13, 2686976, 216548, 216548, 0, 0, 16894, 200, 2890057363032
14, 2686976, 219732, 219732, 0, 0, 16894, 200, 2890056822943
15, 2686976, 222916, 222916, 0, 0, 16894, 200, 2890056282855
16, 2686976, 226100, 226100, 0, 0, 16894, 200, 2890055742797
17, 2686976, 229284, 229284, 0, 0, 16894, 200, 2890055202647
18, 2686976, 232468, 232468, 0, 0, 16894, 200, 2890054662528
19, 2686976, 235652, 235652, 0, 0, 16894, 200, 2890054122470
20, 2686976, 238836, 238836, 0, 0, 16894, 200, 2890053582320
21, 2686976, 242020, 242020, 0, 0, 16894, 200, 2890053042170
22, 2686976, 245204, 245204, 0, 0, 16894, 200, 2890052502051
23, 2686976, 248388, 248388, 0, 0, 16894, 200, 2890051961962
24, 2686976, 251572, 251572, 0, 0, 16894, 200, 2890051421874
25, 2686976, 254756, 254756, 0, 0, 16894, 200, 2890050881816
26, 2686976, 257940, 257940, 0, 0, 16894, 200, 2890050341666
27, 2686976, 261124, 261124, 0, 0, 16894, 200, 2890049801547
28, 2686976, 264308, 264308, 0, 0, 16894, 200, 2890049261489
29, 2686976, 267492, 267492, 0, 0, 16894, 200, 2890048721339
30, 2752512, 270676, 270676, 0, 0, 16894, 200, 2890048181176
31, 2752512, 273860, 273860, 0, 0, 16894, 200, 2890047641057
32, 2752512, 277044, 277044, 0, 0, 16894, 200, 2890047100999
33, 2752512, 280228, 280228, 0, 0, 16894, 200, 2890046560880
34, 2752512, 283412, 283412, 0, 0, 16894, 200, 2890046020822
35, 2752512, 286596, 286596, 0, 0, 16894, 200, 2890045480672
36, 2752512, 289780, 289780, 0, 0, 16894, 200, 2890044940583
37, 2752512, 292964, 292964, 0, 0, 16894, 200, 2890044400525
38, 2752512, 296148, 296148, 0, 0, 16894, 200, 2890043860375
39, 2752512, 299332, 299332, 0, 0, 16894, 200, 2890043320225
40, 2752512, 302516, 302516, 0, 0, 16894, 200, 2890042780106
41, 2752512, 305700, 305700, 0, 0, 16894, 200, 2890042240048
42, 2752512, 308884, 308884, 0, 0, 16894, 200, 2890041699929
43, 2752512, 312068, 312068, 0, 0, 16894, 200, 2890041159871
44, 2752512, 315252, 315252, 0, 0, 16894, 200, 2890040619721
45, 2752512, 318436, 318436, 0, 0, 16894, 200, 2890040079632
46, 2752512, 321620, 321620, 0, 0, 16894, 200, 2890039539574
47, 2752512, 324804, 324804, 0, 0, 16894, 200, 2890038999424
48, 2752512, 327988, 327988, 0, 0, 16894, 200, 2890038459274
49, 2752512, 331172, 331172, 0, 0, 16894, 200, 2890037919155
50, 2818048, 334356, 334356, 0, 0, 16894, 200, 2890037379097
51, 2818048, 337540, 337540, 0, 0, 16894, 200, 2890036838968
52, 2818048, 340724, 340724, 0, 0, 16894, 200, 2890036298910
