Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 80740352, 659452, 82714092, 82054640, 133536, 2312940, 322, 3088413263553
1, 80740352, 660576, 82715216, 82054640, 133536, 13774, 322, 3089966481817
2, 80740352, 659428, 90898716, 90239288, 133536, 2312940, 322, 3088344453695
3, 80740352, 660552, 90899840, 90239288, 133536, 13774, 322, 3089897671959
4, 80740352, 659368, 99082140, 98422772, 133536, 2312940, 322, 3088275650197
5, 80740352, 660492, 99083264, 98422772, 133536, 13774, 322, 3089828868461
6, 80740352, 659332, 107263980, 106604648, 133536, 2312940, 322, 3088206845074
7, 80740352, 660456, 107265104, 106604648, 133536, 13774, 322, 3089760063338
8, 80740352, 659272, 115444140, 114784868, 133536, 2312940, 322, 3088138042725
9, 80740352, 660396, 115445264, 114784868, 133536, 13774, 322, 3089691260989
10, 80740352, 659164, 123624096, 122964932, 133536, 2312940, 322, 3088069240517
11, 80740352, 660288, 123625220, 122964932, 133536, 13774, 322, 3089622458781
12, 80740352, 659056, 131799504, 131140448, 133536, 2312940, 322, 3088000440074
13, 80740352, 660180, 131800628, 131140448, 133536, 13774, 322, 3089553658338
14, 80740352, 658984, 139970868, 139311884, 133536, 2312940, 322, 3087931631635
15, 80740352, 660108, 139971992, 139311884, 133536, 13774, 322, 3089484849899
16, 80740352, 658804, 148138428, 147479624, 133536, 2312940, 322, 3087862833142
17, 80740352, 659928, 148139552, 147479624, 133536, 13774, 322, 3089416051406
18, 80740352, 658504, 156301272, 155642768, 133536, 2312940, 322, 3087794035529
19, 80740352, 659628, 156302396, 155642768, 133536, 13774, 322, 3089347253793

