Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 80740352, 6753868, 82845204, 76091336, 82488, 2313369, 359, 3088408654980
1, 80740352, 6754992, 82846328, 76091336, 82488, 14203, 359, 3089961873123
2, 80740352, 716780, 91252196, 90535416, 182664, 2313655, 359, 3088337910787
3, 80740352, 717904, 91253320, 90535416, 182664, 14489, 359, 3089891128836
4, 80740352, 503444, 99558916, 99055472, 495028, 2313459, 5590580, 3088267450384
5, 80740352, 504572, 99560044, 99055472, 495028, 14489, 359, 3089820668273
6, 80740352, 8800304, 107855776, 99055472, 495028, 2313459, 359, 3088197165462
7, 80740352, 8801428, 107856900, 99055472, 495028, 14293, 359, 3089750383599
8, 80740352, 1127880, 116259248, 115131368, 593764, 2313655, 359, 3088126416034
9, 80740352, 1129004, 116260372, 115131368, 593764, 14489, 359, 3089679634021
10, 80740352, 914436, 124562404, 123647968, 906020, 2313459, 5584578, 3088055957638
11, 80740352, 915580, 124563548, 123647968, 906020, 14489, 359, 3089609175462
12, 80740352, 9204928, 132852896, 123647968, 906020, 2313459, 359, 3087985678212
13, 80740352, 9206052, 132854020, 123647968, 906020, 14293, 359, 3089538896256
14, 80740352, 1538584, 141246516, 139707932, 1004468, 2313655, 359, 3087914933935
15, 80740352, 1539708, 141247640, 139707932, 1004468, 14489, 359, 3089468152015
16, 80740352, 1324900, 149537372, 148212472, 1316484, 2313459, 5569746, 3087844481861
17, 80740352, 1326028, 149538500, 148212472, 1316484, 14489, 359, 3089397699719
18, 80740352, 9602764, 157815236, 148212472, 1316484, 2313459, 359, 3087774207359
19, 80740352, 9603888, 157816360, 148212472, 1316484, 14293, 359, 3089327425465

