Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 134217728, 31016196, 95906112, 64889916, 20748360, 2315121, 325, 3088400516113
1, 134217728, 31017580, 95907496, 64889916, 20748360, 15931, 325, 3089953733902
2, 134217728, 41313084, 106203000, 64889916, 20748360, 2315121, 396, 3088327919251
3, 134217728, 41314468, 106204384, 64889916, 20748360, 15931, 396, 3089881137030
4, 134217728, 51608372, 116498288, 64889916, 20748360, 2315121, 396, 3088255326852
5, 134217728, 51609756, 116499672, 64889916, 20748360, 15931, 396, 3089808544631
6, 134217728, 61901548, 126791464, 64889916, 20748360, 2315121, 396, 3088182733220
7, 134217728, 61902932, 126792848, 64889916, 20748360, 15931, 396, 3089735950999
8, 134217728, 7406840, 137086504, 129679664, 20748360, 2315121, 325, 3088109312769
9, 134217728, 7408224, 137087888, 129679664, 20748360, 15931, 325, 3089662530527
10, 134217728, 17697504, 147377168, 129679664, 20748360, 2315121, 325, 3088036708791
11, 134217728, 17698888, 147378552, 129679664, 20748360, 15931, 325, 3089589926549
12, 134217728, 27982104, 157661768, 129679664, 20748360, 2315121, 325, 3087964121292
13, 134217728, 27983488, 157663152, 129679664, 20748360, 15931, 325, 3089517338988
14, 134217728, 4877016, 167945080, 163068064, 20748360, 2315121, 325, 3087890847240
15, 134217728, 4878400, 167946464, 163068064, 20748360, 15931, 325, 3089444065029
16, 134217728, 15151152, 178219216, 163068064, 20748360, 2315121, 325, 3087818263371
17, 134217728, 15152536, 178220600, 163068064, 20748360, 15931, 325, 3089371481067
18, 134217728, 25419000, 188487064, 163068064, 20748360, 2315121, 325, 3087745681475
19, 134217728, 25420384, 188488448, 163068064, 20748360, 15931, 325, 3089298899233

