Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 84869120, 82714092, 82714092, 0, 0, 2313640, 200, 3088414828511
1, 84869120, 82715212, 82715212, 0, 0, 13764, 200, 3089968047106
2, 93061120, 90898708, 90898708, 0, 0, 2313640, 200, 3088346164489
3, 93061120, 90899828, 90899828, 0, 0, 13764, 200, 3089899383084
4, 101253120, 99082124, 99082124, 0, 0, 2313640, 200, 3088277504500
5, 101253120, 99083244, 99083244, 0, 0, 13764, 200, 3089830723095
6, 109445120, 107263956, 107263956, 0, 0, 2313640, 200, 3088208842878
7, 109445120, 107265076, 107265076, 0, 0, 13764, 200, 3089762061473
8, 117637120, 115444108, 115444108, 0, 0, 2313640, 200, 3088140184038
9, 117637120, 115445228, 115445228, 0, 0, 13764, 200, 3089693402633
10, 125829120, 123624056, 123624056, 0, 0, 2313640, 200, 3088071525174
11, 125829120, 123625176, 123625176, 0, 0, 13764, 200, 3089624743769
12, 133955584, 131799456, 131799456, 0, 0, 2313640, 200, 3088002868002
13, 133955584, 131800576, 131800576, 0, 0, 13764, 200, 3089556086597
14, 142147584, 139970812, 139970812, 0, 0, 2313640, 200, 3087934197217
15, 142147584, 139971932, 139971932, 0, 0, 13764, 200, 3089487415812
16, 150339584, 148138364, 148138364, 0, 0, 2313640, 200, 3087865541740
17, 150339584, 148139484, 148139484, 0, 0, 13764, 200, 3089418760335
18, 158466048, 156301200, 156301200, 0, 0, 2313640, 200, 3087796886859
19, 158466048, 156302320, 156302320, 0, 0, 13764, 200, 3089350105454

