Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 2359296, 198336, 198336, 0, 0, 6856791, 317
1, 2883584, 722212, 722212, 0, 0, 21516148, 317
2, 3735552, 598996, 1522720, 923724, 598780, 34932885, 17542492
3, 4259840, 1090928, 2910364, 1819436, 1090712, 55561647, 29725992
4, 4259840, 1816372, 3635808, 1819436, 1090712, 47174314, 317
5, 6881280, 2292824, 6342148, 4049324, 2292608, 100189598, 62709660
6, 6881280, 3347872, 7397196, 4049324, 2292608, 68828573, 317
7, 6881280, 4402920, 8452244, 4049324, 2292608, 75828514, 317
8, 12451840, 4917668, 13958232, 9040564, 4917452, 186137740, 134820707
9, 12451840, 6466716, 15507280, 9040564, 4917452, 101291373, 317
10, 12451840, 6467748, 15508312, 9040564, 4917452, 14462, 317
11, 12451840, 6664512, 15705076, 9040564, 4917452, 6860320, 317
12, 12451840, 7187608, 16228172, 9040564, 4917452, 21494544, 317
13, 12451840, 7987924, 17028488, 9040564, 4917452, 34923828, 317
14, 12451840, 1090628, 18415836, 17325208, 4917452, 55552076, 31262788
15, 12451840, 1818924, 19144132, 17325208, 4917452, 47240438, 317
16, 12451840, 2292376, 21847176, 19554800, 4917452, 100099514, 62815093
17, 12451840, 3347424, 22902224, 19554800, 4917452, 68828632, 317
18, 12451840, 4406740, 23961540, 19554800, 4917452, 75927751, 317
19, 12451840, 4916996, 29462588, 24545592, 4917452, 185993832, 134978646
20, 12451840, 6466044, 31011636, 24545592, 4917452, 101291373, 317
21, 12451840, 8021492, 32567084, 24545592, 4917452, 108439844, 317
22, 12451840, 6555928, 34116132, 27560204, 6555712, 115291432, 208734989
23, 20512768, 10309928, 45295580, 34985652, 10309712, 345626415, 277231834
24, 20512768, 12599780, 47585432, 34985652, 10309712, 146467891, 317
25, 20512768, 14889628, 49875280, 34985652, 10309712, 153467891, 317
26, 20512768, 12690324, 52174724, 39484400, 12690108, 160690206, 380026200
27, 20512768, 14980172, 54464572, 39484400, 12690108, 167467773, 317
28, 20512768, 17270020, 56754420, 39484400, 12690108, 174467714, 317
29, 44171264, 22097524, 80149468, 58051944, 22097308, 670880638, 586951396
30, 44171264, 25498176, 83550120, 58051944, 22097308, 214219714, 317
31, 44171264, 25499208, 83551152, 58051944, 22097308, 14462, 317
32, 44171264, 25695972, 83747916, 58051944, 22097308, 6860202, 317
33, 44171264, 26219068, 84271012, 58051944, 22097308, 21494544, 317
34, 44171264, 27019384, 85071328, 58051944, 22097308, 34923474, 317
35, 44171264, 28406732, 86458676, 58051944, 22097308, 55552076, 317
36, 44171264, 29135028, 87186972, 58051944, 22097308, 47240556, 317
37, 44171264, 31838076, 89890020, 58051944, 22097308, 100099691, 317
38, 44171264, 32893124, 90945068, 58051944, 22097308, 68828632, 317
39, 44171264, 33952440, 92004384, 58051944, 22097308, 75927633, 317
40, 44171264, 4916996, 97505432, 92588436, 22097308, 185993714, 140019446
41, 44171264, 6466044, 99054480, 92588436, 22097308, 101291373, 317
42, 44171264, 8021492, 100609928, 92588436, 22097308, 108439844, 317
43, 44171264, 6555928, 102158976, 95603048, 22097308, 115291432, 208734989
44, 44171264, 10309928, 113338424, 103028496, 22097308, 345584691, 277231102
45, 44171264, 12599780, 115628276, 103028496, 22097308, 146467891, 317
46, 44171264, 14889628, 117918124, 103028496, 22097308, 153467891, 317
47, 44171264, 12690324, 120217568, 107527244, 22097308, 160690206, 380026200
48, 44171264, 14980172, 122507416, 107527244, 22097308, 167467773, 317
49, 44171264, 17270020, 124797264, 107527244, 22097308, 174467714, 317
50, 44171264, 22097524, 148192312, 126094788, 22097308, 670755832, 586950664
51, 44171264, 25498176, 151592964, 126094788, 22097308, 214219714, 317
52, 44171264, 28898824, 154993612, 126094788, 22097308, 221219714, 317
53, 44171264, 32299472, 158394260, 126094788, 22097308, 228219714, 317
54, 44171264, 26747124, 161794908, 135047784, 26746908, 235219773, 746788820
55, 44171264, 30162164, 165209948, 135047784, 26746908, 242553333, 317
56, 44171264, 33562812, 168610596, 135047784, 26746908, 249219832, 317
57, 44171264, 36963460, 172011244, 135047784, 26746908, 256219832, 317
58, 44171264, 40364108, 175411892, 135047784, 26746908, 263219891, 317
59, 95485952, 48109520, 225460540, 177351020, 48109304, 1351575965, 1267351990
60, 95485952, 53176308, 230527328, 177351020, 48109304, 315830032, 317
61, 95485952, 58242956, 235593976, 177351020, 48109304, 322830091, 317
62, 95485952, 63309604, 240660624, 177351020, 48109304, 329830091, 317
63, 95485952, 68376252, 245727272, 177351020, 48109304, 336829914, 317
64, 95485952, 56697520, 250793920, 194096400, 56697304, 343829914, 1542260509
65, 95485952, 61764240, 255860640, 194096400, 56697304, 350830032, 317
66, 95485952, 66830888, 260927288, 194096400, 56697304, 357830032, 317
67, 95485952, 71919120, 266015520, 194096400, 56697304, 365330246, 317
68, 95485952, 76985768, 271082168, 194096400, 56697304, 371830150, 317
69, 95485952, 82052416, 276148816, 194096400, 56697304, 378829914, 317
70, 95485952, 67010312, 281215464, 214205152, 67010096, 385829914, 2112416514
71, 95485952, 72077032, 286282184, 214205152, 67010096, 392830150, 317

