Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 2359296, 198336, 198336, 0, 0, 9149382, 322, 3090108341841
1, 2883584, 722296, 722296, 0, 0, 28852707, 322, 3090107261385
2, 4325376, 598996, 1522888, 923892, 598780, 46837698, 11283255, 3090105269763
3, 5242880, 1090928, 2910616, 1819688, 1090712, 74833177, 19341591, 3090102161156
4, 5242880, 1816456, 3636144, 1819688, 1090712, 62561441, 322, 3090100036164
5, 8978432, 2292824, 6342568, 4049744, 2292608, 135504225, 39883188, 3090094400784
6, 8978432, 3347956, 7397700, 4049744, 2292608, 91346167, 322, 3090091379137
7, 8978432, 4403088, 8452832, 4049744, 2292608, 100426019, 322, 3090088074788
8, 17039360, 4917668, 13958904, 9041236, 4917452, 252898982, 84303956, 3090077400051
9, 17039360, 6466800, 15508036, 9041236, 4917452, 134499167, 322, 3090073031265
10, 17039360, 6467916, 15509152, 9041236, 4917452, 15314, 322, 3090072842814
11, 17039360, 6664764, 15706000, 9041236, 4917452, 9155435, 322, 3090072371808
12, 17039360, 7187944, 16229180, 9041236, 4917452, 28823997, 322, 3090071291644
13, 17039360, 7988344, 17029580, 9041236, 4917452, 46826633, 322, 3090069652291
14, 17039360, 1090628, 18417012, 17326384, 4917452, 74823305, 19333856, 3090066531086
15, 17039360, 1819008, 19145392, 17326384, 4917452, 62653443, 322, 3090064403077
16, 17039360, 2292376, 21848520, 19556144, 4917452, 135390241, 39866619, 3090058771559
17, 17039360, 3347508, 22903652, 19556144, 4917452, 91346019, 322, 3090055749947
18, 17039360, 4406908, 23963052, 19556144, 4917452, 100563607, 322, 3090052441302
19, 17039360, 4916996, 29464184, 24547188, 4917452, 252723019, 84270760, 3090041773001
20, 17039360, 6466128, 31013316, 24547188, 4917452, 134499167, 322, 3090037404277
21, 17039360, 8021660, 32568848, 24547188, 4917452, 143785277, 322, 3090032746104
22, 18284544, 6555928, 34117980, 27562052, 6555712, 152659167, 126762220, 3090023843876
23, 30212096, 10309928, 45297512, 34987584, 10309712, 471745968, 172240010, 3090003630244
24, 30212096, 12599860, 47587444, 34987584, 10309712, 194665167, 322, 3089997390980
25, 30212096, 14889792, 49877376, 34987584, 10309712, 203745019, 322, 3089990868107
26, 32047104, 12690324, 52176904, 39486580, 12690108, 213134065, 231136584, 3089976794977
27, 32047104, 14980256, 54466836, 39486580, 12690108, 221905019, 322, 3089969707365
28, 32047104, 17270188, 56756768, 39486580, 12690108, 230985167, 322, 3089962336888
29, 64946176, 22097524, 80151900, 58054376, 22097308, 919438416, 362396079, 3089922236472
30, 64946176, 25498260, 83552636, 58054376, 22097308, 284898493, 322, 3089913192043
