Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 2359296, 206536, 206536, 0, 0, 10995119, 359, 3090105904199
1, 2883584, 730496, 730496, 0, 0, 34744670, 359, 3090104642435
2, 3735552, 1531088, 1531088, 0, 0, 56479520, 359, 3090102706645
3, 5111808, 2918812, 2918812, 0, 0, 90042332, 359, 3090099729199
4, 5832704, 3644336, 3644336, 0, 0, 76051009, 359, 3090097180685
5, 8519680, 6350756, 6350756, 0, 0, 162685523, 359, 3090091948371
6, 9568256, 7405880, 7405880, 0, 0, 111039184, 359, 3090088306836
7, 10878976, 3063424, 8469204, 5405780, 3055008, 122259258, 174538970, 3090078927219
8, 11337728, 9177936, 14583716, 5405780, 3055008, 310635637, 359, 3090069112183
9, 12910592, 10727068, 16132848, 5405780, 3055008, 164376825, 359, 3090063813836
10, 12910592, 10728184, 16133964, 5405780, 3055008, 16251, 359, 3090063625368
11, 13107200, 10925032, 16330812, 5405780, 3055008, 11006177, 359, 3090063097366
12, 13893632, 8406944, 16862192, 8455248, 8398528, 34715734, 152221849, 3090057079792
13, 13893632, 9501584, 17956832, 8455248, 8398528, 60015444, 359, 3090055034516
14, 13893632, 10889016, 19344264, 8455248, 8398528, 90264458, 359, 3090052051826
15, 13893632, 11617396, 20072644, 8455248, 8398528, 76376672, 359, 3090049494914
16, 16515072, 14320528, 22775776, 8455248, 8398528, 162800669, 359, 3090044260833
17, 17563648, 15375660, 23830908, 8455248, 8398528, 111260439, 359, 3090040614268
18, 18612224, 16435060, 24890308, 8455248, 8398528, 122642929, 359, 3090036614087
19, 24576000, 13218608, 30399640, 17181032, 13210192, 302886615, 207908737, 3090020613658
20, 24576000, 19293276, 36474308, 17181032, 13210192, 209932883, 359, 3090013885798
21, 27787264, 14316404, 42392400, 28075996, 14307988, 220338655, 93377016, 3090003934344
22, 27787264, 20682752, 48758748, 28075996, 14307988, 237004926, 359, 3089996365360
23, 34734080, 24050200, 60070560, 36020360, 24041784, 570208491, 274977215, 3089969994274
24, 34734080, 30686216, 66706576, 36020360, 24041784, 287305761, 359, 3089960858709
25, 40304640, 25635196, 73751724, 48116528, 25626780, 301258319, 121773828, 3089947513440
26, 40304640, 32589876, 80706404, 48116528, 25626780, 314809758, 359, 3089937521461
27, 42532864, 27229788, 88050432, 60820644, 27221372, 328342074, 131517863, 3089923026352
28, 42532864, 34415496, 95236140, 60820644, 27221372, 341163450, 359, 3089912216167
29, 65732608, 48438384, 123250088, 74811704, 48429968, 1142819915, 547135367, 3089859686001
30, 65732608, 23268512, 138931844, 115663332, 48429968, 462624773, 90681534, 3089806791207
31, 65732608, 23269628, 138932960, 115663332, 48429968, 16464, 359, 3089806602437
32, 65732608, 23466476, 139129808, 115663332, 48429968, 11004986, 359, 3089806074455
33, 65732608, 23989656, 139652988, 115663332, 48429968, 34713024, 359, 3089804813133
34, 65732608, 24790056, 140453388, 115663332, 48429968, 56468136, 359, 3089802877161
35, 65732608, 26177488, 141840820, 115663332, 48429968, 90024757, 359, 3089799899663
36, 65732608, 26905868, 142569200, 115663332, 48429968, 76156829, 359, 3089797347362
37, 65732608, 29609000, 145272332, 115663332, 48429968, 162546694, 359, 3089792118850
38, 65732608, 30664132, 146327464, 115663332, 48429968, 111034546, 359, 3089788477081
39, 65732608, 26322652, 147395064, 121072412, 48429968, 122417184, 174498445, 3089779093259
40, 65732608, 32437040, 153509452, 121072412, 48429968, 310488008, 359, 3089769282766
41, 65732608, 33986700, 155059112, 121072412, 48429968, 164384390, 359, 3089763983970
42, 65732608, 31918048, 156623372, 124705324, 48429968, 175843303, 170134414, 3089753065160
43, 65732608, 38265916, 162971240, 124705324, 48429968, 236876138, 359, 3089745494109
44, 65732608, 41651844, 174284428, 132632584, 48429968, 570183840, 274970000, 3089719116927
45, 65732608, 48287796, 180920380, 132632584, 48429968, 287305572, 359, 3089709975430
46, 65732608, 43236840, 187965560, 144728720, 48429968, 301246984, 121773399, 3089696616369
47, 65732608, 50191552, 194920272, 144728720, 48429968, 314809808, 359, 3089686618358
48, 65732608, 44831432, 202264300, 157432868, 48429968, 328332114, 131517494, 3089672115413
49, 65732608, 20674736, 209456672, 188781936, 48429968, 341153792, 359, 3089635224167
50, 65732608, 34699712, 237466156, 202766444, 48429968, 1142669750, 547139861, 3089582697230
51, 65732608, 23268512, 253147912, 229879400, 48429968, 462624773, 90681534, 3089530116488
52, 65732608, 24431108, 268716852, 244285744, 48429968, 474404241, 93037670, 3089512270177
53, 65732608, 25593704, 284195956, 258602252, 48429968, 486270452, 95398438, 3089493982127
