Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 33554432, 2367524, 2367524, 0, 0, 11272182, 325, 3090103156553
1, 33554432, 2908944, 2908944, 0, 0, 34883011, 325, 3090101890013
2, 33554432, 3727392, 3727392, 0, 0, 56509940, 325, 3090099952736
3, 33554432, 5133772, 5133772, 0, 0, 89710146, 325, 3090096984808
4, 33554432, 5876748, 5876748, 0, 0, 76380487, 325, 3090094425638
5, 33554432, 8603024, 8603024, 0, 0, 161499848, 325, 3090089229318
6, 33554432, 9676000, 9676000, 0, 0, 111336587, 325, 3090085578145
7, 33554432, 10748976, 10748976, 0, 0, 122676587, 325, 3090081574726
8, 33554432, 16276496, 16276496, 0, 0, 299677150, 325, 3090072088858
9, 33554432, 17843872, 17843872, 0, 0, 163742887, 325, 3090066797568
10, 33554432, 17845220, 17845220, 0, 0, 18469, 325, 3090066609352
11, 33554432, 18057968, 18057968, 0, 0, 11280414, 325, 3090066073093
12, 33554432, 18598596, 18598596, 0, 0, 34853464, 325, 3090064807523
13, 33554432, 19416844, 19416844, 0, 0, 56502574, 325, 3090062870442
14, 33554432, 20822924, 20822924, 0, 0, 89698996, 325, 3090059902918
15, 33554432, 21568752, 21568752, 0, 0, 76486530, 325, 3090057340423
16, 33554432, 24291728, 24291728, 0, 0, 161377087, 325, 3090052147819
17, 33554432, 25364704, 25364704, 0, 0, 111336587, 325, 3090048496707
18, 33554432, 26441952, 26441952, 0, 0, 122835474, 325, 3090044488399
19, 33554432, 31964528, 31964528, 0, 0, 299493287, 325, 3090035008250
20, 33554432, 33531904, 33531904, 0, 0, 163742887, 325, 3090029716960
21, 100663296, 38131876, 35113892, 0, 0, 175321452, 188093429, 3090018246926
22, 100663296, 10845248, 36681272, 25836024, 7125124, 186422887, 325, 3090009598763
23, 100663296, 22048232, 47884256, 25836024, 7125124, 555942787, 325, 3089992178409
24, 100663296, 24356816, 50192840, 25836024, 7125124, 236655187, 325, 3089984629965
25, 100663296, 26665400, 52501424, 25836024, 7125124, 247995187, 325, 3089976728338
26, 100663296, 28983584, 54819608, 25836024, 7125124, 259692098, 325, 3089968462960
27, 100663296, 31292168, 57128192, 25836024, 7125124, 270675187, 325, 3089959856563
28, 100663296, 33613064, 59449088, 25836024, 7125124, 282015187, 206240148, 3089944547078
29, 100663296, 57034448, 82870472, 25836024, 31460424, 1078258669, 396, 3089903745022
30, 100663296, 60454308, 86290332, 25836024, 31460424, 346005887, 396, 3089892784013
31, 100663296, 60455664, 86291688, 25836024, 31460424, 18469, 396, 3089892595185
32, 100663296, 60668416, 86504440, 25836024, 31460424, 11280414, 396, 3089892058361
33, 100663296, 61209052, 87045076, 25836024, 31460424, 34853464, 396, 3089890792257
34, 100663296, 62027308, 87863332, 25836024, 31460424, 56502574, 396, 3089888854642
35, 100663296, 63433396, 89269420, 25836024, 31460424, 89698996, 396, 3089885886584
36, 100663296, 64179232, 90015256, 25836024, 31460424, 76486530, 396, 3089883323524
37, 100663296, 66902216, 92738240, 25836024, 31460424, 161377087, 396, 3089878130324
38, 100663296, 67975200, 93811224, 25836024, 31460424, 111336803, 396, 3089874478641
39, 100663296, 69052456, 94888480, 25836024, 31460424, 122835474, 396, 3089870469706
40, 100663296, 74575040, 100411064, 25836024, 31460424, 299493287, 396, 3089860988931
41, 100663296, 76142424, 101978448, 25836024, 31460424, 163742887, 396, 3089855697044
42, 100663296, 77716212, 103552236, 25836024, 31460424, 175320946, 396, 3089850045295
43, 100663296, 79283596, 105119620, 25836024, 31460424, 186422887, 396, 3089844049025
44, 100663296, 90486580, 116322604, 25836024, 31460424, 555942787, 396, 3089826609711
45, 100663296, 92795164, 118631188, 25836024, 31460424, 236655187, 396, 3089819042338
46, 100663296, 95103748, 120939772, 25836024, 31460424, 247995187, 396, 3089811121781
47, 134217728, 97430140, 123266164, 25836024, 31460424, 259692098, 168657842, 3089797642075
48, 134217728, 35169608, 125574748, 90405140, 33016252, 388057136, 51314409, 3089774334346
49, 134217728, 37478192, 127883332, 90405140, 33016252, 282015369, 396, 3089765370966
50, 134217728, 60899576, 151304716, 90405140, 33016252, 1078258487, 396, 3089731749153
51, 134217728, 64319436, 154724576, 90405140, 33016252, 346005887, 396, 3089720782790
52, 134217728, 67739220, 158144360, 90405140, 33016252, 357346086, 396, 3089709462312
53, 134217728, 71159004, 161564144, 90405140, 33016252, 368685887, 396, 3089697788209
54, 134217728, 74578788, 164983928, 90405140, 33016252, 380025887, 396, 3089685761061
55, 134217728, 78012968, 168418108, 90405140, 33016252, 391900982, 396, 3089673364863
56, 134217728, 81432752, 171837892, 90405140, 33016252, 402705887, 396, 3089660633345
57, 134217728, 84852536, 175257676, 90405140, 33016252, 414045887, 396, 3089647550658
58, 134217728, 88272320, 178677460, 90405140, 33016252, 425385887, 396, 3089634117171
59, 201326592, 138367720, 228772860, 90405140, 33016252, 2171015877, 125893499, 3089562711663
60, 201326592, 143453980, 233859120, 90405140, 33016252, 751709077, 197293625, 3089521281549
61, 201326592, 160004668, 238945304, 90405140, 33016252, 768429077, 136114343, 3089480925618
62, 201326592, 165090852, 244031488, 90405140, 33016252, 766105136, 89597908, 3089448672134
63, 234881024, 170177036, 249117672, 90405140, 33016252, 782948950, 95977502, 3089415583061
64, 234881024, 76762664, 254203856, 177441192, 69523740, 555364787, 396, 3089395979059
65, 234881024, 81848848, 259290040, 177441192, 69523740, 566704787, 396, 3089378179052
66, 234881024, 86935032, 264376224, 177441192, 69523740, 578044787, 396, 3089360026337
67, 234881024, 92042804, 269483996, 177441192, 69523740, 590187252, 396, 3089341496500
68, 234881024, 97128988, 274570180, 177441192, 69523740, 600724787, 396, 3089322639738
69, 234881024, 102215172, 279656364, 177441192, 69523740, 612064787, 396, 3089303432145
70, 234881024, 107301356, 284742548, 177441192, 69523740, 623404969, 396, 3089283874116
71, 234881024, 112387540, 289828732, 177441192, 69523740, 634744787, 396, 3089263966432

