Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 2359296, 198336, 198336, 0, 0, 9149372, 200, 3090108824284
1, 2883584, 722296, 722296, 0, 0, 28852697, 200, 3090107743840
2, 3735552, 1522888, 1522888, 0, 0, 46837688, 200, 3090106104751
3, 5111808, 2910612, 2910612, 0, 0, 74840622, 200, 3090103595079
4, 5832704, 3636136, 3636136, 0, 0, 62565336, 200, 3090101461537
5, 8519680, 6342556, 6342556, 0, 0, 135510886, 200, 3090097065393
6, 9568256, 7397680, 7397680, 0, 0, 91351763, 200, 3090094029653
7, 10616832, 8452804, 8452804, 0, 0, 100431763, 200, 3090090711175
8, 16121856, 13958868, 13958868, 0, 0, 252912033, 200, 3090082664811
9, 17694720, 15507992, 15507992, 0, 0, 134507603, 200, 3090078273691
10, 17694720, 15509100, 15509100, 0, 0, 15304, 200, 3090078085626
11, 17891328, 15705944, 15705944, 0, 0, 9156416, 200, 3090077615037
12, 18415616, 16229116, 16229116, 0, 0, 28826753, 200, 3090076535267
13, 19202048, 17029508, 17029508, 0, 0, 46830957, 200, 3090074896167
14, 20578304, 18416932, 18416932, 0, 0, 74831268, 200, 3090072386688
15, 21299200, 19145304, 19145304, 0, 0, 62656894, 200, 3090070250298
16, 24051712, 21848428, 21848428, 0, 0, 135404919, 200, 3090065857445
17, 25100288, 22903552, 22903552, 0, 0, 91351837, 200, 3090062821826
18, 26148864, 23962944, 23962944, 0, 0, 100569203, 200, 3090059499180
19, 31653888, 29464068, 29464068, 0, 0, 252752977, 200, 3090051457772
20, 33226752, 31013192, 31013192, 0, 0, 134507677, 200, 3090047066681
21, 34734080, 32568716, 32568716, 0, 0, 143793284, 200, 3090042386217
22, 36306944, 34117840, 34117840, 0, 0, 152667677, 200, 3090037429772
23, 47448064, 45297364, 45297364, 0, 0, 471797359, 200, 3090022580814
24, 49741824, 47587288, 47587288, 0, 0, 194677508, 200, 3090016306174
25, 52035584, 49877212, 49877212, 0, 0, 203757582, 200, 3090009747978
26, 54329344, 52176732, 52176732, 0, 0, 213146332, 200, 3090002897113
27, 56623104, 54466656, 54466656, 0, 0, 221917656, 200, 3089995773161
28, 58916864, 56756580, 56756580, 0, 0, 230997656, 200, 3089988367301
29, 82313216, 80151704, 80151704, 0, 0, 919506344, 200, 3089959618066
30, 85721088, 83552428, 83552428, 0, 0, 284916943, 200, 3089950518951
31, 85721088, 83553536, 83553536, 0, 0, 15304, 200, 3089950330871
32, 85917696, 83750380, 83750380, 0, 0, 9156342, 200, 3089949860285
33, 86441984, 84273552, 84273552, 0, 0, 28826901, 200, 3089948780479
34, 87228416, 85073944, 85073944, 0, 0, 46831327, 200, 3089947141460
35, 88670208, 86461368, 86461368, 0, 0, 74831179, 200, 3089944631953
36, 89391104, 87189740, 87189740, 0, 0, 62656894, 200, 3089942495501
37, 92078080, 89892864, 89892864, 0, 0, 135404638, 200, 3089938102626
38, 93126656, 90947988, 90947988, 0, 0, 91351689, 200, 3089935066950
39, 94175232, 92007380, 92007380, 0, 0, 100569277, 200, 3089931744240
40, 99680256, 97508504, 97508504, 0, 0, 252752903, 200, 3089923702773
41, 101253120, 99057628, 99057628, 0, 0, 134507603, 200, 3089919311623
42, 102825984, 100613152, 100613152, 0, 0, 143793787, 200, 3089914631113
43, 104333312, 102162276, 102162276, 0, 0, 152667322, 200, 3089909674679
44, 115539968, 113341800, 113341800, 0, 0, 471797788, 200, 3089894813349
45, 117833728, 115631724, 115631724, 0, 0, 194677582, 200, 3089888538584
46, 120127488, 117921648, 117921648, 0, 0, 203757434, 200, 3089881980300
47, 122421248, 120221168, 120221168, 0, 0, 213146406, 200, 3089875129340
48, 124715008, 122511092, 122511092, 0, 0, 221917434, 200, 3089868005333
49, 127008768, 124801016, 124801016, 0, 0, 230997434, 200, 3089860599480
50, 150405120, 148196140, 148196140, 0, 0, 919506418, 200, 3089831850058
51, 153747456, 151596864, 151596864, 0, 0, 284916662, 200, 3089822750952
52, 157155328, 154997588, 154997588, 0, 0, 293997091, 200, 3089813367033
53, 160563200, 158398312, 158398312, 0, 0, 303077017, 200, 3089803698992
54, 163971072, 161799036, 161799036, 0, 0, 312156943, 200, 3089793747446
55, 167378944, 165214152, 165214152, 0, 0, 321699981, 200, 3089783498668
56, 170786816, 168614876, 168614876, 0, 0, 330316943, 200, 3089772981861
57, 174194688, 172015600, 172015600, 0, 0, 339396869, 200, 3089762183456
58, 177602560, 175416324, 175416324, 0, 0, 348476869, 200, 3089751103974
59, 227672064, 225465048, 225465048, 0, 0, 1858794429, 200, 3089693202721
60, 232718336, 230531840, 230531840, 0, 0, 420252418, 200, 3089679868380
61, 237764608, 235598564, 235598564, 0, 0, 429332492, 200, 3089666248294
62, 242876416, 240665288, 240665288, 0, 0, 438412921, 200, 3089652342379
63, 247922688, 245732012, 245732012, 0, 0, 447492566, 200, 3089638151121
64, 252968960, 250798736, 250798736, 0, 0, 456572344, 200, 3089623675470
65, 258015232, 255865460, 255865460, 0, 0, 465652344, 200, 3089608915727
66, 263127040, 260932184, 260932184, 0, 0, 474732344, 200, 3089593872952
67, 268173312, 266020492, 266020492, 0, 0, 484506856, 200, 3089578525962
68, 273285120, 271087216, 271087216, 0, 0, 492892699, 200, 3089562918393
69, 278331392, 276153944, 276153944, 0, 0, 501972418, 200, 3089547029215
70, 283377664, 281220672, 281220672, 0, 0, 511052492, 200, 3089530859235
71, 288489472, 286287400, 286287400, 0, 0, 520132847, 200, 3089514408998

