Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 3932160, 761784, 1719908, 958124, 761568, 104013452, 26767582, 3090104671348
1, 4718592, 1521784, 3440912, 1919128, 1521568, 115005891, 48580645, 3090099435979
2, 5439488, 3242852, 5161980, 1919128, 1521568, 118856021, 322, 3090095577400
3, 7274496, 3041784, 6883128, 3841344, 3041568, 122088047, 97132115, 3090088617212
4, 7274496, 4762888, 8604232, 3841344, 3041568, 123064165, 322, 3090084628795
5, 8847360, 4561784, 10325416, 5763632, 4561568, 125573005, 140764655, 3090076218221
6, 8847360, 6282904, 12046536, 5763632, 4561568, 126781930, 322, 3090072115412
7, 10420224, 6081784, 13767784, 7686000, 6081568, 128304726, 184396989, 3090062277820
8, 10420224, 7802856, 15488856, 7686000, 6081568, 128291589, 322, 3090058128498
9, 11730944, 9524104, 17210104, 7686000, 6081568, 128768101, 322, 3090053964577
10, 13762560, 8361784, 18931224, 10569440, 8361568, 131032186, 254764687, 3090041864334
11, 13762560, 10083064, 20652504, 10569440, 8361568, 131029145, 322, 3090037630687
12, 13959168, 11804152, 22373592, 10569440, 8361568, 131022576, 322, 3090033397459
13, 15728640, 13525400, 24094840, 10569440, 8361568, 133475153, 322, 3090029088644
14, 17891328, 11401784, 25815992, 14414208, 11401568, 133763113, 346949017, 3090014053932
15, 17891328, 13123096, 27537304, 14414208, 11401568, 133760146, 322, 3090009736300
16, 17891328, 14844296, 29258504, 14414208, 11401568, 133756259, 322, 3090005418805
17, 18743296, 16565384, 30979592, 14414208, 11401568, 133756274, 322, 3090001101371
18, 21037056, 14441784, 32700840, 18259056, 14441568, 133767078, 434213659, 3089983380825
19, 21037056, 16163000, 34422056, 18259056, 14441568, 134682712, 322, 3089979034714
20, 21037056, 17884184, 36143240, 18259056, 14441568, 136485328, 322, 3089974633340
21, 21757952, 19605336, 37864392, 18259056, 14441568, 136487862, 322, 3089970231826
22, 23527424, 21326616, 39585672, 18259056, 14441568, 136498730, 322, 3089965829855
23, 25952256, 18241784, 41306888, 23065104, 18241568, 136495559, 548213603, 3089944503727
24, 25952256, 19963000, 43028104, 23065104, 18241568, 136486477, 322, 3089940102146
25, 25952256, 21684088, 44749192, 23065104, 18241568, 136481733, 322, 3089935700944
26, 25952256, 23405272, 46470376, 23065104, 18241568, 138630170, 322, 3089931233421
27, 27328512, 25126552, 48191656, 23065104, 18241568, 139226748, 322, 3089926747510
28, 29032448, 26847704, 49912808, 23065104, 18241568, 139223409, 322, 3089922261918
29, 31653888, 22801784, 51634024, 28832240, 22801568, 139225855, 684029280, 3089896658467
30, 31653888, 22803120, 51635360, 28832240, 22801568, 1256990128, 322, 3089857793666
31, 31653888, 22804432, 51636672, 28832240, 22801568, 1256989442, 322, 3089818928907
32, 31653888, 22805744, 51637984, 28832240, 22801568, 1256989442, 322, 3089780064210
33, 31653888, 22807056, 51639296, 28832240, 22801568, 1256989442, 322, 3089741199513
34, 31653888, 22808368, 51640608, 28832240, 22801568, 1256989442, 322, 3089702334723
35, 31653888, 22809680, 51641920, 28832240, 22801568, 1256989442, 322, 3089663470026
36, 31653888, 22810992, 51643232, 28832240, 22801568, 1256989442, 322, 3089624605329
37, 31653888, 22812304, 51644544, 28832240, 22801568, 1256989442, 322, 3089585740570
38, 31653888, 22813616, 51645856, 28832240, 22801568, 1256989442, 322, 3089546875873
39, 31653888, 22814928, 51647168, 28832240, 22801568, 1256989442, 322, 3089508011176
40, 31653888, 22816096, 51648336, 28832240, 22801568, 14978, 322, 3089507822555
41, 31653888, 24534760, 53367000, 28832240, 22801568, 104000921, 322, 3089504421811
42, 31653888, 26255768, 55088008, 28832240, 22801568, 115001912, 322, 3089500681711
43, 31653888, 27976840, 56809080, 28832240, 22801568, 118852264, 322, 3089496823015
44, 31850496, 29697992, 58530232, 28832240, 22801568, 122080178, 322, 3089492864999
45, 33619968, 31419096, 60251336, 28832240, 22801568, 123073676, 322, 3089488872740
46, 35323904, 33140280, 61972520, 28832240, 22801568, 125574336, 322, 3089484807119
47, 37027840, 34861400, 63693640, 28832240, 22801568, 126791086, 322, 3089480704091
48, 39911424, 6081784, 65414888, 59333104, 22801568, 128307359, 216990260, 3089469784072
49, 39911424, 7802856, 67135960, 59333104, 22801568, 128291589, 322, 3089465634750
50, 39911424, 9524104, 68857208, 59333104, 22801568, 128761001, 322, 3089461471048
51, 39911424, 8361784, 70578328, 62216544, 22801568, 131022956, 254764332, 3089449371100
52, 39911424, 10083064, 72299608, 62216544, 22801568, 131029145, 322, 3089445137453
53, 39911424, 11804152, 74020696, 62216544, 22801568, 131021511, 322, 3089440904258
54, 39911424, 13525400, 75741944, 62216544, 22801568, 133465568, 322, 3089436595738
55, 39911424, 11401784, 77463096, 66061312, 22801568, 133753883, 346948662, 3089421561321
56, 39911424, 13123096, 79184408, 66061312, 22801568, 133760146, 322, 3089417243689
57, 39911424, 14844296, 80905608, 66061312, 22801568, 133756259, 322, 3089412926194
58, 39911424, 16565384, 82626696, 66061312, 22801568, 133751659, 322, 3089408608902
59, 39911424, 14441784, 84347944, 69906160, 22801568, 133757848, 434213304, 3089390888651
60, 39911424, 16163000, 86069160, 69906160, 22801568, 134682712, 322, 3089386542540
61, 39911424, 17884184, 87790344, 69906160, 22801568, 136485328, 322, 3089382141166
62, 39911424, 19605336, 89511496, 69906160, 22801568, 136483957, 322, 3089377739772
63, 39911424, 21326616, 91232776, 69906160, 22801568, 136489145, 322, 3089373338096
64, 39911424, 18241784, 92953992, 74712208, 22801568, 136486329, 548213248, 3089352012262
65, 39911424, 19963000, 94675208, 74712208, 22801568, 136486477, 322, 3089347610681
66, 39911424, 21684088, 96396296, 74712208, 22801568, 136481733, 322, 3089343209479
67, 39911424, 23405272, 98117480, 74712208, 22801568, 138630170, 322, 3089338741956
68, 39911424, 25126552, 99838760, 74712208, 22801568, 139219293, 322, 3089334256275
69, 39911424, 26847704, 101559912, 74712208, 22801568, 139214179, 322, 3089329770967
70, 39911424, 22801784, 103281128, 80479344, 22801568, 139216625, 684028925, 3089304167811
71, 39911424, 24522936, 105002280, 80479344, 22801568, 139213957, 322, 3089299682369
72, 39911424, 26244312, 106723656, 80479344, 22801568, 139222592, 322, 3089295196648
73, 39911424, 27965512, 108444856, 80479344, 22801568, 139216185, 322, 3089290711032
74, 39911424, 29686728, 110166072, 80479344, 22801568, 139216551, 322, 3089286225651
75, 39911424, 31407816, 111887160, 80479344, 22801568, 139211881, 322, 3089281740321
