Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 4653056, 761784, 1719908, 958124, 761568, 104013452, 21147741, 3090105404882
1, 6160384, 1521784, 3440912, 1919128, 1521568, 115001986, 42272001, 3090100347838
2, 6160384, 3242852, 5161980, 1919128, 1521568, 118852116, 322, 3090096489533
3, 10158080, 3041784, 6883128, 3841344, 3041568, 122084142, 84520166, 3090089884571
4, 10158080, 4762888, 8604232, 3841344, 3041568, 123064165, 322, 3090085896401
5, 13238272, 4561784, 10325416, 5763632, 4561568, 125565550, 126760521, 3090077861629
6, 13238272, 6282904, 12046536, 5763632, 4561568, 126781930, 322, 3090073759004
7, 16252928, 6081784, 13767784, 7686000, 6081568, 128297626, 169000166, 3090064335718
8, 16252928, 7802856, 15488856, 7686000, 6081568, 128291589, 322, 3090060186642
9, 16252928, 9524104, 17210104, 7686000, 6081568, 128761001, 322, 3090056023093
10, 21757952, 8361784, 18931224, 10569440, 8361568, 131022956, 232373656, 3090044506428
11, 21757952, 10083064, 20652504, 10569440, 8361568, 131029145, 322, 3090040273058
12, 21757952, 11804152, 22373592, 10569440, 8361568, 131021511, 322, 3090036039924
13, 21757952, 13525400, 24094840, 10569440, 8361568, 133465568, 322, 3090031731527
14, 28835840, 11401784, 25815992, 14414208, 11401568, 133753883, 316862176, 3090017496417
15, 28835840, 13123096, 27537304, 14414208, 11401568, 133760146, 322, 3090013178908
16, 28835840, 14844296, 29258504, 14414208, 11401568, 133756259, 322, 3090008861628
17, 28835840, 16565384, 30979592, 14414208, 11401568, 133751659, 322, 3090004544336
18, 34930688, 14441784, 32700840, 18259056, 14441568, 133757848, 401336851, 3089987646099
19, 34930688, 16163000, 34422056, 18259056, 14441568, 134682712, 322, 3089983300203
20, 34930688, 17884184, 36143240, 18259056, 14441568, 136485328, 322, 3089978898860
21, 34930688, 19605336, 37864392, 18259056, 14441568, 136483957, 322, 3089974497590
22, 34930688, 21326616, 39585672, 18259056, 14441568, 136489145, 322, 3089970096098
23, 43450368, 18241784, 41306888, 23065104, 18241568, 136486329, 506949986, 3089949836734
24, 43450368, 19963000, 43028104, 23065104, 18241568, 136486477, 322, 3089945435338
25, 43450368, 21684088, 44749192, 23065104, 18241568, 136481733, 322, 3089941034136
26, 43450368, 23405272, 46470376, 23065104, 18241568, 138630170, 322, 3089936566767
27, 43450368, 25126552, 48191656, 23065104, 18241568, 139219293, 322, 3089932081116
28, 43450368, 26847704, 49912808, 23065104, 18241568, 139214179, 322, 3089927595808
29, 53542912, 22801784, 51634024, 28832240, 22801568, 139216625, 633678506, 3089903314665
30, 53542912, 22803120, 51635360, 28832240, 22801568, 1256990128, 322, 3089864449864
31, 53542912, 22804432, 51636672, 28832240, 22801568, 1256989442, 322, 3089825585105
32, 53542912, 22805744, 51637984, 28832240, 22801568, 1256989442, 322, 3089786720408
33, 53542912, 22807056, 51639296, 28832240, 22801568, 1256989442, 322, 3089747855711
34, 53542912, 22808368, 51640608, 28832240, 22801568, 1256989442, 322, 3089708990921
35, 53542912, 22809680, 51641920, 28832240, 22801568, 1256989442, 322, 3089670126224
