Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 3932160, 1728108, 1728108, 0, 0, 108904256, 359, 3090103568914
1, 5636096, 3449108, 3449108, 0, 0, 119906259, 359, 3090099678455
2, 7340032, 5170172, 5170172, 0, 0, 123756821, 359, 3090095669270
3, 9043968, 6891316, 6891316, 0, 0, 126983596, 359, 3090091560769
4, 11075584, 3809984, 8620612, 4810628, 3801568, 127969077, 209648750, 3090080918272
5, 11075584, 5531168, 10341796, 4810628, 3801568, 130465529, 359, 3090076701947
6, 11075584, 7252288, 12062916, 4810628, 3801568, 131677630, 359, 3090072448544
7, 11141120, 8973536, 13784164, 4810628, 3801568, 133193875, 359, 3090068148426
8, 12845056, 10694608, 15505236, 4810628, 3801568, 133196195, 359, 3090063848237
9, 14876672, 7610180, 17234684, 9624504, 7601764, 133666030, 209613440, 3090053030943
10, 14876672, 9331316, 18955820, 9624504, 7601764, 135923356, 359, 3090048646747
11, 14876672, 11052596, 20677100, 9624504, 7601764, 135924885, 359, 3090044262414
12, 14942208, 12773684, 22398188, 9624504, 7601764, 135917538, 359, 3090039878522
13, 16646144, 14494932, 24119436, 9624504, 7601764, 138370556, 359, 3090035419029
14, 18677760, 11410376, 25848788, 14438412, 11401960, 138659436, 209610884, 3090024448109
15, 18677760, 13131704, 27570116, 14438412, 11401960, 138660832, 359, 3090019979683
16, 18677760, 14852904, 29291316, 14438412, 11401960, 138652113, 359, 3090015511527
17, 18743296, 16573992, 31012404, 14438412, 11401960, 138647834, 359, 3090011043534
18, 20447232, 18295240, 32733652, 14438412, 11401960, 138662784, 359, 3090006575081
19, 22478848, 15210572, 34463068, 19252496, 15202156, 139587799, 209613348, 3089995575489
20, 22478848, 16931804, 36184300, 19252496, 15202156, 141385902, 359, 3089991023153
21, 22478848, 18652956, 37905452, 19252496, 15202156, 141380199, 359, 3089986471087
22, 22544384, 20374236, 39626732, 19252496, 15202156, 141385132, 359, 3089981918746
23, 24248320, 22095452, 41347948, 19252496, 15202156, 141391693, 359, 3089977366357
24, 26279936, 19010768, 43077364, 24066596, 19002352, 141392178, 209613610, 3089966311237
25, 26279936, 20731856, 44798452, 24066596, 19002352, 141381466, 359, 3089961759098
26, 26279936, 22453056, 46519652, 24066596, 19002352, 143526653, 359, 3089957140864
27, 26345472, 24174336, 48240932, 24066596, 19002352, 144115428, 359, 3089952504575
28, 28049408, 25895488, 49962084, 24066596, 19002352, 144118933, 359, 3089947868332
29, 30081024, 22810964, 51691500, 28880536, 22802548, 144121882, 209612892, 3089936729152
30, 30081024, 22812300, 51692836, 28880536, 22802548, 1267791106, 359, 3089897532009
31, 30081024, 22813612, 51694148, 28880536, 22802548, 1267790069, 359, 3089858334997
32, 30081024, 22814924, 51695460, 28880536, 22802548, 1267790069, 359, 3089819137985
33, 30081024, 22816236, 51696772, 28880536, 22802548, 1267790069, 359, 3089779940942
34, 30081024, 22817548, 51698084, 28880536, 22802548, 1267790069, 359, 3089740743899
35, 30081024, 22818860, 51699396, 28880536, 22802548, 1267790069, 359, 3089701546856
36, 30081024, 22820172, 51700708, 28880536, 22802548, 1267790143, 359, 3089662349780
37, 30081024, 22821484, 51702020, 28880536, 22802548, 1267790069, 359, 3089623152737
