Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 33554432, 4358640, 4358640, 0, 0, 99452981, 318
1, 33554432, 6559720, 6559720, 0, 0, 109047346, 318
2, 33554432, 8760880, 8760880, 0, 0, 112404230, 318
3, 33554432, 10962140, 10962140, 0, 0, 115217306, 318
4, 33554432, 13163340, 13163340, 0, 0, 116076278, 318
5, 33554432, 15364640, 15364640, 0, 0, 118256990, 318
6, 33554432, 17565860, 17565860, 0, 0, 119317386, 318
7, 33554432, 19767240, 19767240, 0, 0, 120639262, 318
8, 33554432, 21968400, 21968400, 0, 0, 120633210, 318
9, 33554432, 24169780, 24169780, 0, 0, 121043018, 318
10, 33554432, 26371000, 26371000, 0, 0, 123014718, 318
11, 33554432, 28572420, 28572420, 0, 0, 123020398, 318
12, 33554432, 30773600, 30773600, 0, 0, 123013582, 318
13, 33554432, 32974980, 32974980, 0, 0, 125144362, 318
14, 100663296, 49444944, 35180344, 0, 0, 125396395, 740479166
15, 100663296, 20251092, 37381808, 17130716, 15890776, 125401534, 318
16, 100663296, 22452420, 39583136, 17130716, 15890776, 125397754, 318
17, 100663296, 24653608, 41784324, 17130716, 15890776, 125393582, 318
18, 100663296, 26854996, 43985712, 17130716, 15890776, 125399262, 318
19, 100663296, 29056344, 46187060, 17130716, 15890776, 126205530, 318
20, 100663296, 31257652, 48388368, 17130716, 15890776, 127776990, 318
21, 100663296, 33458920, 50589636, 17130716, 15890776, 127775854, 318
22, 100663296, 35660348, 52791064, 17130716, 15890776, 127780398, 394
23, 100663296, 37861696, 54992412, 17130716, 15890776, 127778343, 394
24, 100663296, 40063044, 57193760, 17130716, 15890776, 127778126, 394
25, 100663296, 42264232, 59394948, 17130716, 15890776, 127773582, 394
26, 100663296, 44465540, 61596256, 17130716, 15890776, 129646954, 394
27, 100663296, 46666968, 63797684, 17130716, 15890776, 130160398, 394
28, 100663296, 48868236, 65998952, 17130716, 15890776, 130155854, 394
29, 100663296, 51069584, 68200300, 17130716, 15890776, 130158126, 394
30, 100663296, 51071084, 68201800, 17130716, 15890776, 1072391936, 394
31, 100663296, 51072468, 68203184, 17130716, 15890776, 1072390751, 394
32, 100663296, 51073852, 68204568, 17130716, 15890776, 1072390751, 394
33, 100663296, 51075236, 68205952, 17130716, 15890776, 1072390751, 394
34, 100663296, 51076620, 68207336, 17130716, 15890776, 1072390751, 394
35, 100663296, 51078004, 68208720, 17130716, 15890776, 1072390751, 394
36, 100663296, 51079388, 68210104, 17130716, 15890776, 1072390751, 394
37, 100663296, 51080772, 68211488, 17130716, 15890776, 1072390751, 394
38, 100663296, 51082156, 68212872, 17130716, 15890776, 1072390751, 394
39, 100663296, 51083540, 68214256, 17130716, 15890776, 1072390751, 394
40, 100663296, 51084744, 68215460, 17130716, 15890776, 18881, 394
41, 100663296, 19733948, 70417724, 50683776, 17574624, 99449848, 40848172
42, 100663296, 21935036, 72618812, 50683776, 17574624, 109047346, 318
43, 100663296, 24136204, 74819980, 50683776, 17574624, 112404230, 318
44, 100663296, 26337472, 77021248, 50683776, 17574624, 115217306, 318
45, 100663296, 28538680, 79222456, 50683776, 17574624, 116076278, 318
46, 100663296, 30739988, 81423764, 50683776, 17574624, 118256990, 318
47, 100663296, 32941216, 83624992, 50683776, 17574624, 119317386, 318
48, 100663296, 35142604, 85826380, 50683776, 17574624, 120639496, 394
49, 100663296, 37343772, 88027548, 50683776, 17574624, 120633210, 394
50, 100663296, 39545160, 90228936, 50683776, 17574624, 121043018, 394
51, 100663296, 41746388, 92430164, 50683776, 17574624, 123014718, 394
52, 100663296, 43947816, 94631592, 50683776, 17574624, 123020398, 394
53, 100663296, 46149004, 96832780, 50683776, 17574624, 123013582, 394
54, 100663296, 48350392, 99034168, 50683776, 17574624, 125144362, 394
55, 100663296, 50551660, 101235436, 50683776, 17574624, 125395854, 394
56, 100663296, 52753128, 103436904, 50683776, 17574624, 125401534, 394
57, 100663296, 54954456, 105638232, 50683776, 17574624, 125397754, 394
58, 100663296, 64439648, 107843524, 50683776, 17574624, 125393582, 647144420
59, 100663296, 35245716, 110044912, 74799196, 30885480, 125399262, 394
60, 100663296, 37447064, 112246260, 74799196, 30885480, 126205747, 394
61, 100663296, 39648372, 114447568, 74799196, 30885480, 127776990, 394
62, 100663296, 41849640, 116648836, 74799196, 30885480, 127775854, 394
63, 100663296, 44051068, 118850264, 74799196, 30885480, 127780398, 394
64, 100663296, 46252416, 121051612, 74799196, 30885480, 127778126, 394
65, 100663296, 48453764, 123252960, 74799196, 30885480, 127778126, 394
66, 100663296, 50654952, 125454148, 74799196, 30885480, 127773582, 394
67, 100663296, 52856260, 127655456, 74799196, 30885480, 129646954, 394
68, 100663296, 55057688, 129856884, 74799196, 30885480, 130160398, 394
69, 100663296, 57258956, 132058152, 74799196, 30885480, 130155854, 394
70, 100663296, 59460304, 134259500, 74799196, 30885480, 130158126, 394
71, 100663296, 61661572, 136460768, 74799196, 30885480, 130155854, 394
72, 100663296, 63863120, 138662316, 74799196, 30885480, 130163806, 394
73, 100663296, 66064448, 140863644, 74799196, 30885480, 130157754, 394
74, 100663296, 68265796, 143064992, 74799196, 30885480, 130158377, 394
75, 100663296, 70466984, 145266180, 74799196, 30885480, 130153582, 394
76, 100663296, 72668332, 147467528, 74799196, 30885480, 130158126, 394
77, 100663296, 74869720, 149668916, 74799196, 30885480, 130159262, 394
78, 100663296, 77071068, 151870264, 74799196, 30885480, 130158126, 394
79, 100663296, 79272296, 154071492, 74799196, 30885480, 130154718, 394
80, 100663296, 81473764, 156272960, 74799196, 30885480, 131776234, 394
81, 100663296, 81475264, 156274460, 74799196, 30885480, 1455602268, 394
82, 100663296, 81476724, 156275920, 74799196, 30885480, 1455601083, 394
83, 100663296, 81478184, 156277380, 74799196, 30885480, 1455601083, 394
84, 100663296, 81479644, 156278840, 74799196, 30885480, 1455601083, 394
85, 100663296, 81481104, 156280300, 74799196, 30885480, 1455601083, 394
86, 100663296, 81482564, 156281760, 74799196, 30885480, 1455601083, 394
87, 100663296, 81484024, 156283220, 74799196, 30885480, 1455601083, 394
88, 100663296, 81485484, 156284680, 74799196, 30885480, 1455601083, 394
89, 100663296, 81486944, 156286140, 74799196, 30885480, 1455601083, 394
90, 100663296, 81488404, 156287600, 74799196, 30885480, 1455601083, 394

