Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 3932160, 1719908, 1719908, 0, 0, 104013442, 200, 3090106541769
1, 5636096, 3440908, 3440908, 0, 0, 115011206, 200, 3090102802017
2, 7340032, 5161972, 5161972, 0, 0, 118861558, 200, 3090098943545
3, 9043968, 6883116, 6883116, 0, 0, 122088111, 200, 3090094985764
4, 10813440, 8604212, 8604212, 0, 0, 123074184, 200, 3090090997611
5, 12517376, 10325388, 10325388, 0, 0, 125574696, 200, 3090086932458
6, 14221312, 12046500, 12046500, 0, 0, 126791224, 200, 3090082829904
7, 15925248, 13767740, 13767740, 0, 0, 128306920, 200, 3090078680652
8, 17694720, 15488804, 15488804, 0, 0, 128301090, 200, 3090074531549
9, 19398656, 17210044, 17210044, 0, 0, 128769925, 200, 3090070368020
10, 21102592, 18931156, 18931156, 0, 0, 131031880, 200, 3090066134923
11, 22806528, 20652428, 20652428, 0, 0, 131038365, 200, 3090061901534
12, 24576000, 22373508, 22373508, 0, 0, 131031234, 200, 3090057668487
13, 26279936, 24094748, 24094748, 0, 0, 133474640, 200, 3090053360136
14, 27983872, 25815892, 25815892, 0, 0, 133763325, 200, 3090049042902
15, 29687808, 27537196, 27537196, 0, 0, 133769588, 200, 3090044725568
16, 31457280, 29258388, 29258388, 0, 0, 133765834, 200, 3090040408257
17, 33161216, 30979468, 30979468, 0, 0, 133761471, 200, 3090036091080
18, 34865152, 32700708, 32700708, 0, 0, 133766920, 200, 3090031773766
19, 36634624, 34421916, 34421916, 0, 0, 134692435, 200, 3090027427913
20, 38338560, 36143092, 36143092, 0, 0, 136494400, 200, 3090023026738
21, 40042496, 37864236, 37864236, 0, 0, 136493399, 200, 3090018625533
22, 41746432, 39585508, 39585508, 0, 0, 136498143, 200, 3090014223997
23, 43515904, 41306716, 41306716, 0, 0, 136496348, 200, 3090009822793
24, 45219840, 43027924, 43027924, 0, 0, 136495919, 200, 3090005421541
25, 46923776, 44749004, 44749004, 0, 0, 136490953, 200, 3090001020534
26, 48627712, 46470180, 46470180, 0, 0, 138639760, 200, 3089996553195
27, 50397184, 48191452, 48191452, 0, 0, 139228794, 200, 3089992067762
28, 52101120, 49912596, 49912596, 0, 0, 139223177, 200, 3089987582656
29, 53805056, 51633804, 51633804, 0, 0, 139225845, 200, 3089983097283
30, 53805056, 51635132, 51635132, 0, 0, 1256990118, 200, 3089944233194
31, 53805056, 51636436, 51636436, 0, 0, 1256989432, 200, 3089905368945
32, 53805056, 51637740, 51637740, 0, 0, 1256989432, 200, 3089866504726
33, 53805056, 51639044, 51639044, 0, 0, 1256989432, 200, 3089827640507
