Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 4980736, 2800916, 2800916, 0, 0, 5249, 319
1, 7798784, 5601988, 5602624, 636, 2801528, 37249030, 85096084
2, 10616832, 8401988, 8403308, 1320, 5601528, 37243684, 154159262
3, 13369344, 11202672, 11203992, 1320, 5601528, 37242886, 319
4, 16187392, 14001988, 14004672, 2684, 11201528, 37243416, 308287188
5, 19005440, 16802672, 16805356, 2684, 11201528, 37241916, 319
6, 21823488, 19603352, 19606036, 2684, 11201528, 37243846, 319
7, 24576000, 22401988, 22406716, 4728, 19601528, 37243846, 531481817
8, 27394048, 25202672, 25207400, 4728, 19601528, 37240382, 319
9, 30212096, 28003352, 28008080, 4728, 19601528, 37243846, 319
10, 32964608, 30804032, 30808760, 4728, 19601528, 37243846, 319
11, 35782656, 33601988, 33609440, 7452, 30801528, 37243416, 823741331
12, 38600704, 36402672, 36410124, 7452, 30801528, 37238604, 319
13, 41418752, 39203352, 39210804, 7452, 30801528, 37243908, 319
14, 44171264, 42004032, 42011484, 7452, 30801528, 37243846, 319
15, 46989312, 44804712, 44812164, 7452, 30801528, 37243416, 319
16, 49807360, 47605392, 47612844, 7452, 30801528, 37243846, 319
17, 52559872, 50401988, 50413524, 11536, 47601528, 37243846, 1270130589
18, 55377920, 53202740, 53214276, 11536, 47601528, 37237713, 319
19, 58195968, 56003420, 56014956, 11536, 47601528, 37243908, 319
20, 61014016, 58804100, 58815636, 11536, 47601528, 37243846, 319
21, 63766528, 61604780, 61616316, 11536, 47601528, 37243846, 319
22, 66584576, 64405460, 64416996, 11536, 47601528, 37243416, 319
23, 69402624, 67206140, 67217676, 11536, 47601528, 37243846, 319
24, 72220672, 70006820, 70018356, 11536, 47601528, 37243908, 319
25, 74973184, 72807500, 72819036, 11536, 47601528, 37243908, 319
26, 77791232, 75601988, 75619716, 17728, 72801528, 37243416, 1939714489
27, 80609280, 78402740, 78420468, 17728, 72801528, 37233431, 319
28, 83361792, 81203420, 81221148, 17728, 72801528, 37243980, 319
29, 86179840, 84004100, 84021828, 17728, 72801528, 37243488, 319
30, 88997888, 86804780, 86822508, 17728, 72801528, 37243980, 319
31, 91815936, 89605460, 89623188, 17728, 72801528, 37243918, 319
32, 94568448, 92406140, 92423868, 17728, 72801528, 37243918, 319
33, 97386496, 95206820, 95224548, 17728, 72801528, 37243488, 319
34, 100204544, 98007500, 98025228, 17728, 72801528, 37243918, 319
35, 103022592, 100808180, 100825908, 17728, 72801528, 37243980, 319
36, 105775104, 103608860, 103626588, 17728, 72801528, 37243980, 319
37, 108593152, 106409540, 106427268, 17728, 72801528, 37243488, 319
38, 111411200, 109210220, 109227948, 17728, 72801528, 37243980, 319
39, 114229248, 112010900, 112028628, 17728, 72801528, 37243918, 319
40, 117702656, 114801988, 114829308, 27320, 112001528, 37243918, 2986622797
41, 119799808, 117602740, 117630060, 27320, 112001528, 37230579, 319
42, 122617856, 120403420, 120430740, 27320, 112001528, 37239870, 319
43, 125370368, 123204100, 123231420, 27320, 112001528, 37243980, 319
44, 128188416, 126004780, 126032100, 27320, 112001528, 37243488, 319
45, 131006464, 128805460, 128832780, 27320, 112001528, 37243980, 319
46, 133824512, 131606140, 131633460, 27320, 112001528, 37243918, 319
47, 136577024, 134406820, 134434140, 27320, 112001528, 37243918, 319
