Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 7798784, 2801916, 2802700, 784, 2801700, 47943576, 71642211, 3090106201777
1, 13369344, 5601916, 5603936, 2020, 5601700, 47924692, 143257121, 3090100068183
2, 13369344, 8403152, 8405172, 2020, 5601700, 47924766, 322, 3090098384580
3, 24576000, 11201916, 11206404, 4488, 11201700, 47924618, 286487651, 3090087780974
4, 24576000, 14003152, 14007640, 4488, 11201700, 47924692, 322, 3090086097295
5, 24576000, 16804384, 16808872, 4488, 11201700, 47924692, 322, 3090084413850
6, 41418752, 19601916, 19610104, 8188, 19601700, 47924618, 501318181, 3090067115920
7, 41418752, 22403152, 22411340, 8188, 19601700, 47924766, 322, 3090065432239
8, 41418752, 25204384, 25212572, 8188, 19601700, 47924692, 322, 3090063748794
9, 41418752, 28005616, 28013804, 8188, 19601700, 47924766, 322, 3090062065347
10, 63766528, 30801916, 30815036, 13120, 30801700, 47924618, 787748012, 3090035849022
11, 63766528, 33603152, 33616272, 13120, 30801700, 47924692, 322, 3090034165343
12, 63766528, 36404384, 36417504, 13120, 30801700, 47924766, 322, 3090032481896
13, 63766528, 39205616, 39218736, 13120, 30801700, 47924692, 322, 3090030798451
14, 63766528, 42006848, 42019968, 13120, 30801700, 47924618, 322, 3090029115009
15, 63766528, 44808080, 44821200, 13120, 30801700, 47924692, 322, 3090027431564
16, 97386496, 47601916, 47622432, 20516, 47601700, 47924766, 1217409072, 3089987826586
17, 97386496, 50403220, 50423736, 20516, 47601700, 47924618, 322, 3089986142760
18, 97386496, 53204452, 53224968, 20516, 47601700, 47924766, 322, 3089984459235
19, 97386496, 56005684, 56026200, 20516, 47601700, 47924692, 322, 3089982775712
20, 97386496, 58806916, 58827432, 20516, 47601700, 47924766, 322, 3089981092187
21, 97386496, 61608148, 61628664, 20516, 47601700, 47924618, 322, 3089979408605
22, 97386496, 64409380, 64429896, 20516, 47601700, 47924692, 322, 3089977725082
23, 97386496, 67210612, 67231128, 20516, 47601700, 47924692, 322, 3089976041559
24, 97386496, 70011844, 70032360, 20516, 47601700, 47924766, 322, 3089974358034
25, 147783680, 72801916, 72833592, 31676, 72801700, 47924618, 1861899952, 3089914670063
26, 147783680, 75603220, 75634896, 31676, 72801700, 47924692, 322, 3089912986234
27, 147783680, 78404452, 78436128, 31676, 72801700, 47924766, 322, 3089911302709
28, 147783680, 81205684, 81237360, 31676, 72801700, 47924618, 322, 3089909619189
29, 147783680, 84006916, 84038592, 31676, 72801700, 47924692, 322, 3089907935666
30, 147783680, 86808148, 86839824, 31676, 72801700, 47924766, 322, 3089906252141
31, 147783680, 89609380, 89641056, 31676, 72801700, 47924692, 322, 3089904568618
32, 147783680, 92410612, 92442288, 31676, 72801700, 47924618, 322, 3089902885098
33, 147783680, 95211844, 95243520, 31676, 72801700, 47924692, 322, 3089901201513
34, 147783680, 98013076, 98044752, 31676, 72801700, 47924766, 322, 3089899517988
35, 147783680, 100814308, 100845984, 31676, 72801700, 47924692, 322, 3089897834465
36, 147783680, 103615540, 103647216, 31676, 72801700, 47924618, 322, 3089896150945
37, 147783680, 106416772, 106448448, 31676, 72801700, 47924766, 322, 3089894467420
38, 147783680, 109218004, 109249680, 31676, 72801700, 47924692, 322, 3089892783897
39, 226230272, 112001916, 112050912, 48996, 112001700, 47924766, 2864451892, 3089801848477
40, 226230272, 114803220, 114852216, 48996, 112001700, 47924766, 322, 3089800164614
41, 226230272, 117604452, 117653448, 48996, 112001700, 47924692, 322, 3089798481029
