Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector, Cycles
0, 4980736, 2810900, 2810900, 0, 0, 65844090, 359, 3090105574694
1, 7798784, 5612128, 5612128, 0, 0, 65840568, 359, 3090103340224
2, 10878976, 8421556, 8421556, 0, 8413140, 65840494, 151797916, 3090096433001
3, 13434880, 11222788, 11222788, 0, 8413140, 75939531, 359, 3090093887341
4, 16187392, 14024020, 14024020, 0, 8413140, 75940166, 359, 3090091341878
5, 19267584, 16833452, 16833452, 0, 16825036, 75940669, 151783001, 3090084124196
6, 21823488, 19634684, 19634684, 0, 16825036, 75939531, 359, 3090081578505
7, 24641536, 22435916, 22435916, 0, 16825036, 75940595, 359, 3090079033029
8, 27656192, 25245348, 25245348, 0, 25236932, 75940166, 151782679, 3090071815372
9, 30212096, 28046580, 28046580, 0, 25236932, 75939457, 359, 3090069269683
10, 33030144, 30847812, 30847812, 0, 25236932, 75940595, 359, 3090066724207
11, 36110336, 33657244, 33657244, 0, 33648828, 75940669, 151782327, 3090059506454
12, 38666240, 36466676, 36466676, 0, 33657548, 75935345, 359, 3090036097392
13, 41418752, 39267908, 39267908, 0, 33657548, 75940166, 359, 3090033551898
14, 44498944, 42077340, 42077340, 0, 42068924, 75940595, 151783579, 3090026334200
15, 47054848, 44878572, 44878572, 0, 42068924, 75939531, 359, 3090023788509
16, 49872896, 47679804, 47679804, 0, 42068924, 75940669, 359, 3090021243031
17, 52953088, 50489236, 50489236, 0, 50480820, 75940595, 151782739, 3090014025359
18, 55443456, 53290468, 53290468, 0, 50480820, 75939102, 359, 3090011479681
19, 58261504, 56091700, 56091700, 0, 50480820, 75940669, 359, 3090008934203
20, 61341696, 58901132, 58901132, 0, 58892716, 75940595, 151782417, 3090001716510
21, 63897600, 61702364, 61702364, 0, 58892716, 75939531, 359, 3089999170788
22, 66715648, 64503596, 64503596, 0, 58892716, 75940669, 359, 3089996625310
23, 69730304, 67313028, 67313028, 0, 67304612, 75940166, 151783119, 3089989407639
24, 72286208, 70114260, 70114260, 0, 67304612, 75939531, 359, 3089986861948
25, 75104256, 72915492, 72915492, 0, 67304612, 75940595, 359, 3089984316472
26, 78184448, 75724924, 75724924, 0, 75716508, 75940669, 151782767, 3089977098797
27, 80740352, 78534356, 78534356, 0, 75725228, 75928171, 359, 3089927611326
28, 83492864, 81335588, 81335588, 0, 75725228, 75940166, 359, 3089925065832
29, 86573056, 84145020, 84145020, 0, 84136604, 75940595, 151782995, 3089917848121
30, 89128960, 86946252, 86946252, 0, 84136604, 75939605, 359, 3089915302396
31, 91947008, 89747484, 89747484, 0, 84136604, 75940595, 359, 3089912756889
32, 94961664, 92556916, 92556916, 0, 92548500, 75940166, 151783128, 3089905539218
33, 97517568, 95358148, 95358148, 0, 92548500, 75939457, 359, 3089902993529
34, 100335616, 98159380, 98159380, 0, 92548500, 75940669, 359, 3089900448051
35, 103415808, 100968812, 100968812, 0, 100960396, 75940595, 151782857, 3089893230375
36, 105971712, 103770044, 103770044, 0, 100960396, 75939605, 359, 3089890684712
37, 108724224, 106571276, 106571276, 0, 100960396, 75940166, 359, 3089888139249
38, 111804416, 109380708, 109380708, 0, 109372292, 75940595, 151782535, 3089880921583
39, 114360320, 112181940, 112181940, 0, 109372292, 75939531, 359, 3089878375892
40, 117178368, 114983172, 114983172, 0, 109372292, 75940669, 359, 3089875830353
41, 120258560, 117792604, 117792604, 0, 117784188, 75940595, 151783098, 3089868612670
42, 122748928, 120593836, 120593836, 0, 117784188, 75939102, 359, 3089866066992
43, 125566976, 123395068, 123395068, 0, 117784188, 75940595, 359, 3089863521516
44, 128647168, 126204500, 126204500, 0, 126196084, 75940669, 151782915, 3089856303836
45, 131203072, 129005732, 129005732, 0, 126196084, 75939531, 359, 3089853758145
46, 134021120, 131806964, 131806964, 0, 126196084, 75940669, 359, 3089851212667
47, 137035776, 134616396, 134616396, 0, 134607980, 75940166, 151782593, 3089843995013
48, 139591680, 137417628, 137417628, 0, 134607980, 75939605, 359, 3089841449319
49, 142409728, 140218860, 140218860, 0, 134607980, 75940595, 359, 3089838903813
50, 142409728, 140220228, 140220228, 0, 134607980, 1190022754, 359, 3089802099841
51, 142409728, 140221572, 140221572, 0, 134607980, 1190021913, 359, 3089765295867
52, 142409728, 140222916, 140222916, 0, 134607980, 1190021913, 359, 3089728491893
53, 142409728, 140224260, 140224260, 0, 134607980, 1190021913, 359, 3089691687826
54, 142409728, 140225604, 140225604, 0, 134607980, 1190021913, 359, 3089654870280
55, 142409728, 140226948, 140226948, 0, 134607980, 1190021913, 359, 3089618066275
56, 142409728, 140228292, 140228292, 0, 134607980, 1190021913, 359, 3089581262209
57, 142409728, 140229636, 140229636, 0, 134607980, 1190021913, 359, 3089544458204
58, 142409728, 140230980, 140230980, 0, 134607980, 1190021913, 359, 3089507654199
59, 142409728, 140232324, 140232324, 0, 134607980, 1190021913, 359, 3089470850164
60, 142409728, 140233764, 140233764, 0, 134607980, 44322782, 359, 3089469298440
61, 142409728, 140235044, 140235044, 0, 134607980, 44321941, 359, 3089467746923
62, 142409728, 140236324, 140236324, 0, 134607980, 44321941, 359, 3089466195375
63, 142409728, 140237604, 140237604, 0, 134607980, 44321941, 359, 3089464643827
64, 142409728, 140238884, 140238884, 0, 134607980, 44321941, 359, 3089463092279
65, 142409728, 140240164, 140240164, 0, 134607980, 44321941, 359, 3089461540700
66, 142409728, 140241444, 140241444, 0, 134607980, 44321941, 359, 3089459989152
67, 142409728, 140242724, 140242724, 0, 134607980, 44321941, 359, 3089458437604
68, 142409728, 140244004, 140244004, 0, 134607980, 44321941, 359, 3089456886025
69, 142409728, 140245284, 140245284, 0, 134607980, 44321941, 359, 3089455334446
70, 142409728, 140246564, 140246564, 0, 134607980, 44321941, 359, 3089453782898
71, 142409728, 140247844, 140247844, 0, 134607980, 44321941, 359, 3089452231350
72, 142409728, 140249124, 140249124, 0, 134607980, 44321941, 359, 3089450679710
73, 142409728, 140250404, 140250404, 0, 134607980, 44321941, 359, 3089449128162
74, 142409728, 140251684, 140251684, 0, 134607980, 44321941, 359, 3089447576614
75, 142409728, 140252964, 140252964, 0, 134607980, 44321941, 359, 3089446024974
76, 142409728, 140254244, 140254244, 0, 134607980, 44321941, 359, 3089444473426
77, 142409728, 140255524, 140255524, 0, 134607980, 44321941, 359, 3089442921878
78, 142409728, 140256804, 140256804, 0, 134607980, 44321941, 359, 3089441370299
79, 142409728, 140258084, 140258084, 0, 134607980, 44321941, 359, 3089439818751
80, 142409728, 140259364, 140259364, 0, 134607980, 44321941, 359, 3089438267203
81, 142475264, 140260644, 140260644, 0, 134607980, 44322370, 359, 3089436715611
82, 142475264, 140261924, 140261924, 0, 134607980, 44321941, 359, 3089435164063
83, 142475264, 140263204, 140263204, 0, 134607980, 44321941, 359, 3089433612515
84, 142475264, 140264484, 140264484, 0, 134607980, 44321941, 359, 3089432060936
85, 142475264, 140265852, 140265852, 0, 134607980, 595022754, 359, 3089413564717
86, 142475264, 140267128, 140267128, 0, 134607980, 595021913, 359, 3089395068508
87, 142475264, 140268404, 140268404, 0, 134607980, 595021913, 359, 3089376572299
88, 142475264, 140269680, 140269680, 0, 134607980, 595021913, 359, 3089358075998
89, 142475264, 140270956, 140270956, 0, 134607980, 595021913, 359, 3089339579759
90, 142475264, 140272232, 140272232, 0, 134607980, 595021913, 359, 3089321083520
91, 142475264, 140273508, 140273508, 0, 134607980, 595021913, 359, 3089302587188
92, 142475264, 140274784, 140274784, 0, 134607980, 595021913, 359, 3089284090949
93, 142475264, 140276060, 140276060, 0, 134607980, 595021913, 359, 3089265581163
94, 142475264, 140277336, 140277336, 0, 134607980, 595021913, 359, 3089247084893
95, 145555456, 143086860, 143086860, 0, 143078444, 75941425, 151785380, 3089239867006
96, 148045824, 145888092, 145888092, 0, 143078444, 75939102, 359, 3089237321328
97, 150863872, 148689324, 148689324, 0, 143078444, 75940595, 359, 3089234775791
98, 153944064, 151498756, 151498756, 0, 151490340, 75940669, 151783128, 3089227558074
99, 158400512, 84010992, 154308188, 70297196, 151490340, 75925760, 359, 3089097290904
100, 158400512, 86812228, 157109424, 70297196, 151490340, 75925330, 359, 3089094745695
101, 158400512, 89621664, 159918860, 70297196, 151490340, 75925404, 151782841, 3089087528315
102, 158400512, 92422900, 162720096, 70297196, 151490340, 75925686, 359, 3089084982908
103, 158400512, 95224136, 165521332, 70297196, 151490340, 75925256, 359, 3089082437671
104, 158400512, 98033572, 168330768, 70297196, 151490340, 75925330, 151782749, 3089075220296
105, 158400512, 100834808, 171132004, 70297196, 151490340, 75925686, 359, 3089072674920
106, 158400512, 103636044, 173933240, 70297196, 151490340, 75925330, 359, 3089070129742
107, 158400512, 106445480, 176742676, 70297196, 151490340, 75925256, 151782578, 3089062912375
108, 158400512, 109246716, 179543912, 70297196, 151490340, 75925612, 359, 3089060366971
109, 158400512, 112047952, 182345148, 70297196, 151490340, 75925330, 359, 3089057821793
110, 158400512, 114857388, 185154584, 70297196, 151490340, 75925404, 151782259, 3089050604431
111, 158400512, 117658624, 187955820, 70297196, 151490340, 75925686, 359, 3089048043615
112, 158400512, 120459860, 190757056, 70297196, 151490340, 75925256, 359, 3089045498439
113, 158400512, 123269296, 193566492, 70297196, 151490340, 75925404, 151781940, 3089038281026
114, 158400512, 126070532, 196367728, 70297196, 151490340, 75925686, 359, 3089035735650
115, 158400512, 128871768, 199168964, 70297196, 151490340, 75925404, 359, 3089033190470
116, 158400512, 131681204, 201978400, 70297196, 151490340, 75925256, 151782645, 3089025973101
117, 158400512, 134482440, 204779636, 70297196, 151490340, 75925612, 359, 3089023427697
118, 158400512, 137283676, 207580872, 70297196, 151490340, 75925330, 359, 3089020882519
119, 158400512, 140093112, 210390308, 70297196, 151490340, 75925404, 151782326, 3089013665155
120, 158400512, 140094188, 210391384, 70297196, 151490340, 16041, 359, 3089013476445
121, 158400512, 142895512, 213192708, 70297196, 151490340, 75926308, 359, 3089010931362
122, 158400512, 145696748, 215993944, 70297196, 151490340, 75925245, 359, 3089008386186
123, 158400512, 148506184, 218803380, 70297196, 151490340, 75925319, 151783443, 3089001168790
124, 158400512, 151307420, 221604616, 70297196, 151490340, 75925760, 359, 3088998623350
125, 158400512, 154108656, 224405852, 70297196, 151490340, 75925330, 359, 3088996078172
126, 159383552, 156918092, 227215288, 70297196, 156909676, 75929309, 151782334, 3088988860627
127, 161873920, 159719328, 230016524, 70297196, 156909676, 75939102, 359, 3088986314839
128, 164691968, 162520564, 232817760, 70297196, 156909676, 75940595, 359, 3088983769191
129, 167772160, 165330000, 235627196, 70297196, 165321584, 75940595, 151783039, 3088976551368
130, 172687360, 28010992, 238436632, 210425640, 165321584, 75925760, 359, 3088933438695
131, 172687360, 30812228, 241237868, 210425640, 165321584, 75925256, 359, 3088930893488
132, 172687360, 33621664, 244047304, 210425640, 165321584, 75925330, 151782969, 3088923676107
133, 172687360, 36422900, 246848540, 210425640, 165321584, 75925760, 359, 3088921130667
134, 172687360, 39224136, 249649776, 210425640, 165321584, 75925330, 359, 3088918585489
135, 172687360, 42033572, 252459212, 210425640, 165321584, 75925330, 151782001, 3088911368046
136, 172687360, 44834808, 255260448, 210425640, 165321584, 75925612, 359, 3088908822642
137, 172687360, 47636044, 258061684, 210425640, 165321584, 75925404, 359, 3088906298477
138, 172687360, 50445480, 260871120, 210425640, 165321584, 75925330, 151782706, 3088899081104
139, 172687360, 53254916, 263680556, 210425640, 165321584, 75925686, 359, 3088865249445
140, 172687360, 56056152, 266481792, 210425640, 165321584, 75925330, 359, 3088862704236
141, 172687360, 58865588, 269291228, 210425640, 165321584, 75925256, 151782907, 3088855486859
142, 172687360, 61666824, 272092464, 210425640, 165321584, 75925612, 359, 3088852941377
143, 172687360, 64468060, 274893700, 210425640, 165321584, 75925330, 359, 3088850396122
144, 172687360, 67277496, 277703136, 210425640, 165321584, 75925404, 151782070, 3088843178658
145, 172687360, 70078732, 280504372, 210425640, 165321584, 75925686, 359, 3088840633142
146, 172687360, 72879968, 283305608, 210425640, 165321584, 75925256, 359, 3088838108874
147, 172687360, 75689404, 286115044, 210425640, 165321584, 75925404, 151782749, 3088830891420
148, 172687360, 78490640, 288916280, 210425640, 165321584, 75925686, 359, 3088828345935
149, 172687360, 81291876, 291717516, 210425640, 165321584, 75925404, 359, 3088825800678
